Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Avg,3.8844262295081964,0.4397260273972603,6.36054794520548,7.785753424657535,1.268032786885246,16.537260273972603,4.884931506849315,15.938904109589043,1.969398907103825,24.411232876712326,8.718904109589042,2.618356164383562,1.9628415300546447,12.524383561643837,8.68958904109589,nan,0.7068493150684931,0.17424657534246574,18.304109589041094,14.041095890410956,17.213387978142077
Std,24.028819287779758,0.8454130426071305,28.87687854959828,32.61798251481015,3.4833860103763516,69.10775531406512,21.922790238576468,52.55083351297687,5.696916352101401,68.31792047028455,35.452146391023085,5.393188757037652,8.205465099522234,38.75303091942515,27.889730050627353,nan,1.1823506615564998,0.260967209446091,52.79074752461049,47.54957913074892,67.72599900319389
CV,6.1859378626485135,1.9225904084212,4.539998565904278,4.189444583681365,2.747078818784195,4.178911994439086,4.487839841323842,3.2970167303636413,2.8927183474876705,2.7986263870948545,4.06612413044351,2.059761322924289,4.180401206048354,3.0942066512644217,3.20955685231232,nan,1.6727053932872964,1.497689173707912,2.884092627822606,3.3864578307752895,3.9344955850175336
SP_Tim,44.0,77.0,51.0,115.0,96.0,11.0,4.0,112.0,77.0,60.0,64.0,18.0,41.0,84.0,95.0,nan,71.0,4.0,119.0,64.0,56.0
SP_Mag,342.0,7.9,151.0,124.0,14.0,656.0,135.0,290.0,30.0,498.0,176.0,24.0,72.0,99.0,387.0,nan,7.3,3.0,399.0,301.0,478.0
SP_Dur,104.0,114.0,52.0,58.0,75.0,121.0,95.0,44.0,109.0,80.0,39.0,151.0,179.0,53.0,63.0,nan,99.0,201.0,41.0,67.0,34.0
SP_ROC,0.13484848484848488,0.19999999999999996,0.13114754098360654,0.09999999999999998,0.16666666666666663,0.09555690809494831,0.07142857142857134,0.10588235294117647,0.1197991391678622,0.1,0.07317073170731704,0.11651583710407243,0.1538461538461538,0.08333333333333333,0.06451612903225812,nan,0.1250000000000001,0.25000000000000006,0.07894736842105259,0.09999999999999996,0.09902597402597399
SU_Tim,148.0,191.0,103.0,173.0,171.0,132.0,99.0,156.0,186.0,140.0,103.0,169.0,220.0,137.0,158.0,nan,170.0,205.0,160.0,131.0,90.0
SU_Mag_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.1,0.0,0.1
SU_Mag_50,0.0,0.0,0.1,0.1,0.0,0.1,0.2,0.8,0.0,0.6,0.2,0.0,0.0,0.7,nan,nan,nan,0.0,0.5,0.4,0.6
SU_Dur_Fl,189.0,nan,294.0,147.0,146.0,nan,242.0,nan,174.0,221.0,228.0,nan,132.0,200.0,nan,nan,nan,nan,nan,nan,nan
