Year,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974
Avg,27.619999999999997,5.860109289617487,26.45068493150685,9.152054794520547,33.21123287671233,13.87346994535519,39.37438356164383,21.265616438356165,12.583698630136986,3.772732240437158,31.781315068493146,40.45780821917808,2.071428571428571
Std,73.07591069078559,14.562585640417838,70.25288435220892,15.856682698117485,82.06288841275574,36.14291158210155,88.43773581524378,49.3882809511015,24.10032805476997,7.71878438781474,63.330605442138754,81.34031217199251,0.1030157507275425
CV,2.645760705676524,2.485036527598344,2.655994902745482,1.7325817047785907,2.470937731140301,2.6051818128025084,2.246072898558202,2.3224476513185537,1.915202259934257,2.0459401558061114,1.9926993362500107,2.0104972501559053,0.049731741730537765
SP_Tim,48.0,26.0,11.0,40.0,105.0,77.0,51.0,25.0,360.0,42.0,63.0,95.0,nan
SP_Mag,223.0,65.0,700.0,79.0,131.0,93.0,544.0,468.0,124.0,30.0,364.0,805.0,nan
SP_Dur,140.0,109.0,130.0,96.0,37.0,82.0,85.0,96.0,163.0,108.0,69.0,46.0,nan
SP_ROC,0.07742257742257747,0.05555555555555564,0.08893280632411067,0.05,0.07142857142857142,0.07142857142857142,0.08333333333333333,0.0754985754985755,0.06666666666666667,0.06666666666666672,0.07275132275132275,0.0822072072072072,nan
SU_BFL_Tim,188.0,135.0,141.0,136.0,142.0,159.0,136.0,121.0,158.0,150.0,132.0,141.0,nan
SU_BFL_Mag_10,2.8,0.3,1.2,0.6,1.9,0.927,1.2,0.4,0.7,0.13,1.2,nan,nan
SU_BFL_Mag_50,3.5,1.0,2.25,1.2,3.0,2.3,2.6,1.6,1.3,0.765,4.75,nan,nan
SU_BFL_Dur_Fl,132.0,nan,179.0,204.0,198.0,nan,221.0,nan,nan,170.0,186.0,nan,nan
SU_BFL_Dur_Wet,187.0,220.0,188.0,246.0,231.0,218.0,227.0,212.0,191.0,224.0,290.0,nan,nan
SU_BFL_No_Flow,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FAFL_Tim,286.0,319.0,nan,318.0,339.0,339.0,nan,355.0,nan,nan,320.0,316.0,nan
FAFL_Mag,684.7797750395416,37.99356504677291,nan,27.92768157776961,266.9458823234511,59.96784451885042,nan,133.9783019862169,nan,nan,236.01573024802883,161.93986440877757,nan
FAFL_Tim_Wet,25.0,9.0,355.0,327.0,16.0,7.0,12.0,361.0,332.0,348.0,9.0,55.0,nan
FAFL_Dur,5.0,4.0,nan,3.0,4.0,3.0,nan,4.0,nan,nan,3.0,3.0,nan
Wet_BFL_Mag,1.1,5.9,44.0,4.4,4.9,3.02,66.2,10.4,15.7,3.4200000000000004,10.700000000000001,19.0,nan
WIN_Tim_2,37.0,21.0,55.5,nan,49.5,21.5,43.0,20.0,355.0,nan,42.5,3.0,nan
WIN_Dur_2,1.5,1.0,2.5,nan,2.0,1.5,2.0,1.0,1.0,nan,1.5,2.0,nan
WIN_Fre_2,4.0,1.0,4.0,0.0,6.0,2.0,7.0,4.0,1.0,0.0,6.0,5.0,nan
WIN_Tim_5,68.5,21.0,55.5,1.5,90.0,30.0,31.0,14.0,338.0,nan,37.5,6.5,nan
WIN_Dur_5,1.5,1.0,5.5,1.0,2.0,2.0,10.0,2.0,1.0,nan,5.0,3.5,nan
WIN_Fre_5,8.0,1.0,4.0,2.0,9.0,3.0,4.0,5.0,3.0,0.0,6.0,10.0,nan
WIN_Tim_10,68.0,354.0,24.0,20.0,55.0,48.0,57.5,14.0,22.5,360.0,31.0,364.5,nan
WIN_Dur_10,4.0,2.5,6.0,3.0,12.0,4.0,4.0,3.0,2.0,1.0,6.0,6.5,nan
WIN_Fre_10,8.0,2.0,5.0,4.0,4.0,7.0,4.0,7.0,6.0,2.0,11.0,8.0,nan
WIN_Tim_20,75.0,351.5,37.0,11.5,20.5,47.0,361.0,363.5,11.0,358.0,332.0,340.5,nan
WIN_Dur_20,9.0,2.5,3.0,2.0,6.0,6.0,3.0,42.0,10.0,4.0,8.0,2.5,nan
WIN_Fre_20,7.0,4.0,5.0,8.0,6.0,7.0,5.0,2.0,5.0,3.0,4.0,10.0,nan
WIN_Tim_50,81.5,62.0,330.0,345.0,332.0,7.0,75.0,331.0,55.5,8.0,297.0,294.0,nan
WIN_Dur_50,33.0,2.0,5.0,24.0,6.0,5.0,1.5,2.5,3.0,1.5,110.5,5.0,nan
WIN_Fre_50,4.0,7.0,4.0,3.0,5.0,6.0,4.0,4.0,4.0,8.0,2.0,3.0,nan
