Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,0.1304109589041096,8.410655737704918,1.7509589041095888,1.4334246575342464,0.1287671232876712,4.947267759562842,0.5189041095890411,23.469041095890407,2.323013698630137,0.2890710382513661,0.06986301369863014,4.529589041095891,2.1482191780821918,0.5215846994535519,0.4632876712328768,2.835342465753424,10.017534246575341,0.3292076502732241,38.14621917808219,2.6545753424657534,2.4017534246575347,0.17540983606557378,7.511945205479452,3.721041095890411,2.388493150684931,0.6991256830601092,0.05465753424657533,40.10306849315069,4.080356164383561,9.360245901639345,1.1267123287671232,3.4051232876712327,48.54071232876713,2.9096994535519123,0.411068493150685,11.70095890410959,0.46939726027397255,0.1564754098360656,0.0,0.06027397260273973,2.707068493150685,2.5322677595628416,24.52567123287671,0.9536438356164385,29.104054794520547,4.728907103825137,14.919397260273973,25.874657534246577,1.6092602739726027,2.362295081967213,3.828575342465753,0.2184931506849315,0.5307123287671233,0.1519672131147541,9.310246575342468,4.910383561643836,0.11249315068493151,2.33568306010929,0.18668493150684937,3.4482191780821916,10.453479452054795,0.2427868852459016,0.010575342465753425,0.04005479452054795,0.017260273972602738
Std,0.7564017892160341,30.54722620029119,7.264368315669875,7.745905187634971,0.9866894213791833,26.719834238168286,2.636331802783305,82.28994878892101,15.345806324189626,2.136193619676343,0.9476842621289054,24.539296996682417,13.378806726738112,5.5602854726990385,2.3736268155948643,14.0023514739677,47.45033013095376,0.6550227756824832,165.13770830781635,14.31118436644399,11.024911800698145,0.8678408741549751,22.61923501479508,10.446763437226844,8.467250410270564,9.28037110034723,0.39208009452843545,133.04686385768426,11.42430785693966,32.479833931758556,4.916535436470196,20.501201897239476,143.67331232352493,4.903056163836736,0.8916063436410808,53.75904496472067,2.7277976802999944,0.7447292999940588,0.0,1.149954105817688,16.882692601847,17.268394628742644,85.43601195031347,1.6690757459593233,170.30015325244196,13.147795506259992,44.73470593068873,55.551946591349946,1.6671551523839865,8.487601802045447,33.37855440040448,0.4520306427753337,3.3006806333349883,1.8969721225937133,29.640551262034297,19.38902513648614,0.15416794998443079,21.327727224839144,2.1851281199810333,18.235976675841194,31.92103495425779,0.32634738513474776,0.19710354123492677,0.538391818680613,0.313972602739726
CV,5.800139770249001,3.631967251179734,4.148794297010648,5.403775599171951,7.6625880596468505,5.40092744859424,5.080576071889685,3.506319173957668,6.605990456810018,7.389856945194156,13.564892379492175,5.417554832026299,6.227859272107398,10.660369214289409,5.123440494926821,4.938504481590696,4.736727518268823,1.989694878411394,4.3290714483887855,5.391138890467795,4.590359562938974,4.947504048920886,3.0111022373134313,2.80748402611421,3.545017664313783,13.274252863557473,7.1733952131768906,3.317623036262367,2.799831043343635,3.4699765661145787,4.363611998326132,6.02069298679058,2.959851749814114,1.6850730606735014,2.168997036983434,4.594413620736631,5.811277378798215,4.75940149812861,nan,19.078784028338916,6.236522143626178,6.819339923090825,3.483534095319125,1.7502087085588167,5.851423605912966,2.7803031900594855,2.9984258177643865,2.146963549868198,1.0359760812764396,3.5929473277222224,8.718270221869888,2.0688549794733144,6.219340411787057,12.482772327747195,3.183648362282392,3.948576499794922,1.3704652153998351,9.131259111774005,11.704898206531801,5.288520170572093,3.0536277514740044,1.3441722142619592,18.63802915822494,13.44138261411927,18.19047619047619
SP_Tim,300.0,84.0,13.0,93.0,18.0,31.0,116.0,97.0,53.0,45.0,nan,50.0,44.0,328.0,108.0,331.0,115.0,323.0,62.0,67.0,359.0,361.0,64.0,91.0,77.0,274.0,275.0,40.0,326.0,49.0,65.0,91.0,60.0,359.0,351.0,69.0,65.0,17.0,nan,nan,79.0,43.0,55.0,39.0,69.0,51.0,24.0,38.0,80.0,45.0,65.0,3.0,124.0,57.0,52.0,95.0,45.0,27.0,64.0,58.0,79.0,105.0,nan,nan,nan
SP_Mag,9.3,56.0,105.0,13.0,13.0,110.0,4.1,1000.0,146.0,14.0,nan,126.0,137.0,100.0,22.0,226.0,45.0,5.2,580.0,95.0,128.0,11.0,129.0,27.0,20.0,140.0,5.9,1430.0,30.0,287.0,34.0,100.0,1260.0,59.0,12.0,101.0,50.0,11.0,nan,nan,227.0,270.0,260.0,6.5,2940.0,99.0,249.0,586.0,6.8,125.0,622.0,5.1,32.5,29.8,144.0,107.0,0.62,313.0,40.8,164.0,383.0,2.21,nan,nan,nan
SP_Dur,136.0,67.0,71.0,33.0,65.0,52.0,26.0,52.0,29.0,28.0,nan,56.0,109.0,99.0,45.0,121.0,73.0,208.0,28.0,33.0,64.0,30.0,77.0,73.0,77.0,nan,nan,51.0,203.0,61.0,43.0,65.0,117.0,161.0,173.0,48.0,41.0,99.0,nan,nan,32.0,170.0,75.0,141.0,67.0,74.0,99.0,156.0,120.0,119.0,28.0,178.0,50.0,24.0,108.0,49.0,216.0,54.0,35.0,97.0,94.0,110.0,nan,nan,nan
SP_ROC,0.675,0.09090909090909091,0.12820512820512822,0.25000000000000006,0.6923076923076923,0.08012820512820511,0.33333333333333326,0.08166666666666669,0.11111111111111108,0.16666666666666663,nan,0.11250000000000004,0.25000000000000006,0.33333333333333326,0.2222222222222223,0.21052631578947364,0.07692307692307693,0.25,0.08333333333333333,0.11086309523809519,0.09545454545454549,0.20930232558139528,0.13076923076923075,0.14318181818181816,0.18181818181818185,nan,0.5155555555555555,0.09895833333333333,0.09009740259740256,0.08012820512820512,0.25,0.11359447004608295,0.06559139784946236,0.056079664570230614,0.06896551724137918,0.09836065573770486,0.05229591836734693,0.1052631578947368,nan,nan,0.20370370370370378,0.23532668881506086,0.0625,0.21875000000000003,0.06666666666666667,0.1231060606060606,0.07142857142857142,0.07311951126384113,0.0902306648575306,0.1525423728813559,0.09615384615384615,0.0833333333333333,0.3357843137254902,0.7473684210526316,0.0788791986875054,0.0666666666666667,0.0833333333333333,0.137629912059529,0.17914438502673796,0.10426540284360189,0.06666666666666667,0.0851449275362319,nan,nan,nan
SU_Tim,71.0,151.0,84.0,126.0,83.0,83.0,142.0,149.0,82.0,73.0,nan,106.0,153.0,62.0,153.0,87.0,188.0,166.0,90.0,100.0,58.0,26.0,141.0,164.0,154.0,132.0,65.0,91.0,164.0,110.0,108.0,156.0,177.0,155.0,159.0,117.0,106.0,116.0,nan,nan,111.0,213.0,130.0,180.0,136.0,125.0,123.0,194.0,200.0,164.0,93.0,181.0,174.0,81.0,160.0,144.0,261.0,81.0,99.0,155.0,173.0,215.0,nan,nan,nan
SU_Mag_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.31,0.0,0.04,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
SU_Mag_50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.10500000000000001,0.28,0.0,0.0,3.2,0.0,0.0,0.18,0.0,nan,nan,nan,0.0,0.0,0.77,0.0,0.875,0.29,0.455,1.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
