Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977
Avg,12.837260273972603,20.77950819672131,9.947945205479453,10.932876712328767,8.857808219178084,19.16147540983606,13.483287671232876,19.19013698630137,6.129041095890412,4.662295081967214,4.400273972602739,14.136164383561644,15.746027397260274,7.986885245901639,18.43917808219178,7.52027397260274,18.623287671232877,8.554371584699455,29.452602739726025,9.678082191780822,7.710958904109589,4.1527322404371585,13.384383561643839,14.086849315068493,9.064931506849316,6.350273224043716,7.070684931506849,14.728219178082192
Std,12.372261646413964,23.561185103342673,8.854082095306223,12.02982884896893,9.511589217511036,21.503900192900495,17.309993000702473,22.773878601515758,3.37443741201792,4.095812759916248,3.255456945643578,17.164148892556682,18.43595405794467,5.4633045728463605,21.306774905149243,5.3000516856106685,24.23737135114152,5.537144320680564,36.50748656669652,7.298403776982651,8.304878276657156,3.515777190917204,16.770219935194596,14.215233665169778,10.345329317809986,5.41347614468416,5.365377676646874,12.555540101470434
CV,0.9637774246502255,1.133866349496196,0.8900413012356847,1.1003351785173936,1.0738084390806122,1.122246577205741,1.2838109979388799,1.186749141904125,0.5505653101723395,0.8784971109525003,0.7398305118983289,1.2142012802649744,1.1708320830911567,0.6840344395394664,1.1555165208652622,0.7047684306342286,1.301455026578397,0.647288262598322,1.2395334595490533,0.7541167384568062,1.0770227646046766,0.8466178379338751,1.252969167982729,1.0091137732242195,1.1412473784267672,0.8524792483238975,0.7588200759361861,0.8524818886559598
SP_Tim,174.0,162.0,194.0,180.0,170.0,186.0,182.0,179.0,179.0,171.0,175.0,180.0,183.0,172.0,195.0,175.0,189.0,174.0,180.0,193.0,179.0,172.0,184.0,218.0,162.0,175.0,181.0,248.0
SP_Mag,58.0,84.0,40.0,43.0,34.0,95.0,71.0,92.0,20.0,18.0,17.0,71.0,62.0,23.0,83.0,22.0,115.0,23.0,130.0,38.0,38.0,16.0,52.0,40.0,47.0,15.0,23.0,33.0
SP_Dur,93.0,136.0,82.0,87.0,113.0,97.0,84.0,111.0,73.0,84.0,109.0,85.0,97.0,104.0,91.0,109.0,62.0,98.0,119.0,87.0,96.0,88.0,89.0,83.0,91.0,65.0,81.0,nan
SP_ROC,0.04232922732362826,0.045804195804195806,0.040816326530612276,0.04083333333333332,0.04999999999999999,0.0425531914893617,0.04083333333333332,0.043961352657004835,0.03508771929824565,0.052631578947368376,0.04878048780487799,0.047058823529411806,0.05714285714285714,0.047058823529411806,0.05,0.0457157784743991,0.054804804804804805,0.049390243902439,0.047905909351692505,0.04878048780487799,0.04938271604938265,0.04545454545454549,0.04210526315789478,0.045454545454545456,0.04800307219662057,0.06491228070175437,0.04878048780487799,nan
SU_BFL_Tim,267.0,298.0,276.0,267.0,283.0,283.0,266.0,290.0,252.0,255.0,284.0,265.0,280.0,276.0,286.0,284.0,251.0,272.0,299.0,280.0,275.0,260.0,273.0,301.0,253.0,240.0,262.0,nan
SU_BFL_Mag_10,3.5,4.1,2.4,2.8,3.3,3.5999999999999996,3.38,3.3,1.9,1.9,2.1,2.5,3.5,2.8,3.2,2.6,4.2,3.1,3.6,2.5,1.5,1.8,3.3,2.6,1.8,2.7,2.3,nan
SU_BFL_Mag_50,4.5,5.0,3.5,3.2,6.0,4.45,4.2,4.1,2.4,2.3,2.6,4.5,5.3,4.8,4.2,5.4,5.7,4.1,4.5,3.2,2.4,2.2,4.1,3.5,2.5,4.45,3.1,nan
SU_BFL_Dur_Fl,nan,208.0,159.0,nan,83.0,219.0,213.0,nan,228.0,56.0,200.0,133.0,nan,84.0,29.0,66.0,24.0,185.0,1.0,229.0,nan,nan,186.0,1.0,28.0,35.0,146.0,nan
SU_BFL_Dur_Wet,225.0,235.0,207.0,240.0,224.0,234.0,229.0,200.0,229.0,231.0,208.0,238.0,225.0,222.0,204.0,234.0,244.0,223.0,216.0,231.0,219.0,233.0,215.0,229.0,240.0,250.0,195.0,nan
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,nan
FAFL_Tim,323.0,nan,118.0,68.0,nan,357.0,129.0,112.0,274.0,114.0,311.0,109.0,32.0,274.0,359.0,303.0,340.0,274.0,92.0,275.0,138.0,274.0,nan,92.0,275.0,280.0,275.0,41.0
FAFL_Mag,24.7689192134595,nan,11.906180645380262,8.199987012629883,nan,42.67823566157785,16.159211914618986,16.866713946180443,7.669848749443969,7.331767249223708,4.33575051305689,17.046486172753653,41.9303677432053,8.542450326029519,20.887628369037714,5.555636469325084,33.82411493316071,13.002922414044956,20.021485894379275,11.018288718776986,14.041401771718089,3.2511187429366943,nan,8.69332476141694,7.902434376544338,4.609125789946964,17.9757705676587,7.633064515595955
FAFL_Tim_Wet,129.0,126.0,145.0,116.0,141.0,133.0,144.0,128.0,109.0,115.0,121.0,117.0,137.0,134.0,132.0,113.0,143.0,129.0,130.0,125.0,140.0,128.0,128.0,121.0,138.0,127.0,125.0,90.0
FAFL_Dur,4.0,nan,6.0,6.0,nan,6.0,9.0,7.0,5.0,5.0,2.0,17.0,7.0,7.0,6.0,9.0,2.0,2.0,6.0,9.0,9.0,10.0,nan,2.0,1.0,1.0,4.0,6.0
Wet_BFL_Mag,4.2,33.5,8.3,4.1,19.0,5.7,14.2,15.0,7.289999999999999,5.12,1.9,18.0,4.2,14.0,4.8,3.2,3.9000000000000004,10.0,15.700000000000001,3.6,13.0,6.260000000000001,34.5,8.6,2.6,1.8,6.6,4.9
WIN_Tim_2,nan,170.0,nan,nan,nan,166.0,165.0,175.5,nan,nan,nan,173.0,169.0,nan,181.5,nan,173.0,nan,176.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
WIN_Dur_2,nan,7.0,nan,nan,nan,12.0,3.0,1.5,nan,nan,nan,7.0,6.0,nan,3.5,nan,26.0,nan,36.5,nan,nan,nan,nan,nan,nan,nan,nan,nan
WIN_Fre_2,0.0,3.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
