Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Avg,1.7805479452054793,200.86803278688527,23.392602739726026,41.31205479452055,19.820547945205483,37.0363387978142,29.541643835616437,307.0232876712329,37.37424657534247,13.950546448087431,8.67068493150685,242.1857534246575,17.813424657534245,14.429234972677596,32.33698630136986,212.99835616438355,212.35315068493148,28.68934426229508,640.7186301369862,72.79016438356165,88.36616438356164,37.41950819672131,219.43523287671232,71.41276712328768,86.48769863013698,30.06825136612022,16.43186301369863,581.034301369863,141.62082191780823,214.7603825136612,39.04745205479452
Std,3.703937886107111,684.6961850203169,53.039065210759745,153.58616114669258,38.64662723912696,175.8382893665672,168.25720141329697,968.7426963076755,214.30661070427956,39.27342623069848,28.95045064729656,1560.3788710156591,80.23188523785083,71.03937215856072,105.14761874576106,980.4182971960234,662.4696223769547,69.25857443202894,2711.177823818505,377.06880427480775,474.1041272837432,170.1297021120702,1124.6723819849674,259.24571921383614,385.305413279,168.37589767454043,49.49870877333883,2380.1593505299015,315.4205471966673,802.3329154756094,112.71923035518004
CV,2.0802236166011627,3.4086866661693165,2.2673434760932865,3.7177081099113853,1.949826379470777,4.747723319156611,5.695593730313687,3.1552743235067755,5.734071729640368,2.8151890950538876,3.3388885510184667,6.442901157276716,4.5040123828135705,4.923294429197179,3.251620845734372,4.602938327089135,3.1196599637923965,2.4140870491436046,4.231464009777354,5.180216413413706,5.365222430905224,4.546550992003068,5.1253044793260445,3.630243297620324,4.455031401942505,5.5997901449054694,3.012361333104688,4.096417965201659,2.227218730447182,3.7359447123566745,2.886724342397639
SP_Tim,67.0,89.0,5.0,93.0,132.0,31.0,65.0,97.0,52.0,37.0,36.0,47.0,46.0,98.0,114.0,3.0,116.0,77.0,61.0,65.0,339.0,365.0,47.0,23.0,72.0,46.0,140.0,67.0,93.0,56.0,84.0
SP_Mag,13.0,1770.0,180.0,345.0,200.0,1480.0,373.0,11700.0,970.0,416.0,31.0,5380.0,201.0,133.0,296.0,3790.0,1820.0,133.0,22600.0,2650.0,484.0,1110.0,18500.0,694.0,1330.0,426.0,110.0,20600.0,1110.0,4910.0,739.0
SP_Dur,87.0,61.0,135.0,58.0,47.0,141.0,100.0,51.0,93.0,113.0,30.0,62.0,112.0,48.0,55.0,63.0,76.0,85.0,52.0,39.0,123.0,33.0,84.0,107.0,81.0,88.0,42.0,74.0,64.0,56.0,85.0
SP_ROC,0.2466216216216217,0.061855670103092786,0.07692307692307693,0.06802721088435375,0.08545454545454549,0.0824829931972789,0.0784313725490196,0.058823529411764705,0.07408536585365852,0.08333333333333333,0.05128205128205122,0.05042016806722689,0.10526315789473684,0.11237373737373738,0.08695652173913032,0.04200940070505288,0.0392156862745098,0.09090909090909091,0.06896551724137931,0.04764595103578155,0.0662280701754386,0.05178571428571428,0.06800231169331536,0.042705167173252276,0.05232558139534884,0.06349206349206349,0.08712121212121213,0.07130434782608695,0.038461538461538464,0.04533070668119708,0.0625
SU_BFL_Tim,154.0,150.0,140.0,151.0,179.0,172.0,165.0,148.0,145.0,150.0,66.0,109.0,158.0,146.0,169.0,66.0,192.0,162.0,113.0,104.0,97.0,33.0,131.0,130.0,153.0,134.0,182.0,141.0,157.0,112.0,169.0
SU_BFL_Mag_10,0.1,3.3999999999999995,0.3,0.2,0.1,0.0,0.1,1.5800000000000005,0.2,0.4,0.1,0.6,0.3,0.1,0.1,0.2,4.8,0.1,9.4,0.67,1.4,0.29,2.1,0.71,0.46,0.32,0.26,14.0,5.9,4.59,0.76
SU_BFL_Mag_50,0.2,7.9,0.5,1.05,0.4,0.25,0.9,6.8,0.3,0.6,0.2,1.6,0.95,0.3,0.2,1.1,5.5,0.2,24.0,6.0,3.5,6.65,8.3,2.8,1.5,3.2,0.42,30.0,9.3,9.3,4.3
