Year,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972
Avg,32.22767123287671,23.510410958904107,109.83907103825136,28.004383561643838,89.49835616438357,19.639726027397263,14.811748633879782,6.570958904109589,44.34054794520548,53.40630136986301,17.95300546448087,65.17561643835616,25.16520547945205,129.4958904109589,14.486284153005464,187.8053698630137,36.257342465753425,31.708876712328767,16.832431693989072,59.06101369863013
Std,63.227746434887095,27.301892173793906,429.7164261650664,59.47384628341512,166.49523568002516,51.03330564304497,34.50320803493267,12.599022811029101,124.06418201871854,214.40262390739287,21.185879905272422,112.17859016039303,42.965595924843825,299.8329800087367,14.311733592857237,472.3652632672893,100.5022007899451,38.305047109756835,29.178242649050414,94.28182718492774
CV,1.9619086336708684,1.161268181212028,3.9122365302545035,2.1237334559605654,1.860316131105467,2.5984733988576982,2.329448661855593,1.9173796389366335,2.797984864148111,4.014556679792462,1.1800742748721174,1.7211742103965033,1.707341351133659,2.315386064045802,0.9879506325911733,2.5151850749093874,2.771913051401206,1.2080228340243728,1.733453797972047,1.5963462406185305
SP_Tim,122.0,132.0,31.0,145.0,97.0,54.0,127.0,92.0,51.0,120.0,99.0,112.0,104.0,141.0,57.0,30.0,68.0,91.0,46.0,90.0
SP_Mag,227.0,132.0,1110.0,236.0,1690.0,156.0,59.0,37.0,420.0,214.0,62.0,226.0,56.0,370.0,56.0,5300.0,160.0,83.0,40.0,350.0
SP_Dur,82.0,96.0,161.0,68.0,100.0,123.0,66.0,95.0,130.0,80.0,118.0,90.0,85.0,83.0,148.0,158.0,89.0,134.0,140.0,114.0
SP_ROC,0.05555555555555555,0.06458333333333335,0.04225352112676056,0.06153846153846159,0.041811846689895474,0.06186224489795925,0.06458333333333333,0.09090909090909088,0.06195175438596491,0.04923325262308313,0.058823529411764705,0.042261904761904764,0.07142857142857134,0.0418859649122807,0.07692307692307693,0.05454545454545454,0.047619047619047616,0.06,0.05263157894736842,0.05555555555555555
SU_BFL_Tim,204.0,228.0,192.0,213.0,197.0,177.0,193.0,187.0,181.0,200.0,217.0,202.0,189.0,224.0,205.0,188.0,157.0,225.0,186.0,204.0
SU_BFL_Mag_10,1.53,0.6200000000000001,2.6,2.0,3.8,0.0,0.0,0.0,0.5,3.2,0.27000000000000013,2.4,0.1,5.3,0.0,4.7,0.19,0.5110000000000001,0.0,1.4
SU_BFL_Mag_50,2.3,1.4,7.75,6.8,6.3,2.5,0.0,0.0,3.0,8.399999999999999,0.7,3.5,1.7,7.1,1.5,11.0,1.6,1.75,1.9500000000000002,3.2
SU_BFL_Dur_Fl,117.0,nan,nan,140.0,nan,nan,nan,nan,nan,111.0,100.0,nan,152.0,101.0,nan,nan,nan,92.0,nan,nan
SU_BFL_Dur_Wet,134.0,123.0,220.0,192.0,206.0,215.0,124.0,214.0,209.0,186.0,138.0,118.0,202.0,111.0,174.0,182.0,171.0,124.0,188.0,171.0
SU_BFL_No_Flow,0.0,1.0,0.0,0.0,0.0,44.0,79.0,121.0,0.0,0.0,5.0,0.0,17.0,0.0,54.0,0.0,0.0,0.0,73.0,4.0
FAFL_Tim,nan,320.0,nan,nan,351.0,nan,nan,nan,nan,nan,310.0,317.0,nan,340.0,324.0,nan,nan,nan,316.0,nan
FAFL_Mag,nan,107.90643052698255,nan,nan,245.99878239930908,nan,nan,nan,nan,nan,72.97676574043146,235.9213252499733,nan,4799.70735494446,39.95478063853898,nan,nan,nan,83.94387466877541,nan
FAFL_Tim_Wet,23.0,337.0,350.0,47.0,38.0,37.0,26.0,317.0,34.0,24.0,20.0,355.0,318.0,25.0,334.0,14.0,3.0,327.0,348.0,9.0
FAFL_Dur,nan,2.0,nan,nan,3.0,nan,nan,nan,nan,nan,4.0,4.0,nan,2.0,7.0,nan,nan,nan,2.0,nan
Wet_BFL_Mag,18.0,9.48,50.0,25.700000000000003,14.0,15.2,15.0,4.58,12.6,26.5,11.0,11.0,19.0,23.0,13.700000000000001,86.5,29.200000000000006,26.0,6.78,36.0
WIN_Tim_2,44.0,nan,38.5,98.5,74.0,47.0,40.0,nan,43.0,41.0,nan,11.0,328.0,97.5,nan,55.0,16.0,nan,nan,64.0
WIN_Dur_2,1.0,nan,3.0,1.0,3.0,2.0,1.0,nan,3.0,1.0,nan,1.5,1.0,3.0,nan,7.0,2.0,nan,nan,2.0
WIN_Fre_2,3.0,0.0,4.0,2.0,5.0,1.0,1.0,0.0,2.0,3.0,0.0,4.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,4.0
WIN_Tim_5,69.0,48.0,54.0,57.0,72.5,47.0,36.0,nan,46.0,95.5,319.0,25.0,363.0,47.5,nan,7.0,16.0,339.5,357.5,70.0
WIN_Dur_5,1.0,1.0,1.0,1.0,2.5,3.0,1.5,nan,3.0,1.0,1.0,2.0,1.0,3.5,nan,1.0,1.0,1.0,1.5,1.5
WIN_Fre_5,6.0,1.0,5.0,3.0,6.0,1.0,2.0,0.0,3.0,6.0,1.0,7.0,3.0,6.0,0.0,4.0,5.0,2.0,2.0,6.0
WIN_Tim_10,75.5,48.0,103.0,100.0,44.0,47.0,39.0,337.0,81.0,87.0,324.0,25.0,364.5,25.5,nan,14.0,14.0,351.0,14.0,59.0
WIN_Dur_10,2.0,1.0,5.0,2.5,3.0,1.0,2.0,1.0,4.0,3.0,1.0,4.0,2.5,4.5,nan,2.0,2.0,1.0,3.5,9.0
WIN_Fre_10,8.0,5.0,9.0,4.0,7.0,3.0,3.0,1.0,5.0,7.0,3.0,7.0,4.0,6.0,0.0,5.0,5.0,9.0,2.0,9.0
WIN_Tim_20,68.0,57.5,343.0,109.0,30.0,152.0,88.0,336.0,78.0,60.0,324.0,31.0,38.5,21.0,48.0,7.0,14.0,42.0,356.0,24.5
WIN_Dur_20,10.0,3.0,1.0,3.0,5.0,1.5,2.0,2.0,1.0,7.5,2.0,7.5,3.5,12.0,2.0,4.5,3.0,2.0,3.0,5.0
WIN_Fre_20,5.0,10.0,3.0,7.0,5.0,4.0,5.0,1.0,4.0,4.0,5.0,6.0,8.0,5.0,3.0,4.0,7.0,14.0,3.0,4.0
WIN_Tim_50,363.5,342.5,344.0,363.0,120.0,39.0,23.0,51.0,336.0,341.0,346.5,335.0,150.0,115.0,56.0,332.0,341.5,320.0,349.0,352.0
WIN_Dur_50,2.0,11.5,6.5,4.5,2.0,28.0,8.0,4.5,3.0,86.0,28.0,2.0,4.0,2.5,9.0,1.5,8.0,109.0,1.0,7.0
WIN_Fre_50,4.0,4.0,4.0,8.0,4.0,3.0,5.0,8.0,3.0,2.0,4.0,7.0,3.0,4.0,4.0,4.0,6.0,2.0,5.0,5.0
