Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Avg,18.950136986301374,14.44672131147541,45.07342465753425,14.058082191780821,72.31232876712329,49.705191256830595,54.94739726027397,53.60082191780822,43.31123287671233,30.55710382513661,16.190410958904106,29.48575342465753,31.414520547945205,25.018852459016394,48.80027397260274,63.40767123287671,22.52986301369863,20.68032786885246,27.683013698630134,34.010958904109586,63.49452054794519
Std,38.411551219711534,20.78263455595241,73.05075683778432,21.94737346019937,109.0028821350836,75.94357195044118,89.12755320214444,78.99855573074504,75.15769693164538,51.272375004545154,33.74333730027129,44.45422906728445,61.562196037296374,37.37306311731193,88.07128479478651,96.02182968871517,31.768166391399514,37.08125100166911,46.104848189036026,62.22047753841094,93.54928712000181
CV,2.026980134627965,1.4385710160715994,1.6207057127968536,1.5611925695690618,1.507390012097655,1.5278800871730849,1.6220523199664296,1.4738310515439828,1.7352934086541858,1.6779199788681523,2.0841557009220786,1.5076511163560602,1.9596732645764698,1.4937960555358436,1.8047293104180346,1.5143566672880444,1.4100470283411755,1.7930688157763106,1.6654562502101236,1.8294243838827127,1.4733442557356116
SP_Tim,159.0,133.0,170.0,151.0,191.0,143.0,160.0,176.0,170.0,149.0,140.0,155.0,159.0,153.0,152.0,161.0,141.0,141.0,144.0,163.0,184.0
SP_Mag,205.0,96.0,228.0,63.0,405.0,314.0,198.0,311.0,305.0,300.0,181.0,208.0,266.0,192.0,389.0,352.0,127.0,228.0,221.0,318.0,489.0
SP_Dur,61.0,50.0,66.0,55.0,64.0,84.0,60.0,67.0,46.0,67.0,52.0,64.0,70.0,63.0,79.0,70.0,63.0,72.0,75.0,66.0,60.0
SP_ROC,0.07793522267206478,0.06666666666666667,0.05634920634920634,0.0625,0.06766917293233082,0.07692307692307693,0.06534090909090909,0.06481481481481481,0.06896551724137931,0.06666666666666667,0.07142857142857142,0.06350806451612902,0.08333333333333333,0.0625,0.08450704225352113,0.06666666666666667,0.0698837209302325,0.07246376811594203,0.06666666666666667,0.06451612903225806,0.06666666666666667
SU_Tim,220.0,183.0,236.0,206.0,255.0,227.0,220.0,243.0,216.0,216.0,192.0,219.0,229.0,216.0,231.0,231.0,204.0,213.0,219.0,229.0,244.0
SU_Mag_10,1.5,1.7,3.2,1.4,4.6,2.9,2.3,6.0,3.2,2.1,1.5,1.5,1.75,1.5,2.23,3.3499999999999996,1.6,1.3,1.7,2.39,4.94
SU_Mag_50,4.0,4.0,3.9,5.2,13.0,19.0,5.1,8.7,4.9,2.5,4.2,5.5,3.45,5.5,13.0,5.9,2.8,5.0,4.4,14.0,15.0
SU_Dur_Fl,94.0,260.0,212.0,174.0,92.0,96.0,164.0,233.0,195.0,234.0,136.0,94.0,nan,258.0,127.0,88.0,267.0,176.0,258.0,69.0,54.0
SU_Dur_Wet,235.0,298.0,225.0,285.0,221.0,226.0,265.0,246.0,247.0,260.0,268.0,281.0,216.0,273.0,254.0,216.0,270.0,259.0,271.0,260.0,245.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,64.0,313.0,78.0,81.0,14.0,346.0,323.0,17.0,110.0,45.0,85.0,326.0,312.0,nan,109.0,356.0,318.0,105.0,24.0,110.0,297.0
