Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970
Avg,4059.353424657534,4796.994535519126,2823.1068493150683,2038.4438356164383,1205.9123287671232,4469.535519125683,2044.7342465753425,3959.5561643835617,1154.2438356164384,1725.016393442623,1061.2739726027398,1952.3424657534247,3709.117808219178,1360.0874316939892,4458.827397260274,1325.7260273972602,3487.5260273972603,1418.568306010929,3188.758904109589,2821.041095890411,2965.4438356164383
Std,6899.156750817543,4561.364904534592,3354.326243040114,2636.497617662768,1152.1201768490978,9585.31877561509,3242.5737609387616,4381.217054935992,1340.380658770935,3882.1792306597886,964.0161946612462,2720.764538095552,7873.923655416448,997.0801898162479,10912.955139640104,1168.9949419283564,3944.2820847894573,2009.9472424582282,4369.424481328994,6652.742097005566,1117.8470673681818
CV,1.6995703574146388,0.9508797374606486,1.1881683627574806,1.2933874221094124,0.9553929828605199,2.1445894622826804,1.5858167223293886,1.1064919584536506,1.161262999559437,2.250517296773108,0.9083575208172004,1.3935897957562415,2.1228561783527917,0.7331000688495329,2.447494412173382,0.8817771679593506,1.130968501397271,1.416884357236403,1.3702586532013425,2.3582577746552635,0.37695776056935865
SP_Tim,346.0,153.0,175.0,122.0,148.0,364.0,153.0,143.0,120.0,79.0,145.0,133.0,144.0,144.0,1.0,105.0,174.0,58.0,145.0,28.0,182.0
SP_Mag,37500.0,16300.0,9350.0,9800.0,4850.0,26700.0,7330.0,14200.0,2750.0,4800.0,3120.0,6640.0,11600.0,3600.0,44300.0,6260.0,11700.0,13700.0,11700.0,55900.0,8800.0
SP_Dur,207.0,75.0,41.0,66.0,44.0,200.0,44.0,65.0,62.0,111.0,50.0,66.0,51.0,59.0,193.0,78.0,40.0,121.0,46.0,155.0,nan
SP_ROC,0.064343163538874,0.05643896976483763,0.05617534370069867,0.04946316390633923,0.049689440993788817,0.0825242718446602,0.053815789473684206,0.06225296442687747,0.04587775012690513,0.06232675462911631,0.04845699158688715,0.0782608695652174,0.047244094488188976,0.038527274035693726,0.058683816523751195,0.04495780183853579,0.04753839205058717,0.04950495049504951,0.0912280701754386,0.08577878103837472,nan
SU_BFL_Tim,188.0,228.0,216.0,188.0,192.0,199.0,197.0,208.0,182.0,190.0,195.0,199.0,195.0,203.0,194.0,183.0,214.0,179.0,191.0,183.0,nan
SU_BFL_Mag_10,342.5,583.3,558.0,200.0,170.0,553.5,447.1,225.0,73.0,80.2,256.0,446.0,345.4,400.0,640.0,300.0,380.0,180.0,280.0,716.0,nan
SU_BFL_Mag_50,660.0,670.0,640.0,600.0,503.5,618.0,600.0,599.5,405.0,500.0,460.0,947.0,550.0,525.0,710.0,500.0,560.0,537.0,380.0,2500.0,nan
SU_BFL_Dur_Fl,148.0,nan,175.0,180.0,nan,nan,196.0,nan,nan,181.0,nan,88.0,125.0,nan,171.0,152.0,170.0,181.0,169.0,92.0,nan
SU_BFL_Dur_Wet,174.0,142.0,179.0,188.0,158.0,218.0,198.0,170.0,215.0,203.0,207.0,193.0,125.0,149.0,177.0,201.0,186.0,197.0,188.0,277.0,nan
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,nan
FAFL_Tim,nan,335.0,nan,24.0,2.0,nan,nan,26.0,nan,nan,6.0,nan,286.0,319.0,nan,363.0,334.0,18.0,360.0,358.0,274.0
FAFL_Mag,nan,11799.755782107797,nan,8699.992024729032,2949.6627245104846,nan,nan,5959.986515589526,nan,nan,655.9964264610385,nan,67199.45191543867,6609.805224369641,nan,2019.9144252581393,4880.017528777608,2180.006558865937,4299.944224517383,9999.948881926608,2319.999013000018
FAFL_Tim_Wet,318.0,361.0,5.0,28.0,10.0,349.0,52.0,28.0,12.0,31.0,28.0,35.0,26.0,319.0,352.0,4.0,18.0,34.0,11.0,12.0,94.0
FAFL_Dur,nan,2.0,nan,2.0,4.0,nan,nan,3.0,nan,nan,1.0,nan,5.0,9.0,nan,2.0,5.0,2.0,4.0,4.0,-1.0
Wet_BFL_Mag,860.2,2070.0,1708.0,1654.0,920.0,684.0,2340.0,3764.0,1121.0,1000.0000000000001,640.0,2077.0,997.2,925.0,1374.0,1000.0,1008.0,1319.0,2135.0,702.4000000000001,1781.0000000000002
WIN_Tim_2,348.0,143.0,66.0,68.0,nan,23.0,65.0,73.0,nan,53.0,nan,43.0,68.0,nan,5.0,nan,29.0,51.0,23.5,27.0,nan
WIN_Dur_2,3.0,1.5,2.0,2.0,nan,2.0,3.0,1.5,nan,2.0,nan,1.5,2.5,nan,5.0,nan,2.0,4.0,3.5,2.0,nan
WIN_Fre_2,7.0,6.0,4.0,1.0,0.0,5.0,3.0,8.0,0.0,2.0,0.0,2.0,4.0,0.0,3.0,0.0,3.0,1.0,2.0,3.0,0.0
WIN_Tim_5,18.0,32.0,80.5,68.0,nan,69.5,65.0,89.0,48.0,53.0,nan,42.5,110.5,nan,68.0,nan,83.5,51.0,36.5,21.5,85.0
WIN_Dur_5,3.0,3.0,2.5,2.0,nan,6.0,4.0,4.0,3.0,2.5,nan,3.0,3.0,nan,3.0,nan,3.0,5.0,4.0,1.5,1.0
WIN_Fre_5,7.0,7.0,6.0,5.0,0.0,6.0,3.0,9.0,1.0,2.0,0.0,2.0,10.0,0.0,6.0,0.0,8.0,1.0,6.0,4.0,1.0
WIN_Tim_10,21.0,25.0,118.0,88.0,129.0,68.5,106.5,90.5,30.5,73.0,nan,104.0,44.0,352.5,107.0,101.0,78.5,51.0,115.5,14.0,131.5
WIN_Dur_10,7.0,5.0,4.0,2.0,1.0,6.5,6.0,9.0,2.0,1.0,nan,5.0,3.0,1.0,18.0,1.0,5.0,1.0,6.0,1.0,1.5
WIN_Fre_10,7.0,9.0,9.0,8.0,1.0,8.0,4.0,8.0,2.0,5.0,0.0,3.0,9.0,2.0,3.0,1.0,8.0,3.0,6.0,3.0,2.0
WIN_Tim_20,65.0,47.0,96.0,71.0,138.0,83.0,109.0,54.5,30.0,84.0,85.0,93.5,36.0,328.0,97.0,89.0,91.5,73.0,91.0,51.5,22.0
WIN_Dur_20,17.0,6.0,12.0,8.0,4.0,10.0,4.0,19.0,4.0,7.0,2.0,9.0,5.5,1.0,28.5,2.0,6.5,1.0,8.0,6.5,5.0
WIN_Fre_20,9.0,8.0,4.0,6.0,4.0,7.0,5.0,4.0,2.0,5.0,3.0,6.0,6.0,3.0,4.0,5.0,8.0,3.0,7.0,6.0,7.0
WIN_Tim_50,322.0,335.0,364.0,21.5,32.0,353.0,55.0,10.0,25.0,36.0,54.0,40.0,331.0,19.0,349.0,27.5,20.0,17.0,361.0,145.0,83.0
WIN_Dur_50,217.0,246.0,203.0,75.0,2.0,202.0,127.0,20.0,10.0,132.0,59.0,140.0,26.0,51.0,206.0,16.0,29.0,146.0,93.0,10.0,9.0
WIN_Fre_50,1.0,1.0,1.0,2.0,7.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,5.0,3.0,1.0,4.0,3.0,1.0,2.0,10.0,5.0
