Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,15.769506849315068,26.431178082191778,39.65191780821918,16.196885245901637,57.500602739726034,55.18312328767122,13.516246575342466,23.085109289617485,18.708109589041097,46.94076712328767,88.28131506849316,25.98806010928962,11.207534246575342,5.265835616438356,3.149150684931507
Std,16.958021023016702,48.741082702333195,107.93058831169371,22.03617919642594,88.45603677127153,99.82162433855471,12.883861940992036,34.422112362892186,17.651452343957533,57.153443822585054,133.30441496114676,31.597490835684106,10.327213389187497,5.4653321522686875,3.396311067570962
CV,1.0753678719986894,1.8440753019318838,2.7219512769523977,1.3605195605125278,1.5383497312482777,1.8089158132311882,0.953212999568676,1.4910959238288515,0.9435187590678571,1.2175651853425036,1.509995799878178,1.2158464580582278,0.9214527622204819,1.037885067131143,1.07848477490204
SP_Tim,120.0,92.0,132.0,74.0,141.0,109.0,117.0,62.0,127.0,123.0,96.0,121.0,44.0,120.0,58.0
SP_Mag,88.0,85.0,139.0,65.4,238.0,477.0,48.4,104.0,98.7,151.0,288.0,158.0,30.5,23.7,15.0
SP_Dur,56.0,84.0,69.0,133.0,82.0,98.0,93.0,123.0,85.0,104.0,134.0,76.0,147.0,77.0,120.0
SP_ROC,0.05882352941176469,0.05607966457023061,0.04143947655398034,0.040590405904059,0.0399754980291893,0.03867403314917142,0.06282564493582413,0.04500929500929496,0.05445544554455435,0.04025520063658065,0.031662489557226434,0.0473021457059007,0.03657779051987769,0.0866666666666666,0.08170993558461837
SU_BFL_Tim,176.0,176.0,201.0,207.0,223.0,207.0,210.0,185.0,212.0,227.0,230.0,197.0,191.0,197.0,178.0
SU_BFL_Mag_10,1.5,1.98,2.167,1.04,6.13,4.04,0.805,1.834,1.167,4.52,9.29,2.968,0.497,0.0,0.0
SU_BFL_Mag_50,2.8,2.84,4.91,3.25,9.2,5.985,2.9699999999999998,4.74,3.67,6.44,12.9,4.05,1.52,0.0,0.0
SU_BFL_Dur_Fl,154.0,nan,nan,nan,146.0,138.0,132.0,122.0,77.0,nan,49.0,126.0,113.0,110.0,129.0
SU_BFL_Dur_Wet,165.0,131.0,158.0,163.0,221.0,150.0,156.0,185.0,188.0,121.0,216.0,133.0,148.0,119.0,138.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,89.0
FAFL_Tim,285.0,328.0,nan,nan,nan,2.0,344.0,341.0,307.0,287.0,nan,278.0,323.0,302.0,306.0
FAFL_Mag,15.97694799380796,121.9729173644531,nan,nan,nan,271.96529225700476,22.97962380165493,60.776879038650996,21.282684207055947,71.36810262319584,nan,42.36796480692649,16.794405154043833,5.976468638432009,7.225255820544547
FAFL_Tim_Wet,40.0,339.0,306.0,358.0,5.0,77.0,356.0,365.0,5.0,33.0,347.0,80.0,330.0,337.0,315.0
FAFL_Dur,4.0,4.0,nan,nan,nan,3.0,2.0,2.0,3.0,3.0,nan,4.0,3.0,5.0,2.0
Wet_BFL_Mag,7.9,17.0,16.4,15.9,36.2,22.96,10.07,8.129999999999999,5.138,3.7,69.38,11.370000000000001,8.275,4.108,2.912
WIN_Tim_2,nan,3.0,74.0,57.0,115.0,103.5,nan,34.0,nan,63.0,2.0,nan,nan,nan,nan
WIN_Dur_2,nan,1.0,2.0,1.0,2.5,7.0,nan,1.0,nan,1.0,2.0,nan,nan,nan,nan
WIN_Fre_2,0.0,3.0,3.0,1.0,6.0,4.0,0.0,3.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0
WIN_Tim_5,nan,363.0,74.0,25.5,103.0,59.0,nan,34.0,nan,98.5,57.0,110.5,nan,nan,nan
WIN_Dur_5,nan,2.0,3.0,1.5,13.5,2.0,nan,1.0,nan,3.0,10.0,6.0,nan,nan,nan
WIN_Fre_5,0.0,5.0,3.0,2.0,4.0,3.0,0.0,3.0,0.0,6.0,5.0,2.0,0.0,0.0,0.0
WIN_Tim_10,113.0,27.0,104.0,57.0,44.5,69.5,50.0,34.0,55.0,55.0,47.0,92.0,359.0,nan,nan
WIN_Dur_10,3.0,5.0,5.0,1.0,3.5,1.5,1.0,2.0,1.0,1.0,48.0,4.0,1.0,nan,nan
WIN_Fre_10,2.0,4.0,5.0,3.0,4.0,6.0,2.0,3.0,3.0,7.0,3.0,3.0,1.0,0.0,0.0
WIN_Tim_20,93.0,66.0,30.0,34.0,50.0,9.0,67.0,41.0,64.0,14.0,346.0,49.0,9.5,nan,nan
WIN_Dur_20,8.5,3.0,4.0,1.0,7.0,1.5,2.0,3.0,8.0,3.0,102.5,1.5,2.5,nan,nan
WIN_Fre_20,4.0,7.0,10.0,5.0,7.0,6.0,9.0,9.0,8.0,6.0,2.0,4.0,2.0,0.0,0.0
WIN_Tim_50,1.5,325.0,206.0,345.0,348.0,334.0,92.5,4.0,362.5,316.0,312.0,341.5,334.0,87.0,13.0
WIN_Dur_50,2.5,2.5,3.5,1.5,4.0,6.0,20.0,8.0,6.0,117.0,3.0,45.5,3.0,6.5,1.0
WIN_Fre_50,8.0,4.0,4.0,4.0,6.0,3.0,4.0,5.0,6.0,2.0,5.0,4.0,9.0,6.0,6.0
