Year,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Avg,195.724043715847,526.5095890410959,363.958904109589,374.76164383561644,217.7377049180328,322.18630136986303,591.2931506849316,325.46301369863016,96.21857923497268,36.86027397260274,363.64931506849314,203.44383561643835,473.08196721311475,131.3068493150685
Std,316.4608468104328,874.3711591084493,795.4844726682811,361.63062310858095,245.53238030965477,355.95908388660155,653.4960892922085,381.1861255746904,75.02423130714055,25.600185892550826,407.52872698921317,245.46694724143163,871.093273162602,164.41312510414593
CV,1.6168726171929702,1.6606937030356757,2.185643663848264,0.964961673791795,1.1276521005036095,1.1048237692699667,1.105198138241959,1.1712118106534166,0.7797270745801181,0.6945196856534154,1.1206640851570293,1.2065587856110878,1.8413157413167485,1.2521290851297446
SP_Tim,58.0,143.0,25.0,172.0,101.0,157.0,152.0,170.0,127.0,152.0,164.0,143.0,147.0,93.0
SP_Mag,2400.0,2020.0,7040.0,1220.0,1050.0,810.0,1560.0,1300.0,223.0,106.0,1010.0,782.0,1420.0,573.0
SP_Dur,126.0,56.0,155.0,58.0,100.0,38.0,65.0,49.0,76.0,59.0,51.0,65.0,58.0,105.0
SP_ROC,0.0531015037593985,0.056177964052550974,0.053709845169646185,0.04195804195804196,0.044642857142857144,0.046778303603931565,0.06315789473684211,0.050505050505050504,0.03389830508474576,0.05173951828724353,0.04494949494949495,0.039230769230769236,0.05342237061769616,0.05
SU_Tim,184.0,199.0,180.0,230.0,201.0,195.0,217.0,219.0,203.0,211.0,215.0,208.0,205.0,198.0
SU_Mag_10,26.0,35.0,27.0,38.0,31.0,35.0,34.0,42.0,24.0,12.0,30.0,28.0,34.0,21.0
SU_Mag_50,40.0,43.5,35.0,45.0,43.0,40.0,48.0,71.5,25.0,16.0,42.0,41.0,45.0,36.0
SU_Dur_Fl,nan,158.0,137.0,127.0,108.0,118.0,157.0,66.0,116.0,140.0,162.0,158.0,134.0,142.0
SU_Dur_Wet,192.0,164.0,150.0,157.0,150.0,119.0,190.0,196.0,217.0,149.0,199.0,160.0,189.0,197.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,339.0,nan,355.0,316.0,356.0,309.0,311.0,8.0,284.0,319.0,349.0,11.0,365.0,339.0
FA_Mag,353.99078358612013,nan,2529.890822115366,338.95205308019837,513.8505638564576,380.9806795136501,956.9385805672885,632.9529835783073,181.96825084113897,67.96520181509234,685.7899740993538,1579.3966016831994,1429.9685969415816,520.925149337396
FA_Tim_Wet,28.0,11.0,361.0,329.0,21.0,351.0,312.0,41.0,49.0,55.0,358.0,48.0,2.0,29.0
FA_Dur,3.0,nan,3.0,4.0,6.0,3.0,3.0,3.0,2.0,5.0,2.0,7.0,2.0,2.0
Tim_2,51.0,26.0,358.0,85.0,nan,15.0,29.0,84.0,nan,nan,14.0,11.0,30.0,nan
Dur_2,5.0,5.0,2.0,2.0,nan,2.5,2.5,1.0,nan,nan,3.0,1.0,6.0,nan
Fre_2,1.0,5.0,3.0,1.0,0.0,2.0,6.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0
Tim_5,32.5,96.0,10.0,145.0,60.0,13.0,14.0,84.0,nan,nan,23.5,11.0,85.0,65.5
Dur_5,4.0,4.0,7.0,3.0,1.0,3.0,4.0,2.0,nan,nan,2.5,1.0,4.0,1.5
Fre_5,2.0,7.0,3.0,5.0,5.0,3.0,9.0,7.0,0.0,0.0,6.0,1.0,8.0,2.0
Tim_10,31.5,47.0,10.0,83.0,64.5,80.5,71.0,122.0,nan,nan,62.0,117.0,92.5,46.0
Dur_10,6.0,5.0,8.0,3.0,2.0,3.5,6.0,2.0,nan,nan,3.0,1.0,10.5,1.0
Fre_10,2.0,7.0,3.0,11.0,6.0,8.0,15.0,10.0,0.0,0.0,13.0,7.0,6.0,3.0
Tim_20,48.0,20.0,59.0,44.0,55.0,70.0,2.0,51.0,362.0,nan,37.0,92.5,46.0,46.0
Dur_20,2.0,12.0,2.0,3.5,3.0,10.0,2.5,4.0,1.5,nan,8.0,3.0,15.0,2.0
Fre_20,5.0,5.0,9.0,10.0,5.0,11.0,12.0,7.0,2.0,0.0,9.0,8.0,9.0,5.0
Tim_50,359.0,329.5,331.5,319.0,356.0,330.0,303.0,20.0,339.0,100.5,118.0,7.0,322.0,24.0
Dur_50,5.0,2.5,3.0,125.0,2.0,20.0,130.0,1.0,2.0,1.5,1.5,10.0,2.0,4.0
Fre_50,5.0,8.0,4.0,2.0,7.0,4.0,2.0,7.0,9.0,4.0,4.0,4.0,7.0,3.0
