Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Avg,619.5065753424658,747.7021857923497,603.172602739726,520.427397260274,251.44109589041096,891.3644808743169,320.4728767123288,957.0191780821917,317.8150684931507,330.7535519125683,357.5334246575342,377.7441095890411,534.1698630136987,208.93551912568304,797.4723287671234,381.21643835616436,599.5452054794521,308.9284153005465,839.5758904109588,712.2205479452055,509.246301369863,186.38196721311476,616.7323287671232,1080.490410958904,603.3054794520548,120.77622950819674,24.95454794520548,804.5917808219178,285.9967123287671,588.9945355191256,241.29205479452057,989.7594520547946,1310.0794520547945,611.5830601092896,265.62520547945206,680.4841095890412,207.9731506849315,265.93797814207653,265.228493150685,146.68657534246577,184.73369863013696,288.0826229508197,703.3150684931506,157.34438356164384,1089.1660273972602,567.5251366120219,639.9380821917808,1030.2624657534245,565.658904109589,410.5196721311475,204.29397260273973,352.5527671232877,653.6456986301371,474.79866120218577,467.6994520547945,1049.7138630136988,193.77413698630136,325.68316939890707,147.7358904109589,461.3643561643836,550.3641095890412,220.55043715846992,289.8840547945205,75.02632876712329
Std,1317.617199283303,1682.237909448094,1577.2051877405463,1382.6074922426662,485.6746179032948,2911.865501560048,851.9560032718255,1984.1411218492055,1078.741056880815,1281.1793584848308,801.694915586542,1141.3296957782634,1332.9589964492718,633.8637817977958,2996.666333152225,1002.3057990171857,1219.9465028963637,740.2792828549673,2051.8325661402105,2346.2878577183174,1287.732094922907,320.379787780047,1415.6101348196705,3072.532853337708,1446.9105046298932,267.1064122652526,45.451931750632326,1914.8448770358727,756.4976526071645,1728.5525503005301,762.382314775257,2293.2339827568694,2625.8601349808964,1475.9674149473167,675.6373379304756,2478.765118088361,558.0516763935842,779.4334724554047,732.4214500941405,317.65485104924977,682.7787705961068,868.0441665560729,2324.9357419590533,533.6276446418325,3508.4891764329604,1175.0454496369123,2649.5671568140247,2031.1018244817512,1161.568928746347,941.5770034565116,630.4727991628333,838.62639896098,1586.4775118336306,1425.4390257211123,793.7770562053655,2910.3592542497922,568.6343992848205,1037.9855987526146,425.97008415581723,1036.4620134370628,1263.3479604541494,698.8474685390336,1176.5092003738775,231.79381848862093
CV,2.126881701868812,2.249876944876662,2.6148488518486697,2.656676991874819,1.9315641947208704,3.2667506547982175,2.658434036639489,2.073251160781651,3.3942413806728085,3.873516553568256,2.2422936159170317,3.021436117216889,2.4953841254333144,3.033777044948023,3.7577057222599968,2.6292302696578567,2.0347865210944036,2.3962809705762207,2.443891719110552,3.2943276692697,2.5287019099774155,1.7189419801204004,2.2953395967575454,2.8436465721254516,2.3983049282828213,2.2115809820600902,1.8213887043930608,2.3798961444520272,2.6451270941098572,2.934751421381228,3.159583167479287,2.316960932270958,2.0043518206948177,2.4133556195679486,2.5435738928124456,3.6426495243001926,2.6832871193022574,2.930884403576968,2.761473480445511,2.165534578114107,3.6960163503418326,3.013177808729761,3.305681686786859,3.3914629334879924,3.221262037356295,2.0704729602844187,4.140349247132296,1.971441154071763,2.0534794384166686,2.293622126726509,3.0861057285758524,2.3787259019518983,2.427121474460024,3.002196809299997,1.6971947534211962,2.772526263389752,2.9345216452958294,3.1871023629141146,2.8833216016154952,2.2465151448929284,2.295476646174286,3.168651477380195,4.058550930674081,3.089499676947988
SP_Tim,26.0,18.0,23.0,99.0,120.0,58.0,69.0,96.0,52.0,71.0,83.0,52.0,108.0,27.0,10.0,39.0,112.0,80.0,45.0,28.0,89.0,64.0,21.0,93.0,85.0,108.0,82.0,42.0,64.0,58.0,33.0,105.0,87.0,363.0,92.0,53.0,76.0,20.0,82.0,153.0,87.0,80.0,26.0,55.0,78.0,64.0,6.0,56.0,88.0,62.0,69.0,6.0,4.0,61.0,92.0,106.0,60.0,59.0,67.0,106.0,87.0,96.0,362.0,96.0
SP_Mag,12900.0,8980.0,10500.0,5200.0,1740.0,6430.0,4000.0,8840.0,5820.0,4750.0,1930.0,3920.0,5310.0,2940.0,13900.0,4860.0,2210.0,2930.0,9950.0,24100.0,7820.0,1560.0,11100.0,20900.0,9330.0,1090.0,194.0,8850.0,4110.0,3290.0,8500.0,7760.0,7380.0,13000.0,2920.0,17600.0,4540.0,2670.0,6790.0,902.0,4300.0,5180.0,29700.0,4230.0,9210.0,4540.0,32200.0,9410.0,6390.0,5200.0,5080.0,7820.0,9900.0,6670.0,3800.0,7650.0,2620.0,4550.0,3210.0,6040.0,10700.0,3650.0,9930.0,1350.0
SP_Dur,77.0,97.0,155.0,43.0,48.0,36.0,108.0,34.0,90.0,42.0,45.0,58.0,56.0,31.0,127.0,88.0,35.0,47.0,44.0,66.0,50.0,95.0,102.0,33.0,58.0,44.0,102.0,101.0,93.0,31.0,92.0,40.0,69.0,141.0,43.0,50.0,54.0,53.0,54.0,54.0,40.0,52.0,168.0,40.0,32.0,67.0,91.0,133.0,53.0,34.0,35.0,110.0,156.0,39.0,104.0,31.0,37.0,35.0,101.0,66.0,37.0,47.0,43.0,51.0
SP_ROC,0.09582863585118377,0.10190574004336414,0.07932875667429443,0.05182926829268293,0.06030150753768844,0.0709223821872485,0.0945945945945946,0.056962025316455694,0.04918032786885246,0.08737864077669903,0.0759493670886076,0.08848080133555926,0.05510752688172043,0.0698051948051948,0.08333333333333333,0.06235011990407674,0.0895995004905896,0.05140341221794166,0.12652911103755193,0.08421052631578947,0.05660377358490566,0.06756756756756757,0.12188365650969529,0.09700854700854701,0.059846547314578,0.05657810499359795,0.08333333333333333,0.098486449673571,0.07581786030061893,0.10124584717607973,0.09523809523809523,0.061525665162517805,0.07674982674982675,0.06553247718544825,0.045877061469265366,0.08663366336633663,0.0684931506849315,0.048457411133467465,0.07228623775419045,0.06764795607077487,0.09318181818181819,0.06593406593406594,0.07673860911270983,0.056818181818181816,0.13243243243243244,0.08361362990519,0.06570730333833891,0.06715072945431441,0.06250718216524725,0.08227096286797779,0.07582938388625593,0.08403361344537816,0.08276443276019252,0.08110687022900763,0.06181818181818182,0.07067693458452332,0.07225966939496067,0.05405405405405406,0.05676855895196495,0.07038183694530444,0.06756756756756757,0.06806282722513089,0.05555555555555555,0.058122205663189146
SU_Tim,103.0,115.0,178.0,142.0,168.0,94.0,177.0,130.0,142.0,113.0,128.0,110.0,164.0,58.0,137.0,127.0,147.0,127.0,89.0,94.0,139.0,159.0,123.0,126.0,143.0,152.0,184.0,143.0,157.0,89.0,125.0,145.0,156.0,139.0,135.0,103.0,130.0,73.0,136.0,207.0,127.0,132.0,194.0,95.0,110.0,131.0,97.0,189.0,141.0,96.0,104.0,116.0,160.0,100.0,196.0,137.0,97.0,94.0,168.0,172.0,124.0,143.0,40.0,147.0
SU_Mag_10,9.4,9.9,16.0,17.0,9.8,11.0,14.0,15.0,7.2,7.1,8.5,10.0,13.0,7.1,14.0,8.5,12.0,9.2,6.7,5.76,10.0,4.69,7.5,11.0,9.2,4.0,0.44500000000000006,11.0,4.8,7.88,2.8,11.0,20.0,7.23,5.0,6.3100000000000005,2.5,1.5,3.3,4.16,1.3,2.4,11.0,1.7,9.02,7.5,7.07,16.0,9.71,7.6,1.7,1.68,7.64,3.0289999999999995,10.1,5.225,2.97,2.335,0.97,6.949999999999999,9.485,1.2169999999999999,1.2610000000000001,0.349
SU_Mag_50,24.5,22.0,28.0,24.0,14.0,30.0,89.0,27.0,15.0,35.0,26.0,57.0,50.0,37.0,30.0,18.0,26.0,19.0,27.0,19.0,16.0,15.0,17.0,36.0,39.0,7.2,7.2,19.0,21.0,30.0,11.0,22.5,30.0,15.5,19.0,23.0,6.5,29.5,18.0,7.6,12.0,12.0,21.0,14.0,28.0,19.0,28.0,43.0,29.5,28.0,8.9,8.55,17.7,18.1,18.6,30.15,16.2,19.1,10.8,53.5,32.45,11.350000000000001,9.57,3.9
