Year,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988
Avg,4.714657534246575,2.249890410958904,9.520437158469946,1.0718082191780822,1.423616438356164,4.041397260273972,0.3349726775956284,0.5330684931506849,1.4147945205479455,0.591890410958904,0.8850273224043714,0.298027397260274
Std,13.594031857509794,5.8173187335974825,32.629163232475264,5.38851793144151,5.766696028555448,10.578037778961804,0.9901323940380051,2.4581023771760506,5.081499862067218,1.766316960352416,3.1828325142019547,0.9104344585740256
CV,2.883355102415129,2.5856009276105762,3.427275732128164,5.027501968191383,4.050737174132518,2.6174209308601113,2.9558601649095424,4.611231781206036,3.5916875477430947,2.984195938384706,3.5963098919421945,3.0548683340643437
SP_Tim,65.0,91.0,56.0,69.0,89.0,70.0,359.0,1.0,79.0,85.0,116.0,360.0
SP_Mag,82.0,53.0,230.0,31.0,10.0,20.0,12.0,34.0,53.0,5.2,29.0,13.0
SP_Dur,72.0,53.0,43.0,51.0,39.0,77.0,127.0,144.0,58.0,80.0,25.0,175.0
SP_ROC,0.1875,0.2,0.1,0.18750000000000003,0.18834459459459463,0.11861593462717065,0.1666666666666666,0.2732919254658385,0.0990259740259741,0.10195852534562212,0.08005319148936171,0.1666666666666666
SU_Tim,137.0,144.0,99.0,120.0,128.0,147.0,121.0,145.0,137.0,165.0,141.0,170.0
SU_Mag_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.07,0.03
SU_Mag_50,0.0,0.0,0.08,0.0,0.065,0.05,0.0,0.01,0.1,0.24,0.15,0.07
SU_Dur_Fl,179.0,234.0,240.0,214.0,187.0,128.0,208.0,172.0,146.0,120.0,178.0,150.0
SU_Dur_Wet,214.0,251.0,302.0,313.0,284.0,179.0,216.0,258.0,189.0,303.0,188.0,160.0
SU_No_Flow,155.0,135.0,68.0,227.0,117.0,20.0,189.0,108.0,0.0,1.0,0.0,0.0
FA_Tim,10.0,315.0,12.0,339.0,332.0,314.0,274.0,329.0,315.0,282.0,284.0,319.0
FA_Mag,58.835322702395594,7.66119214454296,59.969985684137356,11.957577826612004,30.85738892139092,11.987647494273725,1.3138483335507372,7.671373054010438,22.983859766673895,4.002109926997956,12.959016439288366,2.17928082668886
FA_Tim_Wet,11.0,350.0,29.0,36.0,66.0,46.0,325.0,337.0,36.0,325.0,102.0,329.0
FA_Dur,2.0,14.0,2.0,8.0,7.0,3.0,0.0,5.0,5.0,4.0,2.0,4.0
Tim_2,54.5,31.0,66.0,61.0,73.0,77.0,nan,362.0,19.5,nan,17.0,nan
Dur_2,3.0,1.0,2.5,1.0,1.0,2.0,nan,1.0,1.0,nan,1.0,nan
Fre_2,6.0,5.0,8.0,3.0,5.0,5.0,0.0,1.0,4.0,0.0,3.0,0.0
Tim_5,24.5,45.5,45.0,57.0,41.0,44.0,359.0,356.5,13.0,354.5,9.0,360.0
Dur_5,5.5,1.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
Fre_5,6.0,10.0,9.0,7.0,9.0,12.0,1.0,4.0,10.0,2.0,6.0,1.0
Tim_10,36.5,28.0,28.0,57.0,58.5,27.0,329.0,362.0,38.0,7.0,9.0,40.0
Dur_10,10.5,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0
Fre_10,6.0,13.0,9.0,7.0,10.0,13.0,3.0,9.0,12.0,9.0,8.0,4.0
Tim_20,9.0,328.0,7.0,83.0,10.0,11.0,343.5,12.5,38.0,45.0,360.0,24.0
Dur_20,2.5,2.0,7.0,2.0,3.0,2.5,1.0,1.5,3.0,2.0,2.0,1.5
Fre_20,6.0,7.0,5.0,9.0,9.0,16.0,10.0,16.0,10.0,11.0,18.0,12.0
Tim_50,360.5,344.0,84.5,12.0,20.0,194.0,69.0,351.0,186.0,75.5,187.0,322.0
Dur_50,75.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,1.5,7.5,8.0,2.0
Fre_50,2.0,7.0,8.0,7.0,9.0,13.0,9.0,13.0,14.0,10.0,11.0,19.0
