Year,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973
Avg,122.34684931506848,63.09945205479452,82.94684931506849,51.72595628415301,106.63068493150683,94.36849315068493,101.86109589041097,61.88907103825137,90.00109589041097,37.24
Std,380.0873068012704,214.8887394813049,147.21689049235337,104.35830332950175,241.41729027709746,270.1085447349367,226.43619336261693,142.2777923937065,171.9866175071152,36.67291098344935
CV,3.1066374731274595,3.405556347695366,1.7748340257404966,2.0175229387005733,2.2640508258215677,2.8622746397320875,2.222989958857622,2.2989162707866435,1.9109391480802986,0.9847720457424637
SP_Tim,365.0,9.0,112.0,81.0,26.0,27.0,89.0,67.0,21.0,nan
SP_Mag,1500.0,2390.0,380.0,339.0,1410.0,2340.0,1620.0,814.0,1110.0,nan
SP_Dur,139.0,125.0,57.0,46.0,64.0,38.0,58.0,69.0,105.0,nan
SP_ROC,0.0824829931972789,0.08149905123339658,0.05555555555555555,0.061553030303030304,0.10748244912467786,0.13043478260869565,0.07246376811594203,0.08620689655172414,0.09271523178807947,nan
SU_Tim,139.0,134.0,169.0,127.0,90.0,65.0,147.0,136.0,126.0,nan
SU_Mag_10,3.0,2.8,4.1,2.8,3.0,1.7,3.0,3.4,nan,nan
SU_Mag_50,8.1,6.85,6.6,4.8,6.2,7.1,5.8,11.0,nan,nan
SU_Dur_Fl,nan,187.0,nan,218.0,258.0,nan,194.0,216.0,nan,nan
SU_Dur_Wet,224.0,246.0,168.0,222.0,268.0,262.0,197.0,218.0,nan,nan
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FA_Tim,333.0,nan,320.0,nan,345.0,346.0,nan,340.0,352.0,nan
FA_Mag,704.8420257662193,nan,141.96151687275682,nan,709.8511820069937,422.9683538674217,nan,177.2432627587591,517.8670157268965,nan
FA_Tim_Wet,345.0,361.0,14.0,336.0,349.0,356.0,326.0,343.0,354.0,nan
FA_Dur,5.0,nan,3.0,nan,3.0,9.0,nan,5.0,3.0,nan
Tim_2,356.0,4.0,21.0,15.0,7.0,17.5,15.0,57.0,17.0,nan
Dur_2,3.0,3.0,1.0,1.0,2.0,1.5,2.0,1.0,2.0,nan
Fre_2,3.0,1.0,3.0,1.0,6.0,4.0,5.0,3.0,3.0,nan
Tim_5,363.5,3.0,47.5,14.0,20.0,10.0,363.0,38.5,10.0,nan
Dur_5,2.0,5.0,4.0,1.0,4.0,1.0,3.0,6.5,3.0,nan
Fre_5,4.0,1.0,4.0,5.0,9.0,5.0,7.0,2.0,3.0,nan
Tim_10,355.0,36.0,80.0,23.5,6.5,17.5,365.5,24.0,44.0,nan
Dur_10,6.0,3.5,4.0,3.0,6.5,6.0,4.0,4.5,3.0,nan
Fre_10,5.0,4.0,8.0,8.0,6.0,4.0,8.0,4.0,11.0,nan
Tim_20,13.0,49.5,20.5,50.5,358.0,10.0,10.0,21.0,341.0,nan
Dur_20,6.5,8.5,16.5,11.0,11.0,11.0,9.0,6.0,2.0,nan
Fre_20,8.0,6.0,6.0,6.0,3.0,5.0,7.0,7.0,11.0,nan
Tim_50,314.0,337.5,316.0,333.0,329.0,56.0,308.0,118.0,296.5,nan
Dur_50,198.0,9.5,217.0,31.0,3.0,2.0,14.0,27.0,108.0,nan
Fre_50,1.0,4.0,1.0,3.0,5.0,4.0,3.0,4.0,2.0,nan
