Year,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Avg,0.2379178082191781,0.14863387978142079,2.3992876712328766,1.1509041095890409,2.2662739726027397,0.49784153005464477,0.17164383561643834,5.072876712328767,1.5155890410958905,2.671530054644809,1.2654794520547945
Std,0.4311145718558223,1.4353481679452358,7.9515415262245,5.30282607560019,7.833211229854226,1.9714634898539631,0.4501312250025256,15.291805924639998,2.6955840083702216,9.817898891440029,4.0759313049906085
CV,1.8120315376252318,9.656938041690372,3.314125947281091,4.607530750319152,3.4564273007371855,3.9600221573269883,2.622472420206255,3.014424909534241,1.7785718524469545,3.6750097100237786,3.2208593338851963
SP_Tim,356.0,361.0,63.0,12.0,73.0,44.0,7.0,67.0,90.0,55.0,69.0
SP_Mag,6.0,27.0,60.0,27.0,40.0,23.0,6.5,183.0,37.0,42.0,45.0
SP_Dur,292.0,228.0,52.0,212.0,34.0,55.0,265.0,113.0,52.0,42.0,42.0
SP_ROC,0.1666666666666666,0.3904761904761905,0.13461538461538464,0.10526315789473682,0.11250000000000004,0.23470806302131608,0.20000000000000004,0.0701754385964913,0.08166666666666665,0.08571428571428566,0.08695652173913032
SU_BFL_Tim,283.0,224.0,115.0,224.0,107.0,99.0,272.0,180.0,142.0,97.0,111.0
SU_BFL_Mag_10,0.0,0.0,0.0,0.09,0.26,0.06,0.0,0.61,0.32200000000000006,0.39,0.28
SU_BFL_Mag_50,0.0,0.0,0.06,0.17,0.41,0.08,0.0,0.9,0.52,0.64,0.43
SU_BFL_Dur_Fl,nan,98.0,222.0,114.0,nan,176.0,104.0,nan,217.0,296.0,283.0
SU_BFL_Dur_Wet,79.0,158.0,251.0,179.0,291.0,260.0,109.0,197.0,263.0,304.0,291.0
SU_BFL_No_Flow,51.0,135.0,64.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0
FAFL_Tim,nan,nan,322.0,335.0,337.0,nan,275.0,9.0,nan,358.0,28.0
FAFL_Mag,nan,nan,11.993011330626116,9.879222056142574,64.80647983382728,nan,1.0731370830769251,22.982752359721026,nan,36.88456051052311,10.75210132023279
FAFL_Tim_Wet,345.0,353.0,17.0,364.0,37.0,32.0,359.0,14.0,11.0,39.0,36.0
FAFL_Dur,nan,nan,2.0,7.0,3.0,nan,6.0,4.0,nan,7.0,3.0
Wet_BFL_Mag,0.11,0.0,0.0,0.0,0.16,0.26,0.098,0.28500000000000003,1.1,0.583,1.1
WIN_Tim_2,nan,361.0,56.0,7.0,40.0,155.5,nan,61.0,50.5,38.0,64.0
WIN_Dur_2,nan,1.0,1.0,1.0,1.0,2.0,nan,1.0,2.0,1.5,1.0
WIN_Fre_2,0.0,1.0,9.0,3.0,5.0,2.0,0.0,11.0,2.0,4.0,3.0
WIN_Tim_5,356.0,361.0,38.0,60.0,49.5,155.5,7.0,66.0,61.0,47.0,52.0
WIN_Dur_5,1.0,1.0,2.0,1.0,2.0,2.5,1.0,10.5,2.0,4.0,1.0
WIN_Fre_5,1.0,1.0,9.0,7.0,6.0,2.0,1.0,6.0,8.0,5.0,8.0
WIN_Tim_10,355.0,357.5,28.5,60.0,33.0,61.0,68.0,14.0,47.5,53.5,57.0
WIN_Dur_10,3.0,2.0,2.5,2.0,3.0,2.0,1.0,2.0,2.5,3.0,2.0
WIN_Fre_10,1.0,2.0,6.0,9.0,5.0,5.0,4.0,7.0,10.0,6.0,7.0
WIN_Tim_20,13.0,357.5,38.0,32.0,112.5,157.5,68.0,114.5,45.0,45.0,45.5
WIN_Dur_20,1.0,2.5,5.0,4.0,2.5,2.0,1.0,2.0,9.5,2.0,3.0
WIN_Fre_20,3.0,2.0,9.0,8.0,8.0,6.0,4.0,14.0,6.0,9.0,6.0
WIN_Tim_50,65.0,357.0,26.0,355.0,18.0,10.0,41.0,6.0,241.0,297.5,321.0
WIN_Dur_50,7.0,5.5,2.0,3.0,3.0,2.0,2.0,2.0,17.0,1.0,5.0
WIN_Fre_50,6.0,2.0,10.0,5.0,9.0,23.0,8.0,9.0,3.0,8.0,7.0
