Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977
Avg,4.781095890410959,115.08524590163934,32.05671232876713,32.0427397260274,17.75068493150685,16.988524590163934,18.453698630136987,146.51205479452057,29.471232876712328,11.4948087431694,7.115342465753424,83.88054794520548,18.929041095890412,13.723497267759564,21.104657534246574,159.75068493150684,143.05178082191782,47.46174863387978,363.14246575342463,49.536986301369865,46.701369863013696,20.32732240437159,76.25424657534246,50.30684931506849,30.706849315068492,24.02513661202186,22.169041095890414,327.9879452054795
Std,2.881247618674955,247.14357401267628,47.26072063795277,41.77197635894497,10.18655201707733,31.605032273931954,35.24120904689932,253.93583682604734,50.560727299509416,6.219583942433186,7.809192700666431,278.7638756882621,22.55827352790889,15.653262891015357,27.731036076371517,415.539389862054,201.2141878718751,55.16534917815479,1346.880335158902,81.3061313074106,91.02840817027334,37.37341281882959,215.36423944715503,58.202801629049134,18.45866414056029,34.8897126062449,23.679373150046292,727.3750083784747
CV,0.6026333051494805,2.147482694905167,1.4742847037230902,1.3036331074091891,0.5738681102381888,1.8603753437323645,1.9097097960268203,1.7332078045194703,1.715595934212228,0.5410776361223992,1.0975146647195901,3.3233435226289068,1.1917282768648225,1.1406176272421,1.3139770702922946,2.601174386452344,1.406582894080588,1.1623117724486014,3.7089585002527348,1.6413217149054182,1.949159273856023,1.8385802160933933,2.824291749238725,1.156955810619918,0.6011253043633571,1.4522170329215338,1.0681279829661128,2.2176882382759078
SP_Tim,125.0,84.0,15.0,95.0,133.0,134.0,65.0,99.0,53.0,230.0,33.0,50.0,161.0,101.0,115.0,11.0,123.0,338.0,61.0,69.0,342.0,5.0,51.0,23.0,144.0,47.0,137.0,67.0
SP_Mag,11.0,375.0,380.0,103.0,48.0,72.0,84.0,1780.0,225.0,13.0,20.0,819.0,32.0,44.0,120.0,983.0,518.0,181.0,14400.0,280.0,128.0,72.0,695.0,254.0,44.0,70.0,64.0,7260.0
SP_Dur,82.0,92.0,181.0,113.0,97.0,79.0,142.0,145.0,48.0,38.0,154.0,64.0,69.0,107.0,27.0,157.0,82.0,202.0,30.0,65.0,90.0,77.0,93.0,151.0,101.0,97.0,131.0,119.0
SP_ROC,0.07142857142857134,0.026787849796699355,0.045454545454545456,0.04878048780487805,0.06066176470588235,0.058823529411764705,0.05263157894736842,0.03389830508474576,0.045454545454545456,0.07067627494456769,0.0754985754985755,0.03773584905660377,0.06060606060606053,0.058823529411764705,0.06741573033707865,0.034482758620689655,0.03896103896103896,0.044444444444444446,0.05953832232604611,0.029857397504456328,0.030463917525773196,0.05714285714285714,0.03571428571428571,0.043478260869565216,0.06458333333333333,0.047619047619047616,0.05263157894736842,0.04193775276947424
SU_Tim,207.0,176.0,196.0,208.0,230.0,213.0,207.0,244.0,101.0,268.0,187.0,114.0,230.0,208.0,142.0,168.0,205.0,175.0,91.0,134.0,67.0,82.0,144.0,174.0,245.0,144.0,268.0,186.0
SU_Mag_10,0.8,25.0,2.7,4.4,5.5,4.3,6.4,17.0,6.9,2.8999999999999995,1.5,9.8,3.5,2.1,3.7700000000000005,8.9,33.0,11.0,24.300000000000004,13.0,11.0,6.0,17.0,15.0,9.139999999999999,9.2,8.8,9.36
SU_Mag_50,4.5,35.0,4.0,14.5,10.0,6.0,10.0,26.0,10.0,3.5,2.5,39.0,9.1,6.5,17.0,15.0,62.0,14.0,53.0,15.0,22.0,10.0,28.0,25.0,11.0,15.0,18.0,40.0
SU_Dur_Fl,158.0,115.0,nan,67.0,nan,103.0,144.0,128.0,176.0,nan,151.0,167.0,95.0,nan,nan,170.0,nan,nan,318.0,nan,nan,nan,180.0,128.0,nan,132.0,96.0,177.0
SU_Dur_Wet,166.0,173.0,187.0,146.0,155.0,160.0,196.0,158.0,262.0,38.0,216.0,284.0,217.0,247.0,180.0,220.0,118.0,209.0,324.0,180.0,287.0,319.0,225.0,241.0,155.0,313.0,124.0,205.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,274.0,364.0,291.0,nan,274.0,nan,316.0,349.0,6.0,276.0,nan,336.0,280.0,324.0,nan,nan,337.0,nan,nan,42.0,nan,nan,nan,322.0,301.0,nan,276.0,362.0
FA_Mag,7.626856123488818,306.99540373919507,191.96188642815105,nan,38.000186839273724,nan,143.00523596104986,696.9688866287311,289.7203478485565,12.034104998618886,nan,502.949986711178,56.070462507118656,41.944165535118984,nan,nan,540.9811496875101,nan,nan,224.0340170885562,nan,nan,nan,190.88099754966387,56.031091964316865,nan,41.000251379824796,745.9574246371485
FA_Tim_Wet,348.0,7.0,349.0,16.0,353.0,19.0,8.0,36.0,36.0,362.0,306.0,36.0,32.0,81.0,90.0,320.0,22.0,322.0,19.0,48.0,313.0,353.0,36.0,2.0,49.0,34.0,92.0,25.0
FA_Dur,3.0,3.0,2.0,nan,5.0,nan,4.0,4.0,6.0,2.0,nan,3.0,7.0,8.0,nan,nan,9.0,nan,nan,5.0,nan,nan,nan,5.0,4.0,nan,0.0,6.0
Tim_2,nan,16.0,nan,25.0,nan,26.0,14.0,75.0,47.0,nan,nan,5.5,nan,nan,nan,350.5,24.0,325.0,37.0,59.0,333.0,nan,44.5,7.0,nan,40.0,nan,59.0
Dur_2,nan,4.0,nan,1.0,nan,1.0,1.0,2.0,1.0,nan,nan,6.0,nan,nan,nan,7.0,3.0,2.0,13.0,3.0,1.0,nan,2.0,1.0,nan,1.0,nan,8.0
Fre_2,0.0,3.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,5.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,7.0
Tim_5,nan,50.0,365.5,25.0,nan,26.0,14.0,71.0,42.0,nan,nan,5.5,40.0,nan,nan,363.0,62.5,323.0,112.0,59.0,344.0,358.0,60.0,42.0,nan,147.5,nan,25.0
Dur_5,nan,3.0,2.0,1.0,nan,2.0,1.0,4.5,1.0,nan,nan,13.5,2.0,nan,nan,20.0,8.0,5.0,2.0,10.0,1.5,3.0,2.0,1.5,nan,1.0,nan,6.5
Fre_5,0.0,6.0,2.0,1.0,0.0,1.0,1.0,8.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,6.0,1.0,3.0,1.0,2.0,1.0,5.0,4.0,0.0,2.0,0.0,4.0
Tim_10,nan,12.0,348.0,63.0,nan,26.0,14.0,50.0,42.0,nan,nan,336.0,40.0,92.0,99.0,60.0,22.0,13.0,87.0,50.0,353.0,358.0,42.0,6.0,65.0,147.0,98.0,33.5
Dur_10,nan,29.0,4.5,1.0,nan,2.0,1.0,5.0,2.0,nan,nan,1.0,2.0,1.0,3.0,13.0,16.0,9.5,66.0,14.0,5.0,4.0,15.0,2.0,3.0,2.0,1.0,3.0
Fre_10,0.0,3.0,6.0,6.0,0.0,1.0,3.0,7.0,3.0,0.0,0.0,3.0,1.0,1.0,3.0,6.0,5.0,2.0,2.0,2.0,7.0,1.0,3.0,3.0,1.0,2.0,5.0,8.0
Tim_20,nan,38.5,345.0,44.0,69.5,104.0,14.0,34.0,26.5,nan,351.0,5.0,40.0,56.5,99.0,320.0,133.5,352.0,215.5,41.0,20.0,358.0,28.0,4.0,65.0,61.0,98.0,126.0
Dur_20,nan,4.0,4.5,7.0,1.0,3.0,3.0,7.0,9.0,nan,1.5,1.5,3.0,2.5,14.5,167.0,19.0,18.0,13.5,20.0,5.5,22.0,48.5,3.0,1.0,7.0,1.0,21.0
Fre_20,0.0,6.0,8.0,5.0,2.0,3.0,3.0,7.0,4.0,0.0,2.0,4.0,3.0,2.0,2.0,1.0,6.0,7.0,4.0,3.0,4.0,1.0,2.0,5.0,7.0,3.0,5.0,4.0
Tim_50,119.0,346.0,10.5,145.0,10.0,54.0,108.0,365.0,106.0,46.0,354.5,357.0,111.0,98.5,190.0,320.0,323.5,43.0,7.5,274.0,332.0,144.5,342.0,322.0,34.0,36.0,113.5,356.0
Dur_50,1.0,13.0,120.0,27.5,2.0,15.0,10.0,11.5,32.0,4.5,2.5,3.5,8.0,3.0,2.0,229.0,156.0,136.5,5.5,268.0,62.0,12.0,2.0,11.0,20.0,22.0,16.0,140.0
Fre_50,1.0,3.0,2.0,4.0,11.0,3.0,7.0,4.0,5.0,6.0,4.0,6.0,9.0,4.0,5.0,1.0,2.0,2.0,4.0,1.0,3.0,6.0,9.0,4.0,7.0,3.0,8.0,2.0
