Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001
Avg,106.22575342465751,143.98907103825135,56.933698630136995,60.773972602739725,39.29945205479452,158.7928961748634,57.86465753424657,121.94000000000001,34.235068493150685,35.10819672131148,20.15232876712329,66.63561643835617,80.59123287671233,37.27841530054645,107.10301369863014,54.03342465753425,146.07561643835618,32.68142076502732,185.01821917808218,73.95013698630137,64.94301369863014,45.48379781420765,86.38876712328766,88.7904109589041,97.27671232876712,22.68188524590164,6.488630136986302,133.98301369863015,90.02931506849315,145.51256830601093,33.13723287671233,168.3786301369863,246.10191780821918,120.70683060109289,46.041917808219175,129.3309589041096,18.578630136986302,22.135136612021856,42.962575342465755,26.839917808219177,35.9965205479452,21.547431693989072,116.69616438356167,19.256027397260276,206.40219178082194,97.52540983606558,nan,181.81013698630136,104.26301369863013,89.33934426229509,47.02328767123288,59.159150684931504
Std,160.8015238624533,211.47825965518842,74.32745976663827,111.0466270418382,66.81124833296668,270.79806493288237,86.83160295340664,183.09801848355087,47.62017849964209,56.08122123703006,30.31622516533801,101.62956177884331,145.22602291379025,50.79604023444797,135.9857043925456,69.27485839812262,204.2229024830286,41.43036470142282,261.49330377943943,84.77666505788841,84.5005580703778,61.9733408580388,140.1979999461154,111.03839711594223,171.83415397232008,27.288316631626884,9.715601281467949,180.6673783752889,139.79417723904606,183.98985718499733,52.99967747395288,233.63033541370592,276.05759081825084,122.17901017406132,66.83350953168635,201.17441774891446,27.920332352452764,29.23499425202207,71.54814771597368,40.78552639119597,63.819550190545456,34.67932070644745,166.65977070050704,27.970360258415525,271.1499500137449,144.15894379347992,nan,215.43970794692237,117.54106610480699,114.31378100881695,75.18209040694693,73.41052726636174
CV,1.5137715542446553,1.4687104939999804,1.3055090667742804,1.8272069816418774,1.7000554674353463,1.7053537749867502,1.5005982348036244,1.5015418934193117,1.3909765803205367,1.5973825623173483,1.504353443002389,1.5251537722752162,1.8020077089024755,1.362612649301736,1.2696720633388199,1.282074176071369,1.3980629174288683,1.2677039042855145,1.4133381292993048,1.1464030833856678,1.3011493193479593,1.3625366358189281,1.6228730263743107,1.25056744210065,1.766446972339797,1.2030885588118199,1.4973270284104128,1.348434949983037,1.5527628654365797,1.2644258796811914,1.5993996140576712,1.3875296124195415,1.1217205996475628,1.0121963236515887,1.4515796194691863,1.5555008596052557,1.502819752941258,1.320750567951959,1.665359842738592,1.5195846232698313,1.7729366399605664,1.6094410321821178,1.4281512299986396,1.4525509172465716,1.3136970478573138,1.4781680388301115,nan,1.1849708246089428,1.1273515116737058,1.2795457807838657,1.598826754364531,1.2408989381428057
SP_Tim,143.0,152.0,162.0,132.0,162.0,151.0,158.0,172.0,136.0,138.0,143.0,157.0,151.0,151.0,161.0,134.0,175.0,144.0,157.0,147.0,163.0,153.0,156.0,151.0,161.0,138.0,166.0,162.0,146.0,166.0,136.0,150.0,166.0,145.0,139.0,153.0,134.0,138.0,135.0,122.0,159.0,121.0,170.0,148.0,180.0,141.0,nan,171.0,150.0,147.0,133.0,142.0
SP_Mag,257.0,886.0,293.0,550.0,280.0,633.0,399.0,509.0,196.0,269.0,117.0,332.0,506.0,248.0,435.0,313.0,830.0,143.0,990.0,292.0,331.0,189.0,622.0,475.0,814.0,140.0,92.0,711.0,699.0,455.0,203.0,696.0,1110.0,367.0,220.0,490.0,154.0,131.0,321.0,206.0,315.0,172.0,435.0,96.0,755.0,1540.0,nan,890.0,531.0,400.0,354.0,270.0
SP_Dur,63.0,82.0,67.0,57.0,55.0,75.0,50.0,59.0,66.0,48.0,65.0,64.0,72.0,69.0,58.0,71.0,55.0,66.0,71.0,72.0,62.0,53.0,52.0,70.0,58.0,60.0,50.0,67.0,68.0,57.0,59.0,75.0,85.0,70.0,60.0,47.0,68.0,68.0,68.0,76.0,60.0,103.0,53.0,53.0,63.0,73.0,nan,67.0,64.0,75.0,54.0,73.0
SP_ROC,0.06666666666666667,0.05758077879038939,0.06366092536305301,0.07142857142857142,0.0714285714285715,0.058823529411764705,0.08392018779342722,0.06944779358572462,0.07142857142857134,0.07692307692307693,0.08955223880597014,0.06644591611479028,0.06293706293706294,0.07059800664451825,0.06371753246753246,0.06666666666666667,0.06593406593406594,0.07317073170731704,0.07368421052631578,0.06796116504854369,0.06779661016949153,0.08733790999237223,0.06859158609877189,0.07692307692307693,0.07142857142857142,0.06329113924050632,0.1291666666666667,0.07407407407407407,0.06814488042721151,0.0625,0.08695652173913043,0.05962324506842012,0.07402031930333818,0.060024009603841535,0.07117527862208714,0.06557377049180328,0.07846153846153846,0.08333333333333333,0.06944444444444445,0.07092555331991951,0.09090909090909091,0.10126582278481021,0.07142857142857142,0.0777777777777777,0.06620530565167243,0.07142857142857142,nan,0.054459912348543436,0.04918032786885246,0.06066176470588235,0.06091527520098949,0.05332535440869984
SU_BFL_Tim,206.0,234.0,229.0,189.0,217.0,226.0,208.0,231.0,202.0,186.0,208.0,221.0,223.0,220.0,219.0,205.0,230.0,210.0,228.0,219.0,225.0,206.0,208.0,221.0,219.0,198.0,216.0,229.0,214.0,223.0,195.0,225.0,251.0,215.0,199.0,200.0,202.0,206.0,203.0,198.0,219.0,224.0,223.0,201.0,243.0,214.0,nan,238.0,214.0,222.0,187.0,215.0
SU_BFL_Mag_10,2.3600000000000003,5.1,1.83,1.5,0.25,5.1,2.73,4.4,1.0400000000000003,0.6,0.1,1.3900000000000001,3.3,0.8,4.140000000000001,1.1,5.4,0.9,5.36,2.2,2.1,1.7,1.93,2.41,6.0,1.2,0.0,6.42,2.5,6.0,0.37,9.04,17.0,3.7,2.3,3.1900000000000004,0.3340000000000001,0.01,0.36,0.464,0.15,0.02,2.79,0.0,4.7,nan,nan,19.0,6.8,6.98,2.292,1.967
SU_BFL_Mag_50,12.0,13.0,5.5,9.2,1.5,8.2,10.0,6.2,3.2,3.7,2.9,3.1,15.0,2.7,27.0,8.6,10.5,11.0,12.0,19.0,9.0,8.75,27.0,8.0,15.0,2.1,1.6,11.5,6.0,8.3,6.0,53.0,22.0,14.0,6.0,5.2,5.0,2.4,5.8,1.7,3.7,3.6,5.6,6.9,7.05,nan,nan,28.0,11.0,11.0,8.0,7.515000000000001
