Year,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Avg,4.387158469945355,37.54630136986301,7.516712328767125,58.86128767123287,3.9096721311475413,76.00049315068493,26.02293150684931,16.309150684931506,2.1814754098360654,59.7534794520548,42.18178082191781,39.10038356164383,0.654344262295082,0.24424657534246574,60.440794520547946,13.427972602739725,63.08956284153006,8.034383561643835,84.84846575342465,173.87797260273973,35.336612021857924,10.05868493150685,93.79334246575343,4.175808219178083,2.0745628415300543,2.7464657534246575,1.126219178082192,13.68717808219178,16.10513661202186,72.97441095890412,4.729232876712329,90.43460273972602,70.33275956284152,79.82553424657533,117.75942465753425,19.018684931506847,30.585956284153006,12.456438356164385,9.275424657534247,25.408575342465753,15.527732240437157,40.1028493150685,40.40572602739726,3.0633972602739736,32.2424043715847,16.040191780821917,25.63145205479452,39.554054794520546,2.1442896174863386,10.776356164383563,0.37602739726027395,9.418328767123288,26.77598360655738
Std,17.427864571151755,123.05324972198846,26.71924595230395,189.31620539869553,15.159257118844387,248.2290783497915,97.12523641357363,48.55978209754298,6.479784411528452,158.19420218564804,98.99318122279684,109.5113958684591,0.9017063251325338,0.567189943803031,217.66999846424295,59.40885624444576,293.5666825922591,30.688752872008045,277.3897738006088,436.7235311887509,102.8713315887305,27.266382420948133,441.5999501635438,15.298877072819677,5.522109975306927,6.359293994763953,4.057760358873249,74.32047476132745,87.60781328754332,219.24355726244585,14.071366066347847,355.9170094172424,202.12160971816547,270.66023615029553,374.3030575956098,55.86980012441272,140.12085595979346,61.35487029980973,29.966438133497064,111.82044665700944,81.35684470178244,101.44771495008516,116.86448911092631,12.913139722767601,138.25392662221003,108.48227519493712,94.31210567905673,154.8932597382009,7.5712580191553664,70.98591339814568,1.6845245170565073,43.445728742583015,105.63142942304631
CV,3.972472088834491,3.277373409162444,3.5546452735788527,3.2163109726058465,3.8773729894314544,3.2661508900689866,3.7322942032111173,2.977456216797896,2.9703678447676833,2.647447540064683,2.3468231851263996,2.8007754884503515,1.378030460555795,2.3222022376680465,3.6013755310619233,4.4242610557847355,4.653173510326062,3.819677345069287,3.2692373555312377,2.5116668008692296,2.911182643234108,2.7107303396631464,4.70822276458251,3.6636924566020728,2.6618186081238204,2.315446310165835,3.6029934828343975,5.429934082469849,5.439743567412368,3.0043895439719805,2.9754013881697423,3.9356286049222127,2.873790406838397,3.390647349934991,3.1785401354002105,2.9376268824905636,4.581215465621781,4.925554845253717,3.230734897852457,4.400893995426897,5.2394543802032985,2.5296884556271806,2.892275442141193,4.215300408544702,4.287953374347402,6.763153251362083,3.6795459530516563,3.9159894110188262,3.5308933818514854,6.587190727117757,4.479791976142988,4.612891503027556,3.945006501915299
SP_Tim,29.0,11.0,4.0,81.0,81.0,60.0,68.0,18.0,41.0,47.0,96.0,85.0,68.0,4.0,68.0,58.0,56.0,86.0,105.0,65.0,363.0,92.0,54.0,86.0,21.0,81.0,55.0,88.0,50.0,57.0,57.0,86.0,56.0,31.0,44.0,106.0,58.0,69.0,7.0,358.0,61.0,87.0,98.0,62.0,38.0,68.0,67.0,88.0,108.0,363.0,96.0,355.0,78.0
SP_Mag,101.0,844.0,280.0,308.0,73.0,1640.0,310.0,213.0,47.0,1110.0,664.0,851.0,5.4,5.0,1910.0,586.0,1920.0,173.0,1660.0,2330.0,1370.0,292.0,4860.0,36.0,64.0,26.0,15.0,928.0,1220.0,538.0,109.0,2690.0,1600.0,1950.0,1110.0,215.0,941.0,945.0,282.0,1000.0,1260.0,523.0,785.0,181.0,599.0,1860.0,193.0,1290.0,111.0,1060.0,7.16,370.0,1100.0
SP_Dur,23.0,129.0,114.0,68.0,74.0,32.0,26.0,142.0,109.0,74.0,58.0,66.0,100.0,122.0,66.0,87.0,36.0,46.0,39.0,93.0,137.0,49.0,55.0,80.0,134.0,71.0,111.0,32.0,28.0,72.0,103.0,30.0,69.0,44.0,36.0,55.0,40.0,28.0,132.0,161.0,41.0,68.0,63.0,69.0,51.0,36.0,79.0,36.0,45.0,24.0,44.0,85.0,45.0
SP_ROC,0.11428571428571425,0.11237373737373738,0.07692307692307693,0.1,0.07142857142857142,0.10344827586206896,0.07417582417582418,0.07608695652173907,0.07317073170731704,0.09691482226693493,0.0625,0.08196721311475409,0.08759590792838881,0.17073170731707307,0.10365198711063373,0.1111111111111111,0.09090909090909091,0.07936507936507936,0.07692307692307693,0.08583690987124463,0.06896551724137931,0.09793265132139806,0.08850250626566417,0.11269841269841266,0.11538461538461549,0.12338028169014079,0.14942528735632185,0.09401080019636714,0.16666666666666666,0.08823529411764706,0.16216216216216217,0.07407407407407407,0.1,0.06977687626774848,0.11640350877192981,0.06666666666666667,0.14358974358974358,0.08695652173913043,0.06592292089249478,0.08108108108108111,0.0652529883739971,0.07509881422924909,0.0673575129533679,0.10117084987551306,0.08771929824561403,0.08581644815256265,0.08283376153772956,0.049342105263157895,0.11778290993071598,0.08026455522238886,0.1818181818181818,0.07797270955165682,0.09482758620689652
SU_BFL_Tim,52.0,140.0,118.0,149.0,155.0,92.0,94.0,160.0,150.0,121.0,154.0,151.0,168.0,126.0,134.0,145.0,92.0,132.0,144.0,158.0,135.0,141.0,109.0,166.0,155.0,152.0,166.0,120.0,78.0,129.0,160.0,116.0,125.0,75.0,80.0,161.0,98.0,97.0,139.0,154.0,102.0,155.0,161.0,131.0,89.0,104.0,146.0,124.0,153.0,22.0,140.0,75.0,123.0
SU_BFL_Mag_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3970000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU_BFL_Mag_50,0.4,0.1,0.0,0.27,0.0,0.265,0.03,0.0,0.0,0.46,0.79,0.22,0.0,0.0,0.0,0.0,0.825,0.0,2.6,3.8,0.87,0.505,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,1.3,1.1,3.8499999999999996,0.34,0.4,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0
