Year,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981
Avg,27.843013698630138,27.565753424657533,19.795081967213115,28.91917808219178,33.88383561643836,25.72849315068493,12.81366120218579,11.500273972602738,36.76547945205479,30.745205479452054,42.60628415300546,23.423835616438357,46.412602739726026
Std,24.454498686051892,26.541092560317953,17.99633927161504,30.141197663409546,29.692718291436737,28.23636747909222,6.5601612031183425,12.681738566759053,37.15413673906205,26.624085506686743,46.09390200492334,19.895875708788324,41.16621243994161
CV,0.8782992728712783,0.9628284832794368,0.9091318389801386,1.042256373184073,0.8763092415969475,1.0974745902808742,0.5119661819995125,1.1027336041707296,1.0105712557757909,0.8659589386865676,1.0818568885142232,0.8493859005237304,0.8869619458920397
SP_Tim,199.0,205.0,185.0,187.0,187.0,199.0,179.0,186.0,213.0,182.0,192.0,177.0,213.0
SP_Mag,85.0,87.0,71.0,92.0,94.0,84.0,27.0,38.0,141.0,85.0,257.0,69.0,188.0
SP_Dur,34.0,46.0,64.0,76.0,107.0,60.0,153.0,71.0,44.0,81.0,93.0,72.0,55.0
SP_ROC,0.1273690078037904,0.025,0.10263157894736842,0.022875816993464054,0.02127659574468085,0.029411764705882353,0.05999999999999996,0.13333333333333333,0.014389233954451346,0.015151515151515152,0.014925373134328358,0.05131578947368421,0.012743506493506494
SU_BFL_Tim,233.0,251.0,249.0,263.0,294.0,259.0,332.0,257.0,257.0,263.0,285.0,249.0,268.0
SU_BFL_Mag_10,8.2,8.2,6.9,8.23,0.0,6.0,4.6,4.6,12.0,9.8,9.0,9.6,9.6
SU_BFL_Mag_50,11.0,8.2,9.2,14.0,7.6,7.9,5.6,7.9,13.0,12.0,11.0,12.0,15.0
SU_BFL_Dur_Fl,104.0,25.0,212.0,36.0,4.0,16.0,200.0,207.0,19.0,117.0,1.0,201.0,181.0
SU_BFL_Dur_Wet,268.0,252.0,249.0,232.0,221.0,246.0,235.0,238.0,235.0,225.0,207.0,237.0,217.0
SU_BFL_No_Flow,6.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,279.0,336.0,275.0,96.0,297.0,278.0,274.0,110.0,97.0,275.0,14.0,276.0,83.0
FAFL_Mag,20.16542381314189,19.76731782225089,20.0301089430895,66.79600364147446,26.852540713587164,11.9543886613621,14.043958760197674,10.896753784116767,20.106976541069766,28.129445815406687,40.991625850122134,20.009147581104767,49.07378919309346
FAFL_Tim_Wet,139.0,135.0,137.0,133.0,128.0,130.0,139.0,145.0,128.0,126.0,122.0,117.0,119.0
FAFL_Dur,0.0,4.0,3.0,8.0,3.0,3.0,6.0,3.0,7.0,8.0,8.0,0.0,10.0
Wet_BFL_Mag,10.0,8.8,8.2,11.0,8.7,5.7,21.0,9.2,20.0,12.0,13.0,9.0,17.9
WIN_Tim_2,nan,nan,nan,166.0,nan,nan,nan,nan,204.5,nan,189.5,nan,194.0
WIN_Dur_2,nan,nan,nan,2.0,nan,nan,nan,nan,5.5,nan,16.5,nan,11.0
WIN_Fre_2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,3.0
WIN_Tim_5,nan,181.0,nan,171.0,167.0,nan,nan,nan,175.5,165.0,187.5,nan,193.0
WIN_Dur_5,nan,25.0,nan,21.0,32.0,nan,nan,nan,26.5,7.0,21.0,nan,19.0
WIN_Fre_5,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0
WIN_Tim_10,175.0,189.5,nan,144.0,163.0,175.0,nan,nan,173.5,175.5,178.0,nan,168.0
WIN_Dur_10,14.0,23.5,nan,61.0,53.0,17.5,nan,nan,31.5,18.5,62.0,nan,85.0
WIN_Fre_10,3.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0
WIN_Tim_20,141.0,162.0,151.0,116.0,137.5,137.0,nan,156.0,208.5,137.0,137.5,156.0,148.0
WIN_Dur_20,68.0,63.0,1.0,39.0,53.0,90.0,nan,8.0,8.5,20.0,7.0,43.0,126.0
WIN_Fre_20,1.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,4.0,3.0,4.0,1.0,1.0
WIN_Tim_50,10.0,40.5,172.0,95.0,1.0,116.0,93.5,125.0,102.0,330.0,50.0,108.0,49.0
WIN_Dur_50,20.5,4.0,24.5,9.0,3.5,17.0,14.0,3.0,95.5,2.0,100.0,49.0,39.0
WIN_Fre_50,6.0,4.0,4.0,3.0,10.0,3.0,4.0,3.0,2.0,7.0,2.0,3.0,5.0
