Year,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964
Avg,10.96958904109589,2.278356164383562,1.5652054794520547,33.052185792349725,2.2038356164383566,53.525479452054796,2.4723287671232876,3.936612021857924,0.9506849315068493,9.18082191780822,32.17068493150685,4.991530054644809,22.42109589041096
Std,41.94242343251945,10.058875861604731,7.584047444650495,171.92391373136155,3.3344094916355957,171.33843616352377,8.074707767823416,30.072996319743183,2.1250446111463126,46.77401766035899,198.6758487251386,29.723003719643632,81.17873376221989
CV,3.823518207964634,4.414970766577353,4.845400520387591,5.201589837703113,1.5130028150758232,3.2010630809388525,3.266033172933895,7.6393091706177145,2.2352774728196083,5.0947527442647065,6.1756797888553,5.9546879201869665,3.620640764349898
SP_Tim,19.0,52.0,62.0,29.0,146.0,96.0,51.0,43.0,79.0,50.0,36.0,25.0,11.0
SP_Mag,278.0,116.0,64.0,740.0,29.0,2100.0,120.0,543.0,21.0,514.0,1140.0,410.0,542.0
SP_Dur,152.0,82.0,83.0,103.0,71.0,39.0,30.0,115.0,127.0,44.0,116.0,24.0,129.0
SP_ROC,0.08333333333333323,0.17500000000000004,0.1250000000000001,0.08333333333333333,0.09999999999999998,0.1111111111111111,0.11956521739130432,0.14285714285714282,0.16666666666666663,0.16666666666666666,0.10191387559808611,0.07142857142857134,0.09090909090909091
SU_Tim,171.0,134.0,145.0,132.0,217.0,135.0,81.0,158.0,206.0,94.0,152.0,49.0,140.0
SU_Mag_10,0.5,0.0,0.0,0.6,0.0,0.8,0.0,0.0,0.0,0.1,0.1,0.6,0.8400000000000003
SU_Mag_50,0.8,0.1,0.0,1.25,0.5,1.6,0.5,0.0,0.0,0.9,1.9,1.1,1.8
SU_Dur_Fl,213.0,nan,nan,247.0,176.0,237.0,nan,160.0,nan,193.0,nan,nan,nan
SU_Dur_Wet,227.0,236.0,206.0,248.0,185.0,239.0,314.0,161.0,198.0,296.0,227.0,305.0,215.0
SU_No_Flow,0.0,74.0,125.0,0.0,21.0,0.0,34.0,81.0,121.0,25.0,8.0,0.0,0.0
FA_Tim,nan,17.0,nan,nan,14.0,26.0,6.0,nan,318.0,nan,286.0,nan,nan
FA_Mag,nan,27.916042523661286,nan,nan,9.947776876808497,417.92267234208,15.017317865055865,nan,9.529883503687758,nan,2029.6536594309723,nan,nan
FA_Tim_Wet,338.0,31.0,4.0,350.0,15.0,35.0,8.0,29.0,319.0,37.0,24.0,13.0,354.0
FA_Dur,nan,2.0,nan,nan,6.0,3.0,3.0,nan,9.0,nan,4.0,nan,nan
Tim_2,14.5,nan,nan,14.0,nan,49.0,nan,39.0,nan,54.5,69.5,20.0,4.0
Dur_2,1.0,nan,nan,2.0,nan,2.0,nan,1.0,nan,1.5,2.0,3.0,3.0
Fre_2,4.0,0.0,0.0,7.0,0.0,11.0,0.0,1.0,0.0,4.0,6.0,1.0,5.0
Tim_5,362.0,46.0,38.0,29.0,nan,41.0,47.0,36.0,nan,54.0,85.5,20.0,37.0
Dur_5,1.0,1.5,1.5,3.5,nan,4.0,1.0,6.0,nan,3.0,3.5,4.0,2.0
Fre_5,9.0,2.0,2.0,8.0,0.0,8.0,3.0,1.0,0.0,4.0,10.0,1.0,5.0
Tim_10,2.0,66.0,18.0,102.0,139.0,83.0,41.0,36.0,27.0,40.5,75.0,327.0,72.0
Dur_10,2.5,1.5,2.0,1.0,2.0,6.5,5.0,2.0,1.0,4.5,6.0,2.0,1.0
Fre_10,8.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,7.0,3.0,9.0
Tim_20,354.0,81.5,16.0,142.0,65.0,88.0,41.0,61.5,27.0,50.5,350.0,19.0,105.0
Dur_20,3.0,2.0,2.0,2.0,3.0,11.5,11.0,2.5,2.0,4.5,6.0,3.0,5.0
Fre_20,7.0,8.0,5.0,3.0,7.0,4.0,3.0,4.0,5.0,4.0,5.0,9.0,6.0
Tim_50,75.0,348.0,14.0,121.5,330.5,315.5,73.5,113.0,43.0,83.0,97.5,148.0,336.5
Dur_50,7.0,5.0,5.0,1.5,4.0,146.0,1.5,7.5,5.0,5.5,32.5,2.5,4.5
Fre_50,4.0,7.0,9.0,4.0,12.0,2.0,12.0,8.0,9.0,4.0,4.0,12.0,8.0
