Year,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
Avg,1.3243835616438355,0.6344262295081966,0.20767123287671227,11.781643835616439,1.114794520547945,0.5437158469945356,2.5742465753424657,7.729589041095891,11.685753424657532,1.589098360655738,39.26975342465753,2.204958904109589,3.707123287671233,2.2204644808743175,17.201780821917808,3.9690136986301363,4.6867397260273975,1.9184153005464484,0.8231780821917809,42.17671232876713,6.415808219178083,23.335710382513657,2.274986301369863,2.9606027397260277,22.62742465753425,2.3870765027322407,0.9387945205479453,11.20813698630137,1.3971232876712327,2.2773224043715845
Std,4.044787948893069,1.5993733656000093,0.21053435308753501,80.53299820593749,5.916251152334915,2.744035034212181,15.71339345976522,45.71051437567343,64.32186265699421,8.194315503084788,217.15786848040506,10.061945960159022,18.328180897519463,20.30265823002058,85.1356690784269,26.755888285222735,21.015841892879383,13.49683483244098,3.005638770767626,226.9210912096241,20.653837156283785,130.99028443684318,9.88636655348917,11.759330177014645,67.20558297460602,8.186523740963587,3.1942291584484517,41.752698954125556,5.702935816753124,9.745375781088928
CV,3.0540910247123922,2.520976105984511,1.0137867925719037,6.835463652574746,5.307032859676196,5.046818203626422,6.104074726281722,5.913705648857193,5.504297439758726,5.156581685543632,5.529901502871453,4.563325847663477,4.944044067396796,9.14342850556489,4.949235777376637,6.741193232579986,4.484106889096006,7.035408250026203,3.6512619028495754,5.38024608084139,3.219210495498525,5.61329748654231,4.345681794890888,3.9719378825214644,2.970094210532642,3.4295187990805136,3.4024795506732177,3.725213120178302,4.081913076017042,4.279313180418174
SP_Tim,56.0,37.0,27.0,54.0,45.0,97.0,104.0,3.0,344.0,72.0,61.0,67.0,359.0,365.0,47.0,12.0,72.0,45.0,136.0,67.0,93.0,54.0,69.0,95.0,64.0,364.0,358.0,50.0,70.0,65.0
SP_Mag,25.0,19.0,1.0,253.0,88.0,4.0,237.0,147.0,1120.0,153.0,2200.0,45.0,184.0,377.0,1190.0,144.0,55.0,127.0,3.4,2980.0,72.0,950.0,140.0,156.0,718.0,40.0,49.0,275.0,16.0,41.0
SP_Dur,32.0,152.0,168.0,28.0,179.0,86.0,31.0,20.0,182.0,23.0,25.0,34.0,42.0,25.0,69.0,107.0,67.0,52.0,30.0,65.0,61.0,42.0,62.0,44.0,112.0,83.0,138.0,66.0,37.0,131.0
SP_ROC,0.1180555555555556,0.14285714285714282,0.25000000000000006,0.06999999999999992,0.10555555555555553,0.14285714285714282,0.10683760683760682,0.06725806451612902,0.06857366771159881,0.07179487179487185,0.07870370370370369,0.05882352941176463,0.06559139784946241,0.07142857142857134,0.10937500000000003,0.09090909090909098,0.04975328947368424,0.07275132275132273,0.06329113924050639,0.07407407407407407,0.0285714285714286,0.08333333333333333,0.13015873015873014,0.16666666666666663,0.07499999999999996,0.058257918552036145,0.08012820512820511,0.08012820512820512,0.12195121951219502,0.06400409626216083
SU_Tim,88.0,189.0,195.0,82.0,224.0,183.0,135.0,23.0,161.0,95.0,86.0,101.0,36.0,25.0,116.0,119.0,139.0,97.0,166.0,132.0,154.0,96.0,131.0,139.0,176.0,82.0,131.0,116.0,107.0,196.0
SU_Mag_10,0.1,nan,0.0,0.2,0.1,0.0,0.0,0.1,0.65,0.17,1.0,0.23,0.27,0.09,0.5,0.23000000000000004,0.25,0.1,0.06,0.759,0.45,0.46,0.24,0.13,0.9,0.07,0.13,0.8599999999999999,0.215,0.13
SU_Mag_50,0.2,nan,0.0,0.4,0.4,0.1,0.1,0.6,1.5,0.325,1.5,0.41,0.68,0.39,0.87,0.5,0.39,0.46,0.1,1.45,0.67,0.81,0.46,0.48,1.85,0.37,0.28,1.2,0.48,0.31
SU_Dur_Fl,288.0,nan,nan,nan,164.0,172.0,nan,nan,165.0,nan,nan,nan,nan,359.0,nan,220.0,nan,272.0,217.0,nan,nan,299.0,257.0,196.0,99.0,nan,200.0,207.0,nan,nan
SU_Dur_Wet,291.0,nan,206.0,316.0,223.0,273.0,185.0,310.0,262.0,286.0,334.0,229.0,318.0,362.0,251.0,288.0,260.0,392.0,223.0,260.0,253.0,319.0,305.0,245.0,150.0,262.0,270.0,305.0,256.0,167.0
SU_No_Flow,2.0,nan,108.0,0.0,0.0,76.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,6.0,10.0,nan,nan,nan,22.0,355.0,nan,nan,325.0,nan,nan,nan,nan,19.0,nan,338.0,nan,4.0,16.0,nan,nan,30.0,21.0,334.0,274.0,nan,329.0,322.0,nan
FA_Mag,16.78288575589893,8.555684446408574,nan,nan,nan,5.5760463211991596,132.59013187505377,nan,nan,15.91664844442529,nan,nan,nan,nan,449.8271659943154,nan,168.65865756392174,nan,21.832001543305825,467.958646524771,nan,nan,26.95813452068752,30.01923501995176,186.94400734219624,72.9963014472842,nan,178.84355162066905,16.949563365096203,nan
FA_Tim_Wet,39.0,13.0,nan,34.0,32.0,81.0,91.0,318.0,332.0,57.0,16.0,53.0,329.0,353.0,22.0,365.0,41.0,33.0,124.0,22.0,26.0,41.0,50.0,69.0,18.0,325.0,344.0,34.0,55.0,362.0
