Year,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
Avg,348.2739726027397,161.45628415300547,437.72328767123287,301.35616438356163,444.06849315068496,206.04098360655738,485.9945205479452,433.972602739726,334.44931506849315,123.46803278688526,351.91506849315067,711.8739726027397,340.3315068493151,85.28825136612022,20.306849315068494,487.3917808219178,176.6054794520548,315.948087431694,165.89287671232876,550.7945205479452,671.3342465753425
Std,878.5937871093969,460.8221294319215,1461.1405331715573,1081.1759372986005,974.0616886988628,436.2542510330274,1303.6248493777575,1374.1810928555665,850.3888801195825,187.31607296548802,907.9415109505607,1741.3461083450934,889.1181422764506,163.90809532914662,24.340811485482867,1105.9618524662267,442.09775522553275,827.8813898534868,541.0283687431512,1333.2100571209069,1378.8979789035998
CV,2.522708718493784,2.8541603806217872,3.3380461454200656,3.5877014147369355,2.193494255329518,2.1173178432601083,2.6823858999643804,3.166515775835112,2.542653974176709,1.5171220334319984,2.58000180224801,2.4461438054525546,2.6125061135468597,1.9218132943719517,1.198650322747065,2.2691434201068743,2.5033071261277278,2.620308280968688,3.261311633538894,2.420521641708769,2.0539663899729996
SP_Tim,108.0,26.0,10.0,8.0,84.0,80.0,25.0,27.0,89.0,107.0,21.0,93.0,84.0,107.0,81.0,42.0,56.0,57.0,33.0,94.0,76.0
SP_Mag,5020.0,1860.0,9530.0,15300.0,1640.0,1400.0,5900.0,14600.0,4350.0,551.0,10900.0,10100.0,4880.0,670.0,117.0,5250.0,2070.0,2580.0,4920.0,7010.0,9050.0
SP_Dur,63.0,30.0,128.0,121.0,60.0,49.0,62.0,63.0,51.0,56.0,102.0,38.0,24.0,60.0,121.0,108.0,126.0,72.0,90.0,49.0,81.0
SP_ROC,0.04168475900998697,0.056649149372049526,0.07099483204134366,0.07058823529411765,0.08624979123594081,0.04298523206751055,0.11666666666666667,0.08333333333333333,0.07142857142857142,0.03694021368492839,0.08514492753623187,0.07239819004524888,0.07687525901367592,0.031754032258064516,0.05758077879038936,0.08602150537634409,0.05913978494623656,0.06177328843995511,0.0776255707762557,0.04987106281083072,0.06181550988942157
SU_BFL_Tim,171.0,56.0,138.0,129.0,144.0,129.0,87.0,90.0,140.0,163.0,123.0,131.0,108.0,167.0,202.0,150.0,182.0,129.0,123.0,143.0,157.0
SU_BFL_Mag_10,18.0,12.0,13.100000000000001,13.0,15.0,15.0,12.0,14.0,9.5,9.4,12.0,12.0,12.0,11.0,3.8,12.0,11.0,11.0,9.0,13.0,14.0
SU_BFL_Mag_50,41.0,34.0,26.0,25.5,24.0,22.0,23.0,18.0,17.0,16.5,18.0,28.0,34.0,14.0,13.0,19.0,23.0,20.5,14.0,25.0,32.0
SU_BFL_Dur_Fl,138.0,259.0,nan,190.0,194.0,216.0,261.0,nan,178.0,189.0,nan,207.0,192.0,153.0,126.0,227.0,130.0,209.0,nan,180.0,166.0
