Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965
Avg,30.75287671232877,39.82978142076502,11.895068493150685,2.9408219178082193,3.472876712328767,36.30792349726776,2.9389041095890414,47.43753424657533,3.151506849315069,3.239617486338798,1.1175342465753422,8.477534246575342,27.09315068493151,3.6989071038251367,17.63068493150685,4.666027397260273
Std,70.69158965456153,106.14029309355146,27.208862935734427,8.216565584803824,10.484083367338,165.0660884951781,6.568786206269903,147.09708280337352,9.293558186012632,18.178116576203788,4.19063789593596,33.58874875959402,147.4494617192822,14.374176104956009,46.170399588491826,9.403974493437442
CV,2.2986984377374164,2.6648474911844695,2.2874069999177893,2.7939691060680043,3.01884697781506,4.546282810902134,2.2351141654596014,3.1008585319544286,2.9489252698379644,5.611192263549452,3.7498966217617693,3.962089421598364,5.442315049806654,3.8860603149755497,2.6187524629847583,2.015413475488619
SP_Tim,68.0,20.0,25.0,93.0,24.0,364.0,146.0,96.0,56.0,45.0,81.0,53.0,48.0,27.0,11.0,39.0
SP_Mag,301.0,432.0,160.0,15.0,46.0,622.0,45.0,1570.0,86.0,157.0,21.0,275.0,152.0,57.0,401.0,33.0
SP_Dur,75.0,117.0,141.0,140.0,72.0,93.0,42.0,39.0,76.0,18.0,92.0,65.0,104.0,33.0,133.0,209.0
SP_ROC,0.06666666666666667,0.0857843137254902,0.07692307692307693,0.16666666666666666,0.09545454545454546,0.09523809523809523,0.20000000000000004,0.08615384615384616,0.1291666666666667,0.11111111111111108,0.25000000000000006,0.09523809523809523,0.11363636363636363,0.08599508599508604,0.09090909090909091,0.16666666666666663
SU_Tim,143.0,137.0,166.0,233.0,96.0,92.0,188.0,135.0,132.0,63.0,173.0,118.0,152.0,60.0,144.0,248.0
SU_Mag_10,0.1,0.2,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1
SU_Mag_50,0.8,1.0,0.35,0.0,0.1,1.3,0.2,1.2,0.0,0.1,0.0,0.1,1.9,0.3,0.8,0.55
SU_Dur_Fl,195.0,199.0,218.0,111.0,nan,212.0,205.0,227.0,nan,268.0,nan,169.0,172.0,nan,186.0,81.0
SU_Dur_Wet,221.0,204.0,220.0,139.0,255.0,326.0,216.0,266.0,264.0,321.0,232.0,187.0,229.0,297.0,215.0,110.0
SU_No_Flow,17.0,3.0,83.0,100.0,117.0,19.0,80.0,0.0,177.0,118.0,136.0,87.0,0.0,81.0,5.0,5.0
FA_Tim,322.0,337.0,336.0,17.0,343.0,nan,304.0,26.0,361.0,nan,331.0,nan,286.0,323.0,nan,328.0
FA_Mag,255.9529320235615,164.98993569577462,40.94646571608769,47.82964131837763,17.961431289630603,nan,14.974161782948977,187.95226494003026,9.970651358564336,nan,34.953009944646006,nan,2599.704428392746,33.843475435552726,nan,15.895184130761578
FA_Tim_Wet,325.0,363.0,341.0,19.0,6.0,350.0,53.0,37.0,35.0,30.0,19.0,38.0,304.0,15.0,357.0,357.0
FA_Dur,7.0,4.0,8.0,3.0,4.0,nan,7.0,7.0,3.0,nan,5.0,nan,2.0,7.0,nan,3.0
Tim_2,348.0,24.0,8.0,nan,18.0,14.0,nan,45.0,nan,40.0,nan,46.5,44.0,21.0,362.0,nan
Dur_2,2.0,2.0,1.0,nan,1.0,3.0,nan,2.0,nan,1.0,nan,2.5,1.0,2.0,5.0,nan
Fre_2,9.0,7.0,3.0,0.0,1.0,5.0,0.0,10.0,0.0,2.0,0.0,2.0,5.0,1.0,3.0,0.0
Tim_5,18.0,25.0,7.0,44.0,18.0,9.5,139.0,38.0,49.5,39.0,nan,54.0,69.5,20.0,24.0,31.0
Dur_5,6.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,nan,2.0,3.0,4.0,2.0,1.0
Fre_5,7.0,10.0,5.0,1.0,1.0,6.0,1.0,7.0,2.0,1.0,0.0,4.0,8.0,1.0,3.0,2.0
Tim_10,3.0,362.0,362.0,44.0,37.0,22.0,102.0,29.0,41.0,39.0,27.0,59.5,75.0,327.0,72.0,29.0
Dur_10,19.0,4.0,1.0,2.0,1.0,8.0,2.5,2.0,2.0,4.0,1.0,1.5,5.0,1.0,2.0,2.0
Fre_10,5.0,5.0,9.0,3.0,4.0,4.0,2.0,5.0,3.0,1.0,3.0,6.0,7.0,3.0,7.0,5.0
Tim_20,334.0,347.0,354.0,75.0,20.0,96.0,66.0,13.0,41.0,55.5,53.5,5.5,349.0,22.0,93.0,11.5
Dur_20,10.0,7.5,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.5,1.0,13.0,2.0,4.5,8.0
Fre_20,3.0,4.0,7.0,9.0,6.0,7.0,10.0,6.0,5.0,8.0,6.0,4.0,3.0,4.0,8.0,4.0
Tim_50,322.0,323.0,81.5,81.5,358.5,346.0,359.0,355.0,5.0,32.0,47.0,333.0,203.0,17.0,75.5,349.5
Dur_50,1.0,5.0,6.0,3.5,3.5,1.0,3.0,2.0,4.0,5.0,2.0,3.0,13.0,3.0,21.5,7.0
Fre_50,3.0,5.0,6.0,8.0,6.0,12.0,8.0,7.0,5.0,7.0,13.0,5.0,5.0,17.0,4.0,8.0
