Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968
Avg,305.9726775956284,433.32876712328766,324.2109589041096,536.1561643835616,395.1338797814208,775.241095890411,353.1178082191781,395.0191780821918,302.3551912568306,531.9287671232877
Std,514.3858073628468,541.5979668218885,377.2175447196034,716.1549922139476,473.40506587186417,2771.0850339100825,440.84965888345863,446.03189536959763,600.6460361347746,627.9650329414131
CV,1.6811494784598247,1.2498546321246122,1.1634941212186825,1.3357208958649895,1.1980877623901582,3.5744816014008194,1.2484492388155795,1.1291398497031746,1.986557709288893,1.1805434707686464
SP_Tim,153.0,98.0,102.0,130.0,36.0,363.0,97.0,141.0,58.0,135.0
SP_Mag,1540.0,1820.0,1270.0,1630.0,2360.0,8000.0,1460.0,1150.0,6640.0,1450.0
SP_Dur,61.0,110.0,99.0,71.0,165.0,178.0,103.0,73.0,112.0,71.0
SP_ROC,0.046536796536796536,0.04357421551347524,0.04310344827586207,0.044807064925132346,0.0512557797393863,0.03817016317016317,0.04504504504504504,0.04085461177696717,0.0410958904109589,0.04424522845575477
SU_Tim,214.0,208.0,201.0,201.0,201.0,176.0,200.0,214.0,170.0,206.0
SU_Mag_10,25.0,22.0,33.0,31.0,23.0,29.0,28.0,34.0,29.1,26.6
SU_Mag_50,39.0,35.0,201.5,49.0,37.0,60.0,33.0,47.0,47.0,38.0
SU_Dur_Fl,116.0,122.0,85.0,112.0,nan,165.0,125.0,nan,nan,nan
SU_Dur_Wet,182.0,134.0,252.0,112.0,145.0,189.0,133.0,161.0,172.0,137.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,330.0,328.0,285.0,312.0,nan,339.0,324.0,nan,nan
FA_Mag,nan,1549.9875584332788,399.91336590577026,2729.8889127914636,3009.807010782762,nan,514.0000437814746,537.9868859470598,nan,nan
FA_Tim_Wet,29.0,31.0,340.0,87.0,312.0,346.0,363.0,332.0,9.0,342.0
FA_Dur,nan,3.0,4.0,6.0,7.0,nan,4.0,2.0,nan,nan
Tim_2,67.0,58.5,354.0,33.5,20.0,18.0,6.0,28.0,32.5,21.0
Dur_2,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,4.0,1.0
Fre_2,3.0,2.0,1.0,6.0,3.0,8.0,1.0,1.0,2.0,3.0
Tim_5,67.0,41.0,64.5,63.0,20.0,13.5,47.0,4.5,32.5,44.0
Dur_5,3.0,2.0,2.0,3.5,3.0,3.0,4.5,4.0,5.0,1.0
Fre_5,3.0,7.0,4.0,8.0,3.0,6.0,2.0,2.0,2.0,7.0
Tim_10,73.0,36.5,44.0,86.0,363.0,45.5,72.0,75.0,32.0,73.0
Dur_10,5.0,2.5,4.0,5.0,2.0,4.0,3.0,3.0,7.5,4.5
Fre_10,5.0,6.0,5.0,9.0,7.0,4.0,5.0,7.0,2.0,10.0
Tim_20,105.5,41.0,74.5,363.0,349.5,20.0,30.0,48.0,34.0,36.0
Dur_20,10.5,3.0,3.5,10.5,4.0,5.5,2.0,13.5,11.0,29.0
Fre_20,4.0,9.0,6.0,6.0,8.0,6.0,5.0,6.0,3.0,4.0
Tim_50,17.0,362.0,19.0,356.0,331.5,329.0,345.0,354.0,356.0,61.5
Dur_50,74.0,16.5,13.0,28.5,109.0,192.0,4.0,22.0,6.5,1.0
Fre_50,2.0,4.0,5.0,4.0,2.0,1.0,6.0,4.0,4.0,4.0
