Year,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965
Avg,2165.658469945355,1137.690410958904,844.1890410958904,692.8630136986301,2081.98087431694,977.386301369863,1813.1205479452055,529.5671232876713,608.5546448087432,445.2849315068493,904.9780821917808,1169.668493150685,1003.4890710382514,2271.230136986301,977.6328767123288
Std,2062.6761705246217,1107.9630724478368,1025.1129572990326,759.6827440752568,4188.49608000324,1115.9341765479226,2007.8656170553656,490.6692650719475,814.497257535635,381.4528907416122,959.4115231497308,2465.3592746528666,394.97668000707364,3181.1546747753696,423.3236942955101
CV,0.9524475807935995,0.9738704499706458,1.2143168264400523,1.0964400307932887,2.011784129082074,1.1417534448599052,1.1074087816890406,0.9265478227306915,1.3384126873135862,0.8566489987675334,1.0601489052929511,2.10774188506355,0.39360336988863703,1.4006307079900095,0.4330088567797565
SP_Tim,153.0,175.0,133.0,164.0,149.0,158.0,147.0,137.0,137.0,150.0,130.0,173.0,165.0,11.0,144.0
SP_Mag,7540.0,4520.0,3460.0,2550.0,6110.0,3800.0,7810.0,1610.0,2090.0,1630.0,3510.0,2450.0,1460.0,13700.0,1780.0
SP_Dur,80.0,50.0,66.0,43.0,72.0,53.0,80.0,68.0,61.0,35.0,66.0,38.0,96.0,200.0,nan
SP_ROC,0.0627626050420168,0.05698005698005698,0.06702412868632708,0.04964539007092199,0.06661925082977714,0.0639269406392694,0.062402647975077885,0.05985074626865672,0.06588920278371116,0.10215551974214343,0.08974358974358974,0.051674914350970685,0.028846153846153848,0.050995184590690204,nan
SU_Tim,233.0,225.0,199.0,207.0,221.0,211.0,227.0,205.0,198.0,185.0,196.0,211.0,261.0,211.0,nan
SU_Mag_10,215.4,206.0,154.0,143.0,244.5,192.0,196.0,97.2,120.0,145.0,198.0,200.0,116.80000000000003,423.40000000000015,nan
SU_Mag_50,380.0,255.5,191.0,159.0,279.5,238.0,246.0,110.0,142.0,228.0,290.0,236.0,512.0,917.0,nan
SU_Dur_Fl,110.0,159.0,122.0,nan,191.0,142.0,149.0,187.0,121.0,202.0,92.0,74.0,nan,66.0,nan
SU_Dur_Wet,209.0,188.0,238.0,143.0,196.0,193.0,153.0,193.0,212.0,221.0,196.0,101.0,89.0,119.0,nan
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
FA_Tim,325.0,343.0,17.0,320.0,nan,47.0,351.0,10.0,26.0,319.0,20.0,287.0,284.0,nan,275.0
FA_Mag,1399.973842091866,1060.0333118451488,1119.9135098134554,515.9627446385716,nan,1299.9927611095468,2099.9852330804424,1879.9360422837337,1239.9188963955212,334.26481361126,861.9975248629963,6999.9653556342455,1359.9510723699389,nan,932.0007355212508
FA_Tim_Wet,6.0,77.0,46.0,71.0,349.0,52.0,37.0,14.0,32.0,45.0,39.0,26.0,311.0,350.0,328.0
FA_Dur,3.0,3.0,3.0,2.0,nan,5.0,6.0,2.0,5.0,3.0,2.0,5.0,4.0,nan,0.0
Tim_2,116.0,118.0,68.0,nan,74.0,65.0,107.5,nan,39.0,nan,41.0,31.0,nan,363.5,nan
Dur_2,1.0,2.0,2.0,nan,2.5,1.0,2.5,nan,2.0,nan,1.0,2.0,nan,7.0,nan
Fre_2,9.0,1.0,1.0,0.0,6.0,3.0,6.0,0.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0
Tim_5,55.5,141.0,82.0,nan,14.0,109.5,132.0,nan,53.5,nan,45.0,96.0,nan,107.0,nan
Dur_5,2.0,2.0,2.0,nan,7.0,1.5,3.5,nan,1.5,nan,1.0,2.0,nan,6.0,nan
Fre_5,10.0,5.0,2.0,0.0,7.0,4.0,8.0,0.0,2.0,0.0,3.0,7.0,0.0,7.0,0.0
Tim_10,32.0,142.0,107.0,140.0,64.0,127.0,55.0,48.0,68.0,nan,103.0,96.0,352.5,128.0,nan
Dur_10,3.0,3.0,3.0,4.0,8.0,4.0,3.0,1.0,1.0,nan,2.0,4.0,1.0,3.5,nan
Fre_10,9.0,10.0,5.0,3.0,6.0,5.0,11.0,1.0,3.0,0.0,7.0,7.0,2.0,6.0,0.0
Tim_20,29.0,65.5,69.0,126.0,83.0,101.0,34.0,81.5,83.5,nan,94.0,103.5,354.0,134.0,92.0
Dur_20,11.0,5.5,2.0,9.0,11.0,4.0,4.0,2.0,4.0,nan,3.0,10.0,1.0,2.0,1.0
Fre_20,6.0,6.0,6.0,5.0,5.0,8.0,7.0,4.0,6.0,0.0,5.0,6.0,6.0,10.0,11.0
Tim_50,332.0,30.5,30.5,18.0,92.0,348.0,12.0,36.5,49.5,81.0,193.0,30.0,109.0,331.0,187.0
Dur_50,1.0,2.5,2.5,2.0,2.5,1.0,1.5,4.5,5.5,3.0,4.5,3.0,5.0,10.5,4.0
Fre_50,7.0,6.0,4.0,11.0,4.0,3.0,8.0,4.0,4.0,7.0,10.0,7.0,15.0,4.0,27.0
