Year,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972
Avg,10.131232876712328,7.267671232876712,60.28169398907104,7.39890410958904,53.052876712328775,8.189041095890412,5.312568306010929,1.4301369863013698,20.67917808219178,19.907397260273974,5.3207650273224045,28.175342465753424,6.422739726027398,49.686027397260276,3.753005464480874,90.83583561643836,13.78068493150685,10.913945205479452,5.003469945355191,29.84465753424658
Std,34.85999174565899,17.04612425482961,312.185683009037,31.422269372177027,176.03906672177195,45.13289466976701,23.095891941021574,5.4511852407692,96.56201416782052,85.93972099041675,13.142100848619283,76.8560757410068,21.943060890883583,151.81852269128308,5.632296626077426,307.2653936492665,74.50203849980724,25.115209315390977,20.946079311076986,85.74326324880543
CV,3.4408439890655593,2.3454726704915023,5.178780859503313,4.2468815525604,3.318181362272158,5.511377234682154,4.34740611520978,3.811652515097238,4.669528633295949,4.316974231579382,2.469964522232031,2.727777872954831,3.416464285787871,3.0555576817891152,1.5007429856904033,3.382645093360724,5.406265281450043,2.3012035375421935,4.186310608405193,2.872985329130197
SP_Tim,93.0,132.0,30.0,144.0,97.0,51.0,44.0,89.0,51.0,115.0,96.0,108.0,42.0,113.0,97.0,60.0,68.0,359.0,363.0,84.0
SP_Mag,291.0,50.0,1100.0,509.0,1960.0,660.0,242.0,24.0,492.0,225.0,74.0,337.0,43.0,463.0,18.0,2640.0,147.0,253.0,194.0,233.0
SP_Dur,56.0,46.0,141.0,39.0,29.0,30.0,112.0,76.0,64.0,65.0,84.0,73.0,103.0,78.0,78.0,86.0,82.0,187.0,126.0,88.0
SP_ROC,0.10256410256410255,0.12310606060606065,0.067816091954023,0.1380952380952381,0.06060606060606061,0.08000000000000007,0.1304347826086956,0.14285714285714282,0.07692307692307693,0.08920454545454547,0.15384615384615385,0.08421052631578956,0.09023066485753056,0.06486676016830292,0.11999999999999993,0.05,0.062499999999999965,0.07692307692307693,0.07843137254901951,0.06821705426356592
SU_BFL_Tim,149.0,178.0,171.0,183.0,126.0,81.0,156.0,165.0,115.0,180.0,180.0,181.0,145.0,191.0,175.0,146.0,150.0,181.0,124.0,172.0
SU_BFL_Mag_10,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.45,0.0,0.0,0.0,0.0
SU_BFL_Mag_50,0.0,0.0,1.3,0.0,1.1,0.1,0.0,0.0,0.0,1.7,0.0,0.1,0.0,0.42,0.0,3.2,0.05,0.0,0.0,0.0
SU_BFL_Dur_Fl,172.0,nan,249.0,210.0,nan,nan,nan,222.0,nan,132.0,137.0,142.0,196.0,nan,nan,nan,181.0,nan,251.0,204.0
SU_BFL_Dur_Wet,200.0,173.0,304.0,225.0,277.0,312.0,173.0,236.0,276.0,257.0,177.0,150.0,291.0,144.0,204.0,226.0,183.0,171.0,251.0,204.0
SU_BFL_No_Flow,145.0,151.0,72.0,122.0,0.0,154.0,169.0,173.0,147.0,73.0,135.0,73.0,167.0,11.0,130.0,0.0,85.0,136.0,142.0,114.0
FAFL_Tim,nan,320.0,nan,55.0,26.0,nan,nan,nan,20.0,nan,311.0,317.0,321.0,340.0,nan,nan,nan,330.0,nan,10.0
FAFL_Mag,nan,28.96122066018114,nan,88.86610256201132,374.969452470419,nan,nan,nan,145.95340074374718,nan,16.999752734003028,158.86984560079884,28.983327090664535,2299.637567223257,nan,nan,nan,81.9446206150395,nan,105.91901803665282
FAFL_Tim_Wet,23.0,348.0,350.0,110.0,41.0,37.0,27.0,329.0,34.0,25.0,71.0,357.0,329.0,70.0,334.0,14.0,5.0,332.0,351.0,10.0
FAFL_Dur,nan,5.0,nan,3.0,4.0,nan,nan,nan,5.0,nan,3.0,3.0,10.0,2.0,nan,nan,nan,3.0,nan,4.0
Wet_BFL_Mag,2.38,1.3,16.6,3.2,22.0,4.42,1.92,0.6,1.3,6.1,2.1,0.8,2.25,3.0,4.0,95.0,9.6,6.180000000000001,1.0,14.0
WIN_Tim_2,44.0,nan,38.5,139.0,74.0,44.5,39.0,nan,46.0,76.0,nan,5.0,364.0,75.0,nan,50.0,38.0,353.0,nan,63.0
WIN_Dur_2,1.0,nan,2.5,2.0,3.0,1.5,2.0,nan,2.0,1.0,nan,2.0,1.0,2.0,nan,2.0,1.0,1.0,nan,1.0
WIN_Fre_2,3.0,0.0,4.0,1.0,7.0,2.0,1.0,0.0,3.0,4.0,0.0,5.0,2.0,9.0,0.0,9.0,2.0,2.0,0.0,6.0
WIN_Tim_5,66.0,18.0,23.0,57.0,30.0,47.0,39.0,337.0,52.0,98.5,324.0,10.5,363.0,59.5,nan,14.0,39.5,343.0,356.0,59.0
WIN_Dur_5,1.5,1.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,2.5,1.0,2.5,1.0,3.5,nan,2.0,2.0,1.0,6.0,2.0
WIN_Fre_5,6.0,5.0,5.0,3.0,9.0,3.0,3.0,1.0,4.0,6.0,3.0,6.0,3.0,6.0,0.0,5.0,4.0,7.0,1.0,9.0
WIN_Tim_10,63.0,38.0,54.0,90.0,40.0,151.5,39.0,336.0,57.0,87.0,22.0,38.0,363.0,47.0,31.0,9.0,36.5,350.0,13.5,48.5
WIN_Dur_10,2.0,1.0,3.0,1.5,3.0,2.5,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.5,1.0,2.5,1.0,1.0,4.5,5.5
WIN_Fre_10,6.0,8.0,11.0,6.0,9.0,4.0,3.0,1.0,7.0,9.0,5.0,9.0,3.0,8.0,3.0,6.0,6.0,9.0,2.0,6.0
WIN_Tim_20,59.5,36.5,343.0,74.5,24.0,41.0,88.0,75.0,20.0,40.0,17.5,32.5,26.5,42.5,49.5,360.0,19.0,48.0,13.5,12.0
WIN_Dur_20,4.0,2.5,2.0,4.5,4.0,2.0,2.0,1.0,2.0,12.0,2.0,7.0,3.0,5.0,2.0,6.0,6.5,3.0,9.0,2.5
WIN_Fre_20,6.0,12.0,3.0,6.0,3.0,5.0,7.0,5.0,3.0,3.0,8.0,6.0,6.0,6.0,8.0,3.0,6.0,11.0,2.0,6.0
WIN_Tim_50,17.0,328.0,340.0,1.0,349.0,355.0,12.0,51.0,93.0,30.0,319.0,346.0,323.5,91.0,327.5,333.0,41.5,329.0,347.0,329.0
WIN_Dur_50,8.0,95.0,8.0,25.0,2.0,10.0,136.0,6.5,9.5,160.0,5.0,5.5,89.0,119.5,93.0,118.5,120.0,204.0,3.0,102.5
WIN_Fre_50,3.0,2.0,3.0,3.0,3.0,3.0,1.0,8.0,4.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0
