Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978
Dur_5,nan,3.0,1.0,1.5,nan,2.0,1.0,2.5,1.0,1.0,1.0,2.0,2.0,1.5,3.5,4.5,2.0,1.0,40.0,5.0,2.0,1.0,26.5,3.0,3.0,1.5,1.5,8.0,5.0
Fre_5,0.0,5.0,1.0,4.0,0.0,1.0,2.0,6.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,4.0,9.0,3.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,4.0,2.0,5.0,5.0
Tim_10,nan,32.5,354.5,44.0,69.5,103.0,55.0,49.5,43.0,65.0,354.5,39.0,40.0,56.5,95.5,363.0,91.0,334.0,20.0,41.0,350.0,359.5,20.0,73.5,65.0,61.0,68.0,21.0,45.0
Dur_10,nan,5.5,1.0,4.0,1.5,2.0,1.0,5.0,1.5,1.0,2.0,3.0,2.0,2.0,5.0,30.0,10.5,2.0,5.0,2.0,4.0,1.5,3.0,1.5,1.0,5.0,1.5,4.5,3.0
Fre_10,0.0,6.0,4.0,5.0,2.0,3.0,3.0,6.0,4.0,2.0,2.0,5.0,1.0,2.0,2.0,3.0,6.0,3.0,3.0,3.0,7.0,2.0,3.0,6.0,7.0,3.0,4.0,6.0,9.0
Tim_20,69.0,5.0,1.0,44.0,66.5,103.0,55.0,26.0,42.0,39.0,317.0,336.0,76.0,56.5,44.5,320.0,336.0,35.5,129.0,16.0,46.0,16.0,342.0,65.0,34.0,61.0,6.0,36.0,5.0
Dur_20,1.0,2.5,2.0,6.0,1.5,4.0,2.0,5.0,2.0,5.0,2.0,1.0,1.0,4.5,7.5,162.0,44.0,6.0,2.5,2.0,2.0,25.0,1.0,1.0,9.0,8.0,2.0,40.0,4.0
Fre_20,2.0,8.0,7.0,5.0,6.0,5.0,7.0,5.0,7.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,3.0,8.0,4.0,5.0,7.0,5.0,7.0,4.0,5.0,3.0,5.0,3.0,5.0
Tim_50,44.5,351.0,72.0,351.0,28.5,109.5,52.0,349.0,49.0,10.0,27.0,336.0,98.0,71.0,17.5,211.0,318.0,259.0,320.0,66.0,276.0,357.0,339.0,83.5,338.0,13.5,70.0,356.0,314.0
Dur_50,2.0,4.5,12.0,66.5,3.5,7.5,6.0,4.0,18.5,8.0,2.0,3.0,2.0,2.0,3.5,3.0,3.0,8.0,39.0,155.5,283.0,17.0,7.0,6.5,42.0,5.5,2.5,2.0,10.0
Fre_50,8.0,6.0,5.0,2.0,12.0,6.0,11.0,5.0,6.0,5.0,9.0,5.0,7.0,12.0,8.0,5.0,5.0,3.0,3.0,2.0,1.0,5.0,7.0,6.0,5.0,8.0,8.0,4.0,5.0
