Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
Avg,2565.437158469945,1041.0986301369862,1308.4876712328767,1581.4754098360656,1226.0739726027398,2777.4931506849316,2937.2931506849313,726.3825136612022,2050.008219178082,1475.0109589041097,2928.2575342465752,709.688524590164,608.308493150685,75.85245901639344,nan,2399.3289473684213,1553.86301369863,1165.4602739726026,978.8712328767124,977.3415300546449,1396.6876712328767,1959.1972602739727,1301.186301369863,347.5136612021858,1257.150684931507,839.0
Std,2252.5976808175737,1281.619478980494,1712.7950506305299,2078.5746779989104,1264.0537497271573,3525.751727960062,3446.361922825833,767.248266771341,2734.008485208618,1800.7453372820144,4003.4153952377715,1111.6502040692085,756.1592925312041,46.78546645062352,nan,2200.861203377094,2238.618837373386,1812.7851187545664,1448.3387431557153,1537.2190598616812,1639.241888253276,2681.6755791432556,1515.2281977706184,499.6379766759817,1500.0607062714266,933.6093019926072
CV,0.8780560745292423,1.2310259968470618,1.3089882986950185,1.314326270943646,1.0309767420017841,1.2694006921639427,1.173312211626611,1.056259274337652,1.3336573286056261,1.220835225942942,1.3671664286412666,1.5663916852976765,1.2430523345395652,0.6167956458802755,nan,0.9172819782760484,1.440679659428179,1.5554242038430741,1.4796008857051903,1.5728576066707538,1.1736638920899856,1.368762417914086,1.1644975021450936,1.4377506051058204,1.193222677481303,1.1127643647110932
SP_Tim,nan,164.0,155.0,148.0,168.0,188.0,157.0,150.0,180.0,148.0,168.0,159.0,148.0,nan,nan,165.0,171.0,159.0,147.0,154.0,163.0,159.0,166.0,134.0,151.0,111.0
SP_Mag,nan,4760.0,5900.0,8500.0,4250.0,10100.0,11000.0,2710.0,5700.0,4510.0,10500.0,6100.0,3130.0,nan,nan,6860.0,7240.0,4820.0,5680.0,6020.0,6380.0,10500.0,5060.0,2310.0,5600.0,4800.0
SP_Dur,nan,54.0,74.0,97.0,65.0,67.0,91.0,94.0,54.0,46.0,80.0,74.0,80.0,nan,nan,67.0,67.0,61.0,69.0,59.0,70.0,70.0,65.0,62.0,68.0,142.0
SP_ROC,nan,0.11467136150234741,0.07668918918918918,0.07878787878787878,0.08620689655172414,0.08432449903038139,0.09090909090909091,0.0854629936939927,0.09015574464808254,0.08508287292817679,0.0754985754985755,0.08928571428571429,0.10201426870020697,nan,nan,0.09203839638622247,0.08029197080291971,0.10006528362106484,0.09918032786885246,0.12293262293262293,0.11713286713286714,0.06893289103199846,0.07194961795606494,0.09141274238227147,0.0775786439403434,0.05202312138728324
SU_BFL_Tim,nan,218.0,229.0,245.0,233.0,255.0,248.0,244.0,234.0,194.0,248.0,233.0,228.0,nan,nan,232.0,238.0,220.0,216.0,213.0,233.0,229.0,231.0,196.0,219.0,253.0
SU_BFL_Mag_10,nan,41.0,220.40000000000003,140.0,52.0,116.0,116.0,52.0,115.0,70.0,142.0,65.0,nan,nan,nan,160.0,71.3,90.2,42.0,59.0,48.0,86.0,122.9,20.0,76.8,33.0
SU_BFL_Mag_50,nan,170.0,287.0,450.0,78.0,170.0,240.0,96.0,145.0,200.0,225.0,108.0,nan,nan,nan,374.0,99.0,202.0,80.0,223.0,67.0,437.0,162.0,62.0,133.0,133.0
SU_BFL_Dur_Fl,nan,126.0,181.0,31.0,148.0,92.0,93.0,nan,94.0,185.0,185.0,149.0,nan,nan,nan,187.0,182.0,56.0,131.0,nan,127.0,86.0,176.0,119.0,180.0,145.0
SU_BFL_Dur_Wet,nan,220.0,200.0,189.0,200.0,139.0,182.0,134.0,105.0,192.0,240.0,227.0,nan,nan,nan,233.0,184.0,212.0,230.0,169.0,178.0,224.0,230.0,207.0,189.0,154.0
SU_BFL_No_Flow,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,nan,301.0,343.0,44.0,276.0,14.0,346.0,340.0,nan,326.0,13.0,67.0,17.0,nan,nan,4.0,54.0,53.0,275.0,346.0,nan,358.0,314.0,41.0,315.0,32.0
FAFL_Mag,nan,999.9528459722015,1289.940504413094,1719.9968255628432,2749.985666092186,7899.848853577957,3189.9822612690214,729.8908717068027,nan,1859.992664866033,6969.880962864221,979.9209441468541,644.9232657571181,nan,nan,4199.90898637027,18499.7064939272,4749.807376922825,3379.9504998357097,1049.9129224573542,nan,4309.917236225145,1079.999809716759,436.9852931382968,2479.954050287476,1359.944606350139
FAFL_Tim_Wet,nan,59.0,72.0,63.0,69.0,66.0,28.0,64.0,13.0,337.0,20.0,122.0,95.0,nan,nan,13.0,100.0,55.0,66.0,80.0,17.0,44.0,87.0,95.0,38.0,41.0
FAFL_Dur,nan,3.0,4.0,2.0,0.0,3.0,5.0,2.0,nan,5.0,2.0,6.0,3.0,nan,nan,3.0,9.0,3.0,10.0,2.0,nan,9.0,5.0,4.0,2.0,5.0
Wet_BFL_Mag,nan,202.0,170.0,1270.0,330.0,653.0,810.0,284.0,1270.0,825.0,1502.0,538.0,191.0,nan,nan,1460.0,952.0000000000001,1340.0,165.0,149.0,1300.0,392.0,262.0,244.6,250.0,536.0
