Year,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,8.98082191780822,12.596054794520546,22.384520547945208,8.66428961748634,25.732904109589047,24.104273972602737,6.921150684931508,12.354508196721312,10.659287671232878,21.131479452054798,34.33260273972602,12.629234972677594,6.727123287671233,3.0422191780821914,2.0407945205479456
Std,8.443677338439928,14.088163137887683,53.27367308996212,8.710213269819471,27.1372881273832,27.782273994554522,5.541716147007746,12.23537874624813,10.282074495496708,21.178081910967762,37.80162823293942,13.580979123400947,5.948913306877598,2.3500076959744303,1.6096645354490184
CV,0.9401898195639333,1.1184583877815635,2.379933623141747,1.0053003367108653,1.0545754187639795,1.1525870485098308,0.8006928904283185,0.9903574105438858,0.9646117838855042,1.0022053571317002,1.101041727582145,1.075360396158784,0.8843175682211954,0.7724649535132673,0.7887440500461701
SP_Tim,123.0,109.0,140.0,82.0,148.0,125.0,116.0,78.0,129.0,162.0,132.0,121.0,96.0,123.0,46.0
SP_Mag,38.0,32.0,60.5,34.6,99.4,110.0,21.0,41.0,46.7,86.0,83.5,77.1,14.2,9.44,4.94
SP_Dur,100.0,116.0,64.0,129.0,92.0,112.0,101.0,149.0,90.0,86.0,110.0,92.0,119.0,108.0,180.0
SP_ROC,0.044281045751633996,0.04019013698882273,0.033129844296591035,0.02586206896551715,0.03230104460547995,0.032761635995071425,0.036266712590412385,0.030534351145038195,0.03802336340504282,0.0353982300884956,0.02857142857142864,0.034825870646766094,0.027624309392265192,0.04805491990846681,0.04643962848297211
SU_BFL_Tim,223.0,225.0,204.0,211.0,240.0,237.0,217.0,227.0,219.0,248.0,242.0,213.0,215.0,231.0,226.0
SU_BFL_Mag_10,2.0,2.07,2.324,1.403,4.06,3.65,1.161,2.002,1.908,3.8209999999999997,5.382,2.258,1.3450000000000002,0.7,0.5
SU_BFL_Mag_50,2.4,2.46,4.26,3.785,5.79,4.39,2.635,3.04,3.49,4.785,7.19,2.81,2.0149999999999997,0.97,0.745
SU_BFL_Dur_Fl,107.0,nan,138.0,164.0,98.0,108.0,125.0,130.0,70.0,nan,37.0,nan,89.0,75.0,80.0
SU_BFL_Dur_Wet,113.0,82.0,152.0,164.0,193.0,171.0,152.0,167.0,189.0,98.0,205.0,119.0,186.0,89.0,94.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,284.0,328.0,nan,341.0,10.0,336.0,344.0,341.0,357.0,287.0,nan,278.0,nan,302.0,305.0
FAFL_Mag,9.96755106087952,41.946847659373525,nan,9.422100189876748,149.72444975156546,72.61316991494493,8.330080487233719,25.61611299160482,22.910541710328967,74.91034809910043,nan,37.639898079323615,nan,3.5879967468986473,4.409277603403721
FAFL_Tim_Wet,57.0,334.0,306.0,355.0,10.0,66.0,42.0,3.0,29.0,41.0,345.0,81.0,332.0,34.0,319.0
FAFL_Dur,4.0,4.0,nan,2.0,3.0,8.0,3.0,3.0,3.0,3.0,nan,2.0,nan,7.0,2.0
Wet_BFL_Mag,4.0,8.7,10.98,6.64,19.0,9.294,4.91,4.181,5.976000000000001,3.49,21.84,5.823,5.926,2.12,1.67
WIN_Tim_2,nan,363.0,74.0,nan,127.0,93.0,nan,30.0,123.0,106.0,87.0,114.5,nan,nan,nan
WIN_Dur_2,nan,2.0,2.0,nan,2.0,2.0,nan,1.0,1.0,1.5,5.0,1.0,nan,nan,nan
WIN_Fre_2,0.0,1.0,3.0,0.0,5.0,7.0,0.0,2.0,1.0,4.0,6.0,2.0,0.0,0.0,0.0
WIN_Tim_5,nan,365.5,103.5,358.0,98.0,75.0,nan,30.0,123.0,125.0,75.0,65.0,359.0,nan,nan
WIN_Dur_5,nan,2.0,5.5,2.0,3.0,1.0,nan,1.5,1.0,3.0,3.0,6.0,1.0,nan,nan
WIN_Fre_5,0.0,2.0,4.0,1.0,5.0,6.0,0.0,2.0,1.0,8.0,7.0,2.0,1.0,0.0,0.0
WIN_Tim_10,115.0,363.0,74.0,66.0,29.0,59.0,nan,55.0,89.0,65.5,17.0,23.0,359.0,nan,nan
WIN_Dur_10,6.0,2.0,6.0,1.5,4.0,2.0,nan,2.0,5.0,3.0,20.0,1.0,1.0,nan,nan
WIN_Fre_10,1.0,3.0,5.0,4.0,3.0,5.0,0.0,5.0,2.0,6.0,3.0,5.0,3.0,0.0,0.0
WIN_Tim_20,92.5,66.0,10.0,57.0,44.0,365.0,42.0,28.5,67.0,13.0,21.0,51.0,6.5,nan,nan
WIN_Dur_20,22.0,5.0,2.0,2.0,12.5,2.0,1.0,1.0,3.5,2.0,32.0,1.5,1.5,nan,nan
WIN_Fre_20,2.0,7.0,7.0,3.0,4.0,7.0,3.0,6.0,6.0,5.0,4.0,4.0,4.0,0.0,0.0
WIN_Tim_50,12.0,324.5,312.0,349.5,332.0,336.0,362.5,92.5,360.0,358.5,312.0,308.0,353.0,93.0,9.5
WIN_Dur_50,2.0,3.5,273.0,1.5,2.0,10.0,3.0,3.0,2.0,10.5,3.0,18.0,7.0,4.0,1.5
WIN_Fre_50,7.0,4.0,1.0,6.0,7.0,3.0,6.0,4.0,7.0,4.0,5.0,5.0,5.0,8.0,4.0
