Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
Avg,94.97506849315069,184.31284153005464,70.87890410958904,80.80301369863014,70.38054794520548,154.86584699453553,73.69068493150685,149.01287671232876,42.536986301369865,41.77622950819672,10.886849315068492
Std,152.3314639615419,246.59522955537219,83.52082879518522,119.82837574945776,101.33784363762837,337.8526180725705,121.4259915342626,211.3553140876623,51.906409208738545,61.177926552464996,22.20671852407354
CV,1.6039100195282048,1.3379167046001055,1.1783594829012867,1.482969140190488,1.4398558493253644,2.1815824768936416,1.6477793855101794,1.418369464108034,1.2202653201848235,1.4644195340908293,2.039774583206292
SP_Tim,150.0,153.0,171.0,143.0,162.0,155.0,160.0,173.0,136.0,158.0,161.0
SP_Mag,400.0,1030.0,364.0,514.0,511.0,505.0,580.0,645.0,210.0,188.0,55.0
SP_Dur,66.0,91.0,59.0,79.0,57.0,82.0,62.0,72.0,71.0,48.0,81.0
SP_ROC,0.07065217391304347,0.06695685571629753,0.07168550873586844,0.08037267080745342,0.07142857142857142,0.0625,0.07692307692307693,0.08792270531400967,0.07783161720169594,0.08955223880597014,0.16666666666666663
SU_Tim,216.0,244.0,230.0,222.0,219.0,237.0,222.0,245.0,207.0,206.0,242.0
SU_Mag_10,3.32,8.82,5.3,4.1,3.6,6.800000000000001,6.0,7.06,3.1,0.2,0.1
SU_Mag_50,23.0,23.0,9.0,16.0,4.5,9.9,19.0,9.8,4.2,1.1,0.6
SU_Dur_Fl,148.0,135.0,161.0,145.0,nan,185.0,130.0,168.0,192.0,131.0,96.0
SU_Dur_Wet,253.0,207.0,234.0,233.0,131.0,237.0,253.0,173.0,237.0,255.0,220.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,300.0,363.0,14.0,24.0,1.0,nan,57.0,350.0,47.0,33.0,337.0
FA_Mag,254.94367127928882,572.6941752283705,87.97337357975225,134.9272838447896,57.96530276654391,nan,107.96005163061443,111.99921348663297,174.84668817490575,61.974662045106,19.94587125659925
FA_Tim_Wet,314.0,103.0,86.0,97.0,89.0,349.0,109.0,108.0,52.0,78.0,96.0
FA_Dur,6.0,3.0,1.0,3.0,2.0,nan,3.0,3.0,5.0,5.0,2.0
Tim_2,329.5,132.0,nan,nan,nan,67.0,147.0,154.5,nan,nan,nan
Dur_2,2.0,4.0,nan,nan,nan,4.0,2.0,4.5,nan,nan,nan
Fre_2,2.0,3.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0
Tim_5,337.0,149.0,118.0,131.0,148.0,125.0,152.0,124.0,nan,nan,nan
Dur_5,2.0,4.0,1.0,4.5,3.0,2.0,2.0,9.0,nan,nan,nan
Fre_5,3.0,4.0,1.0,4.0,3.0,5.0,3.0,3.0,0.0,0.0,0.0
Tim_10,55.5,67.0,142.0,106.0,139.0,123.5,139.0,117.0,nan,131.0,nan
Dur_10,3.0,1.5,5.0,14.0,5.0,5.5,5.0,7.0,nan,3.0,nan
Fre_10,6.0,4.0,3.0,3.0,5.0,6.0,3.0,3.0,0.0,1.0,0.0
Tim_20,348.0,56.0,135.0,130.5,103.0,82.0,119.0,152.0,112.0,126.0,nan
Dur_20,7.0,2.0,9.0,1.5,3.0,7.0,14.0,49.0,5.0,10.5,nan
Fre_20,7.0,4.0,5.0,6.0,5.0,7.0,3.0,2.0,6.0,4.0,0.0
Tim_50,311.0,346.0,360.0,28.0,1.0,346.5,40.0,125.0,47.0,39.0,119.0
Dur_50,124.0,5.0,4.0,3.0,2.0,126.0,2.0,8.5,1.0,6.0,11.0
Fre_50,2.0,5.0,4.0,3.0,5.0,2.0,3.0,4.0,3.0,3.0,5.0
