Year,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
FA_Tim_Wet,34.0,3.0,25.0,323.0,36.0,25.0,12.0,354.0,354.0,16.0,21.0,14.0,3.0,327.0,341.0,11.0,326.0,36.0,54.0,356.0,4.0,9.0,6.0,21.0,359.0,22.0,324.0,316.0,39.0,35.0,333.0,60.0,294.0,61.0,37.0,nan
FA_Dur,5.0,nan,nan,5.0,nan,5.0,3.0,nan,4.0,6.0,nan,2.0,3.0,nan,6.0,4.0,3.0,1.0,4.0,5.0,nan,7.0,2.0,7.0,nan,2.0,3.0,nan,nan,nan,nan,4.0,7.0,nan,nan,nan
Tim_2,55.0,154.0,39.0,nan,44.0,44.0,21.0,363.0,nan,24.0,30.0,38.0,42.0,336.0,nan,17.0,87.0,66.0,nan,nan,28.0,44.0,12.0,54.5,47.0,43.0,359.0,40.0,58.5,44.0,nan,nan,nan,72.5,45.0,nan
Dur_2,2.0,1.0,1.0,nan,2.0,1.0,1.0,3.5,nan,2.0,1.0,4.0,2.5,1.0,nan,2.0,1.0,1.0,nan,nan,2.5,1.0,3.0,1.0,2.0,3.0,2.0,1.0,4.5,1.0,nan,nan,nan,2.5,1.0,nan
Fre_2,9.0,4.0,3.0,0.0,3.0,7.0,1.0,2.0,0.0,7.0,1.0,7.0,4.0,3.0,0.0,7.0,5.0,3.0,0.0,0.0,6.0,1.0,3.0,2.0,6.0,9.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,nan
Tim_5,49.0,134.5,35.5,nan,44.0,75.0,354.0,55.5,35.0,80.0,38.5,19.0,34.5,338.0,nan,17.0,31.5,66.0,nan,nan,13.0,31.0,46.0,54.5,20.0,22.0,335.5,3.5,31.0,43.0,17.0,77.0,nan,72.5,46.0,nan
Dur_5,12.0,2.0,2.0,nan,4.0,5.0,2.0,4.5,1.0,3.5,2.0,16.0,3.0,2.0,nan,6.0,2.5,2.0,nan,nan,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.5,nan,3.0,4.0,nan
Fre_5,5.0,4.0,2.0,0.0,3.0,7.0,2.0,4.0,1.0,10.0,2.0,3.0,6.0,5.0,0.0,5.0,8.0,7.0,0.0,0.0,7.0,8.0,7.0,2.0,11.0,7.0,6.0,2.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,nan
Tim_10,26.5,42.0,36.0,75.0,50.5,55.5,351.5,24.0,29.0,21.0,47.0,55.0,28.5,4.5,361.0,10.0,364.0,35.5,nan,nan,13.0,48.5,11.0,28.0,21.5,6.0,335.5,18.5,23.5,64.0,361.0,69.0,47.0,76.0,41.0,nan
Dur_10,1.5,2.0,2.0,1.0,13.5,3.0,1.5,4.0,1.0,18.0,6.0,5.0,4.0,2.5,1.0,5.0,3.0,2.0,nan,nan,6.0,6.5,3.0,4.0,5.5,4.5,2.5,1.5,4.0,2.0,1.5,3.0,1.0,2.0,1.0,nan
Fre_10,8.0,5.0,3.0,1.0,2.0,6.0,4.0,5.0,7.0,5.0,3.0,4.0,6.0,6.0,3.0,3.0,12.0,6.0,0.0,0.0,9.0,4.0,5.0,3.0,8.0,6.0,6.0,6.0,4.0,3.0,2.0,3.0,1.0,3.0,3.0,nan
Tim_20,365.0,143.0,21.0,32.0,20.0,349.0,323.0,59.0,11.5,359.5,31.0,360.0,363.5,87.5,14.5,328.5,324.5,2.0,60.0,3.0,356.0,64.5,365.5,41.0,358.0,351.0,14.0,10.0,17.0,72.0,5.0,31.5,47.0,72.0,5.0,nan
Dur_20,1.5,9.0,2.0,1.0,3.0,5.0,2.0,2.0,6.0,9.0,1.5,2.0,50.0,5.5,2.0,1.0,5.5,2.5,1.0,1.0,3.0,7.0,4.5,2.0,5.0,5.0,10.0,2.5,2.0,4.0,3.0,1.0,2.0,3.0,1.0,nan
Fre_20,6.0,4.0,5.0,5.0,3.0,3.0,7.0,7.0,6.0,6.0,8.0,5.0,2.0,4.0,4.0,6.0,4.0,4.0,3.0,3.0,5.0,8.0,4.0,7.0,8.0,5.0,4.0,10.0,8.0,4.0,5.0,6.0,3.0,3.0,3.0,nan
Tim_50,322.0,256.5,8.0,50.0,19.0,337.0,50.5,327.0,317.0,101.0,60.5,344.0,309.0,318.5,355.0,309.0,294.0,323.0,356.0,55.0,349.0,362.0,321.0,101.5,106.0,313.0,205.5,307.0,4.0,14.0,335.0,24.0,123.0,45.5,18.5,nan
Dur_50,2.0,5.0,2.0,5.5,4.0,4.0,4.0,2.0,183.0,11.0,2.5,12.0,4.0,105.0,4.0,2.0,5.0,5.0,2.0,1.0,2.0,2.5,2.0,4.0,5.5,2.0,3.0,2.0,3.0,5.0,2.0,3.0,5.0,1.5,3.0,nan
Fre_50,9.0,4.0,3.0,12.0,5.0,5.0,4.0,7.0,1.0,4.0,4.0,5.0,3.0,2.0,7.0,5.0,3.0,5.0,9.0,7.0,5.0,6.0,9.0,4.0,4.0,7.0,6.0,5.0,9.0,6.0,7.0,13.0,7.0,6.0,8.0,nan
