Year,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,2.525287671232877,4.735765027322405,0.6645205479452054,10.272246575342466,10.34641095890411,2.9321857923497268,1.1063835616438358,4.69731506849315,0.46082191780821924,0.16158469945355192,0.34643835616438357,0.0541917808219178,0.3664383561643836,0.7108196721311475,4.515726027397261,0.4931232876712329,4.914657534246575,4.289863387978142,5.531890410958904,8.929945205479452,3.788904109589041,3.3134699453551915,0.627917808219178,2.1073424657534248,2.113808219178082,2.1194535519125686,3.601123287671233,7.766547945205479,0.539095890410959,1.383688524590164,0.766958904109589,2.0235616438356163,3.876356164383562,1.2580054644808742,1.639095890410959,0.13435616438356165,0.8721643835616439
Std,9.201551014998984,16.666433998577528,2.1284793215299325,41.50257906354136,26.14757406690987,7.051029543739225,4.534187766534988,24.506440627785945,3.1053127049757796,0.6973867710243529,1.0630467584182735,0.16836430311257222,2.1437055166441237,2.542608785760643,18.951731531301515,1.8383566510829643,14.795807558936193,12.094261803044125,22.643472299897148,27.823174857932365,11.570606069969777,14.116485759561987,2.2840135411722517,5.830370302906891,6.873286427858546,9.475414389010698,8.682857846473155,21.52143489960909,2.2848601178033454,5.210019068090665,2.893470648818025,5.1429743459317745,11.937570374598401,6.657720618652882,7.953209053651174,0.669130234264755,4.23395659710025
CV,3.643763488738165,3.5192696222094253,3.2030301066107003,4.040263126389926,2.5272120130128113,2.4047008078873593,4.09820601437553,5.217116644391358,6.738639341951007,4.31592083522004,3.0685019123975468,3.106823591308841,5.850112251028823,3.57700959251382,4.196829350655882,3.7279858750224006,3.0105470128559864,2.81926502296948,4.093261185188971,3.1157161906055086,3.0538133812060946,4.260333122788821,3.6374403007455474,2.766693310487812,3.2516130675899753,4.470687446988495,2.411152619017431,2.7710425598923796,4.238318559730756,3.7653120449443818,3.772654093086301,2.5415456759614106,3.0795855355816553,5.292282749662174,4.8521926631498795,4.980271931211981,4.854539668095719
SP_Tim,58.0,57.0,89.0,105.0,87.0,363.0,90.0,53.0,49.0,17.0,89.0,47.0,90.0,69.0,25.0,53.0,85.0,57.0,7.0,41.0,52.0,62.0,69.0,3.0,4.0,60.0,93.0,110.0,62.0,38.0,67.0,106.0,87.0,108.0,362.0,91.0,353.0
SP_Mag,42.0,33.0,14.0,51.0,105.0,66.0,21.0,165.0,7.0,10.0,12.0,1.9,7.9,13.0,113.0,19.0,172.0,41.0,270.0,91.0,72.0,78.0,19.0,50.4,27.2,97.5,33.3,58.6,21.8,55.1,31.8,31.4,138.0,107.0,86.1,6.68,27.7
SP_Dur,81.0,67.0,23.0,30.0,75.0,139.0,50.0,58.0,79.0,120.0,66.0,205.0,58.0,61.0,99.0,108.0,66.0,70.0,60.0,91.0,83.0,46.0,85.0,129.0,166.0,59.0,79.0,54.0,80.0,75.0,36.0,76.0,48.0,59.0,79.0,47.0,92.0
SP_ROC,0.07692307692307698,0.07417582417582418,0.1250000000000001,0.06524822695035462,0.0741758241758242,0.07142857142857134,0.09473684210526313,0.08276255707762555,0.10000000000000009,0.16867469879518074,0.07936507936507943,0.34057971014492755,0.12499999999999993,0.12500000000000003,0.14017543859649123,0.1483317214700193,0.08712121212121213,0.08333333333333323,0.09375000000000008,0.09436758893280625,0.13339920948616596,0.09109730848861282,0.14835164835164838,0.06764705882352948,0.06976744186046505,0.0620293519485516,0.0649350649350649,0.04829692706405039,0.07456922162804516,0.06256109481915939,0.060606060606060656,0.0645855614973262,0.06372549019607848,0.06315789473684205,0.03773584905660381,0.15384615384615388,0.07692307692307698
SU_BFL_Tim,139.0,124.0,112.0,135.0,162.0,137.0,140.0,111.0,128.0,137.0,155.0,252.0,148.0,130.0,124.0,161.0,151.0,127.0,67.0,132.0,135.0,108.0,154.0,132.0,170.0,119.0,172.0,164.0,142.0,113.0,103.0,182.0,135.0,167.0,76.0,138.0,80.0
SU_BFL_Mag_10,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0
SU_BFL_Mag_50,0.05,0.09,0.0,0.345,0.13,0.09,0.01,0.03,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.015,0.01,0.06,0.22,0.1,0.06,0.0,0.01,0.01,0.0,0.02,0.05,0.01,0.0,0.03,0.04,0.06,0.0,0.0,0.0,0.0
