Year,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,4.341369863013698,0.446775956284153,12.533780821917809,1.1246301369863012,0.7865479452054795,0.09846994535519127,4.476438356164384,1.2534520547945205,1.7571506849315068,0.11557377049180327,0.07175342465753425,7.413232876712328,2.6592328767123288,4.153934426229509,0.9422465753424658,1.6122465753424657,18.85564383561644,2.02448087431694,0.19821917808219178,5.000246575342465,0.6746849315068494,0.42661202185792346,0.003123287671232877,0.19843835616438354,2.020109589041096,1.8033606557377049,10.130630136986301,0.5664931506849316,14.770657534246576,1.9916120218579236,4.0164109589041095,10.408547945205479,1.182876712328767,1.1056010928961748,3.023780821917808,0.11715068493150685,0.5981917808219178,0.2091256830601093,9.071780821917807,2.597123287671233,0.05832876712328767,1.3651639344262294,0.07558904109589042,2.657506849315068,6.289232876712328,0.25808743169398907,0.027205479452054794,0.07967123287671234,0.0
Std,11.77269016579956,0.6038460422165474,43.778593917934515,3.8499229933833967,2.0293228848532037,0.6049326909434869,11.620640372077563,2.7101397883428064,5.380193110735052,1.8221156782993668,0.3718332142246043,18.614287058579308,4.679215244240514,10.252410503501705,2.1555031563439706,7.674627108483455,52.884007318516694,7.353523049072518,0.36239516184799064,19.123743119434145,2.2826921673473257,1.9996707371773068,0.057510915034411754,2.272169206668879,11.761271061169008,8.1878547545709,31.464008721210444,1.177397072525426,63.7878848385051,4.774386107336939,10.678577633255701,23.877894696807147,1.1202711015484303,3.175771158773091,26.732524143358564,0.19490803389704864,3.79637520215651,2.2993804821495085,30.39141410578358,10.493238825052762,0.10644029193775768,9.20543667173849,0.4456062465935483,8.726728463439814,16.577539879385533,0.3502928564099955,0.5071114805135116,1.2649361460390065,0.0
CV,2.7117454944571753,1.3515634261940823,3.492848210763263,3.423279233562182,2.5800371067310572,6.143323110025421,2.5959567512138504,2.1621407679506994,3.0618848781001216,15.7658235994697,5.182097105459357,2.5109540423387453,1.7596109333702044,2.4681204495584037,2.2876211097509573,4.7602067983014615,2.804677887403879,3.632300577575769,1.8282547902490198,3.8245600154477115,3.3833454116859167,4.6873286141084565,18.41358244522832,11.450252111475091,5.8220955560890335,4.540331257932139,3.1058293803795385,2.078395954305656,4.318554180178466,2.3972470817298226,2.6587363052533313,2.2940658795548994,0.9470734269025528,2.8724385125687664,8.840761191945017,1.6637378945842551,6.346418195415985,10.995208472259211,3.3501045387204056,4.040331421640654,1.8248335630475132,6.7430998135820825,5.895117071643535,3.283802811529534,2.635860398931734,1.3572642964859027,18.640049384434214,15.87694956341944,nan
SP_Tim,118.0,323.0,64.0,67.0,136.0,361.0,64.0,77.0,77.0,273.0,4.0,63.0,86.0,47.0,65.0,91.0,60.0,359.0,72.0,75.0,65.0,60.0,nan,13.0,79.0,81.0,51.0,51.0,69.0,51.0,24.0,38.0,81.0,45.0,65.0,77.0,123.0,56.0,50.0,94.0,61.0,27.0,64.0,37.0,79.0,105.0,nan,nan,nan
SP_Mag,17.0,3.0,119.0,13.0,21.0,9.5,73.0,3.8,8.6,34.0,4.2,182.0,30.0,110.0,15.0,33.0,671.0,130.0,2.7,177.0,31.0,24.0,nan,34.0,136.0,40.0,120.0,16.0,1070.0,29.0,98.0,264.0,6.1,43.0,498.0,0.83,58.6,37.4,140.0,44.8,0.45,155.0,7.53,24.8,201.0,2.86,nan,nan,nan
SP_Dur,95.0,179.0,64.0,91.0,47.0,181.0,112.0,102.0,116.0,28.0,140.0,136.0,124.0,152.0,115.0,76.0,130.0,51.0,103.0,46.0,101.0,114.0,nan,30.0,44.0,135.0,127.0,130.0,83.0,135.0,114.0,173.0,131.0,136.0,29.0,101.0,52.0,24.0,58.0,112.0,144.0,91.0,129.0,146.0,64.0,78.0,nan,nan,nan
SP_ROC,0.08606701940035266,0.16666666666666663,0.06666666666666667,0.08620689655172414,0.1764705882352941,0.19047619047619038,0.07321428571428575,0.10025062656641606,0.06723163841807915,0.6125,0.5,0.06123086535457668,0.05882352941176469,0.06107226107226106,0.125,0.07692307692307693,0.0625,0.06350806451612909,0.1258802816901408,0.09090909090909091,0.10410216718266257,0.175,nan,0.656060606060606,0.13636363636363646,0.11616161616161619,0.061249999999999985,0.18571428571428572,0.0634920634920634,0.08641975308641982,0.06250000000000006,0.07229965156794424,0.0857317819963257,0.12068965517241383,0.06723163841807915,0.2,0.22881355932203384,0.40085388994307397,0.08333333333333333,0.05388201147782496,0.16954022988505743,0.09366899302093712,0.15384615384615388,0.08911764705882351,0.04196922842888143,0.13043478260869565,nan,nan,nan
SU_Tim,213.0,137.0,128.0,158.0,183.0,177.0,176.0,179.0,193.0,301.0,144.0,199.0,210.0,199.0,180.0,167.0,190.0,45.0,175.0,121.0,166.0,174.0,nan,43.0,123.0,216.0,178.0,181.0,152.0,186.0,138.0,211.0,212.0,181.0,94.0,178.0,175.0,80.0,108.0,206.0,205.0,118.0,193.0,183.0,143.0,183.0,nan,nan,nan
SU_Mag_10,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,1.2,nan,0.0,0.05,0.0,nan,nan,0.0,0.0,0.0,0.03,0.0,0.09,0.0,0.0,0.73,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
SU_Mag_50,nan,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.34,0.0,0.08499999999999999,0.0,0.06,1.6,nan,0.0,0.48,0.0,nan,nan,0.0,0.0,0.0,0.28,0.0,0.38,0.0,0.01,0.975,0.0,0.0,nan,0.0,0.0,0.0,0.14500000000000002,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan
SU_Dur_Fl,nan,nan,nan,nan,nan,143.0,161.0,nan,nan,nan,228.0,128.0,167.0,nan,192.0,190.0,nan,nan,nan,nan,174.0,nan,nan,387.0,241.0,nan,170.0,195.0,nan,159.0,nan,106.0,179.0,nan,nan,173.0,nan,nan,261.0,nan,165.0,nan,nan,171.0,nan,nan,nan,nan,nan
SU_Dur_Wet,nan,246.0,251.0,173.0,171.0,213.0,195.0,215.0,440.0,nan,234.0,175.0,170.0,190.0,274.0,223.0,154.0,nan,231.0,285.0,201.0,nan,nan,388.0,280.0,157.0,173.0,246.0,240.0,171.0,258.0,112.0,181.0,238.0,nan,302.0,240.0,281.0,322.0,nan,174.0,305.0,188.0,236.0,nan,nan,nan,nan,nan
SU_No_Flow,nan,241.0,62.0,164.0,171.0,194.0,138.0,213.0,437.0,nan,222.0,23.0,149.0,75.0,198.0,95.0,0.0,nan,182.0,6.0,167.0,nan,nan,369.0,253.0,125.0,6.0,189.0,0.0,101.0,126.0,0.0,159.0,184.0,nan,172.0,237.0,241.0,143.0,nan,167.0,284.0,186.0,150.0,nan,nan,nan,nan,nan
FA_Tim,340.0,nan,nan,nan,nan,nan,320.0,335.0,nan,nan,nan,5.0,326.0,11.0,nan,5.0,356.0,nan,nan,nan,nan,339.0,nan,nan,64.0,363.0,nan,346.0,10.0,nan,345.0,nan,316.0,25.0,nan,nan,350.0,nan,nan,2.0,nan,4.0,nan,nan,353.0,nan,nan,nan,nan
FA_Mag,183.99892524210355,nan,nan,nan,nan,nan,29.046465821693864,5.708845575969249,nan,nan,nan,26.99704284176403,8.419134386594903,54.943932743033216,nan,13.95455424083438,116.8876966136203,nan,nan,nan,nan,3.0259521583945106,nan,nan,71.89991304115412,35.938040003539825,nan,1.9701360465159288,176.96323530339046,nan,45.84593101373723,nan,2.181964397347222,12.884348779469377,nan,nan,14.662196332776968,nan,nan,179.59803638350286,nan,20.376108690076666,nan,nan,41.95045249122122,nan,nan,nan,nan
FA_Tim_Wet,22.0,nan,18.0,12.0,330.0,353.0,25.0,4.0,28.0,267.0,nan,11.0,8.0,14.0,24.0,87.0,24.0,343.0,nan,39.0,40.0,1.0,nan,6.0,65.0,37.0,8.0,349.0,61.0,26.0,357.0,29.0,322.0,27.0,54.0,nan,114.0,49.0,361.0,63.0,nan,13.0,58.0,14.0,53.0,nan,nan,nan,nan
FA_Dur,2.0,nan,nan,nan,nan,nan,2.0,20.0,nan,nan,nan,4.0,4.0,4.0,nan,31.0,4.0,nan,nan,nan,nan,10.0,nan,nan,2.0,29.0,nan,3.0,2.0,nan,10.0,nan,6.0,3.0,nan,nan,25.0,nan,nan,6.0,nan,31.0,nan,nan,26.0,nan,nan,nan,nan
Tim_2,49.5,nan,47.0,60.0,nan,nan,48.5,nan,40.0,273.0,nan,38.0,45.0,56.0,nan,95.5,70.0,359.0,nan,69.0,65.0,nan,nan,13.0,77.0,62.0,40.0,nan,45.5,36.0,21.0,57.5,nan,45.0,64.0,nan,123.0,56.0,48.0,59.0,nan,41.0,nan,39.0,49.0,nan,nan,nan,nan
Dur_2,1.5,nan,2.0,1.0,nan,nan,2.0,nan,1.0,1.0,nan,9.0,1.0,1.5,nan,1.5,3.5,3.0,nan,3.0,1.0,nan,nan,1.0,3.0,1.5,3.0,nan,3.5,1.0,2.0,2.5,nan,1.0,3.0,nan,2.0,1.0,1.0,1.0,nan,1.5,nan,1.5,1.0,nan,nan,nan,nan
Fre_2,4.0,0.0,7.0,1.0,0.0,0.0,6.0,0.0,3.0,1.0,0.0,3.0,3.0,4.0,0.0,2.0,4.0,1.0,0.0,5.0,1.0,0.0,nan,1.0,3.0,4.0,5.0,0.0,4.0,3.0,5.0,6.0,0.0,1.0,1.0,0.0,1.0,1.0,7.0,3.0,0.0,2.0,0.0,2.0,5.0,0.0,nan,nan,nan
Tim_5,71.0,nan,37.0,60.0,51.0,nan,47.0,12.0,40.0,273.0,nan,63.5,65.0,47.0,65.0,90.0,356.0,359.0,nan,67.0,54.0,17.0,nan,139.5,76.0,63.5,25.5,51.0,34.0,58.0,365.0,33.0,nan,44.0,58.0,nan,54.0,56.0,8.0,76.0,nan,26.0,nan,36.0,49.0,nan,nan,nan,nan
Dur_5,2.0,nan,14.0,2.0,1.5,nan,3.0,2.0,2.0,1.0,nan,2.0,2.5,12.0,1.0,3.0,2.0,5.0,nan,3.0,1.5,1.0,nan,1.0,4.0,1.5,8.5,1.0,1.5,2.0,2.0,5.0,nan,1.0,2.0,nan,1.5,2.0,5.0,2.0,nan,2.0,nan,3.0,3.0,nan,nan,nan,nan
Fre_5,7.0,0.0,3.0,3.0,2.0,0.0,8.0,3.0,3.0,1.0,0.0,10.0,4.0,3.0,3.0,3.0,3.0,1.0,0.0,5.0,2.0,3.0,nan,2.0,3.0,6.0,4.0,1.0,10.0,6.0,5.0,5.0,0.0,3.0,3.0,0.0,2.0,1.0,5.0,4.0,0.0,3.0,0.0,5.0,7.0,0.0,nan,nan,nan
Tim_10,46.0,nan,20.0,15.0,355.0,361.0,17.0,37.0,44.0,273.0,nan,23.0,45.5,46.0,87.0,90.0,19.0,347.5,nan,43.0,54.0,17.0,nan,139.5,76.0,66.0,78.5,45.0,23.0,60.0,8.0,23.0,91.5,57.5,32.0,nan,56.0,56.0,83.0,87.0,nan,25.0,64.0,56.0,68.5,nan,nan,nan,nan
