Year,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
WIN_Fre_2,8.0,5.0,6.0,4.0,4.0,6.0,2.0,7.0,3.0,6.0,1.0,3.0,2.0,3.0,3.0,9.0,5.0,2.0,9.0,8.0,5.0,0.0,7.0,4.0,4.0,2.0,11.0,9.0,5.0,2.0,3.0,0.0,4.0,2.0,1.0,1.0,0.0,7.0,2.0,6.0,8.0,5.0,6.0,5.0,3.0,0.0,4.0,4.0,5.0,4.0,9.0,6.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,2.0
WIN_Tim_5,10.0,60.0,27.5,27.0,72.0,73.0,16.0,34.0,6.0,365.5,41.5,21.0,33.0,26.5,2.5,6.5,343.0,5.5,355.0,41.0,338.0,nan,347.0,80.5,6.5,54.5,10.5,49.0,18.5,5.5,33.0,28.0,344.0,10.0,32.0,48.0,108.0,51.0,38.0,68.0,39.5,357.0,37.0,42.5,39.5,54.0,359.0,27.0,1.0,49.0,23.5,27.5,358.0,46.0,57.0,70.0,54.0,356.0,68.0,18.0
WIN_Dur_5,2.0,2.0,2.0,1.0,2.0,1.5,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,8.5,4.0,2.0,2.5,2.0,2.0,2.0,nan,2.0,1.5,2.5,1.5,3.0,2.0,2.0,1.5,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.5,8.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.5,1.0,1.0,1.0,1.0,1.5,1.0,2.0,1.0
WIN_Fre_5,13.0,8.0,10.0,5.0,5.0,10.0,4.0,11.0,5.0,8.0,4.0,5.0,2.0,10.0,2.0,8.0,9.0,6.0,12.0,7.0,7.0,0.0,9.0,6.0,6.0,4.0,14.0,15.0,12.0,6.0,7.0,5.0,7.0,9.0,3.0,2.0,1.0,9.0,4.0,9.0,8.0,5.0,8.0,12.0,4.0,1.0,12.0,11.0,5.0,6.0,16.0,6.0,5.0,7.0,9.0,12.0,6.0,5.0,3.0,5.0
WIN_Tim_10,354.0,56.0,25.5,62.0,72.0,49.0,31.5,65.0,2.0,345.0,54.0,47.5,33.0,19.5,19.0,10.0,359.0,10.0,31.5,33.0,338.0,69.0,10.0,77.5,22.0,46.0,2.0,47.5,44.0,328.0,23.0,48.5,9.0,61.5,68.0,63.0,77.5,51.0,12.0,28.0,30.0,22.0,22.0,60.5,42.5,54.0,10.5,47.0,27.0,93.0,34.0,18.0,363.0,55.0,57.0,355.0,44.0,66.0,63.0,10.5
WIN_Dur_10,3.0,2.0,3.0,1.5,3.0,3.0,3.5,2.0,2.0,2.0,4.0,2.5,1.5,5.0,1.5,3.0,1.0,5.0,4.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,3.5,3.0,3.0,2.0,2.0,10.0,3.5,2.5,1.0,1.0,4.0,1.5,3.0,4.0,2.0,3.5,3.0,1.5,2.0,3.0,2.0,1.0,3.0,2.0,1.5,2.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0
WIN_Fre_10,8.0,9.0,10.0,8.0,7.0,10.0,6.0,12.0,11.0,7.0,6.0,8.0,8.0,10.0,6.0,11.0,9.0,5.0,12.0,9.0,7.0,1.0,12.0,6.0,16.0,7.0,14.0,12.0,15.0,9.0,11.0,8.0,3.0,14.0,10.0,7.0,4.0,15.0,6.0,11.0,10.0,11.0,12.0,12.0,8.0,1.0,14.0,15.0,11.0,10.0,14.0,10.0,9.0,7.0,13.0,14.0,7.0,7.0,5.0,10.0
WIN_Tim_20,10.0,59.0,10.0,25.0,68.5,41.0,19.0,14.0,8.5,354.0,29.0,85.0,19.5,340.5,48.0,69.0,36.0,49.0,30.5,61.0,31.5,78.0,361.0,74.0,4.0,64.0,23.0,52.0,82.0,9.5,28.5,24.0,78.0,22.5,46.0,69.0,55.0,51.0,32.0,56.0,40.0,42.0,357.5,15.0,55.0,43.0,32.0,48.0,14.0,29.0,333.0,3.0,29.0,52.5,76.5,356.5,44.0,28.0,73.5,344.0
WIN_Dur_20,8.0,4.0,9.0,5.0,2.0,5.0,6.0,8.0,4.0,9.0,3.0,6.0,3.0,2.5,3.0,8.0,5.0,5.0,12.0,4.0,3.5,1.5,5.0,4.5,4.0,4.0,14.0,7.0,4.0,6.0,4.5,2.0,10.0,8.0,5.0,4.0,1.0,6.0,2.5,4.0,3.0,5.0,3.0,15.0,2.5,2.0,9.0,10.5,4.0,5.0,6.0,3.0,3.5,6.0,3.5,5.0,3.0,2.0,5.5,3.0
WIN_Fre_20,6.0,10.0,7.0,8.0,12.0,11.0,7.0,10.0,12.0,7.0,9.0,10.0,10.0,8.0,9.0,11.0,10.0,10.0,6.0,13.0,12.0,4.0,13.0,6.0,16.0,9.0,7.0,12.0,14.0,6.0,12.0,11.0,4.0,6.0,11.0,9.0,8.0,15.0,10.0,12.0,13.0,8.0,14.0,7.0,12.0,3.0,11.0,8.0,9.0,9.0,9.0,15.0,12.0,8.0,18.0,12.0,11.0,8.0,6.0,11.0
WIN_Tim_50,64.5,322.0,317.0,355.0,9.0,353.5,77.5,338.0,26.0,86.0,330.5,313.5,8.0,313.0,344.0,326.0,54.5,58.5,294.0,331.0,353.5,99.0,92.5,360.0,39.5,360.0,299.0,321.0,303.0,34.0,328.0,311.0,79.0,313.0,56.5,360.5,352.0,314.5,57.5,54.5,335.0,53.0,304.0,310.0,330.0,54.5,320.0,329.5,330.0,341.0,47.5,312.0,314.5,316.0,331.0,311.0,352.0,322.0,11.0,6.5
WIN_Dur_50,10.0,13.0,1.0,3.0,7.5,33.5,2.0,42.5,5.0,11.0,4.5,103.5,2.0,2.0,7.0,6.0,8.5,4.0,211.0,1.0,49.5,3.0,109.5,3.5,112.0,12.0,6.0,4.0,237.0,2.5,5.0,3.0,2.5,15.0,7.0,3.0,6.0,116.0,9.5,2.5,1.0,4.0,3.0,8.0,3.0,3.5,2.0,87.0,1.0,15.0,6.0,2.0,13.0,2.0,3.0,9.0,5.0,2.0,2.0,5.5
WIN_Fre_50,4.0,3.0,7.0,7.0,4.0,4.0,4.0,4.0,6.0,5.0,6.0,2.0,7.0,3.0,7.0,5.0,4.0,6.0,1.0,6.0,4.0,11.0,2.0,6.0,2.0,7.0,4.0,7.0,1.0,10.0,7.0,5.0,10.0,5.0,8.0,8.0,11.0,2.0,8.0,6.0,3.0,6.0,5.0,3.0,7.0,14.0,3.0,2.0,6.0,7.0,4.0,3.0,4.0,9.0,5.0,3.0,8.0,5.0,9.0,6.0
