Year,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
Avg,2.145753424657534,0.9123287671232877,0.16256830601092895,0.0684931506849315,1.1879452054794521,0.3421917808219178,0.14453551912568308,0.04849315068493151,0.4547945205479452,0.2161643835616438,0.39234972677595636,2.765808219178082,1.0956986301369862,0.4873424657534247,0.28959016393442627,1.3762465753424657,0.46405479452054793,0.20660273972602738,0.051256830601092894,0.041342465753424665,6.424958904109588,2.562794520547945,1.5248907103825138,0.5118082191780822,0.37238356164383557,8.806739726027397,2.705464480874317,0.7546575342465754,0.3322191780821918
Std,3.5448847645579566,0.6974209250565251,0.24133726821251197,0.08387321209129611,2.0759199702842492,0.3337222476290457,0.11117935883646697,0.1237725624416044,0.459910978846044,0.20268492410018243,0.3337916762827723,4.694590850211694,1.0021882179733999,0.9123864871288319,0.8364373423412029,4.576842231922893,0.3764411537053832,0.2167050100075144,0.03856801025580037,0.03846514849463837,28.071748676657716,1.716083107472012,1.3391228937882442,0.4231448036593997,0.30866138871012905,12.003300644277598,1.694538052239319,0.5345839047430799,0.32478149647743015
CV,1.6520466535542062,0.7644403532901851,1.4845284061475528,1.2245488965329232,1.7474879823656617,0.9752491624067388,0.7692182482825503,2.5523720503494687,1.0112500438482293,0.9376425512872827,0.8507503726984306,1.6973667290665546,0.91465681384315,1.8721670103554284,2.888348592290596,3.3255975447451998,0.8111997939689743,1.048897078010115,0.7524462555236106,0.9304028628590458,4.369171709207699,0.6696140067854914,0.8781763077645937,0.8267643773656704,0.8288802742730806,1.3629675700308368,0.6263390498077063,0.7083794707976916,0.9776121244784924
SP_Tim,117.0,6.0,33.0,27.0,112.0,41.0,92.0,229.0,363.0,118.0,68.0,103.0,63.0,333.0,158.0,140.0,92.0,315.0,55.0,182.0,69.0,132.0,70.0,66.0,158.0,75.0,4.0,208.0,46.0
SP_Mag,16.0,3.9,1.6,0.3,5.7,1.3,0.4,2.0,3.5,0.6,1.3,17.0,7.5,17.0,16.0,14.0,1.7,2.3,0.28,0.2,133.0,7.2,5.3,2.8,1.2,52.0,6.5,4.2,2.2
SP_Dur,84.0,232.0,220.0,263.0,83.0,213.0,210.0,nan,248.0,159.0,153.0,97.0,190.0,268.0,37.0,81.0,162.0,256.0,265.0,nan,107.0,107.0,180.0,153.0,100.0,180.0,259.0,47.0,194.0
SP_ROC,0.06250000000000006,0.09090909090909098,0.225,0.5,0.08333333333333323,0.14285714285714282,0.33333333333333326,nan,0.14285714285714282,0.25000000000000006,0.11111111111111108,0.041666666666666706,0.06904761904761902,0.043167701863353995,0.14039408866995076,0.043055555555555534,0.07549857549857555,0.11324786324786322,0.1180555555555555,nan,0.02941176470588238,0.051724137931034454,0.05882352941176463,0.08333333333333323,0.06666666666666654,0.03571428571428559,0.06202046035805621,0.20000000000000004,0.07692307692307698
SU_Tim,201.0,238.0,253.0,290.0,195.0,254.0,302.0,nan,246.0,277.0,221.0,200.0,253.0,236.0,195.0,221.0,254.0,206.0,320.0,nan,176.0,239.0,250.0,219.0,258.0,255.0,263.0,255.0,240.0
SU_Mag_10,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.03,0.67,0.03,0.08,0.03,nan,nan,nan,nan,nan,0.95,0.61,nan,nan,0.21000000000000002,3.2,nan,nan,nan
SU_Mag_50,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,0.03,0.82,0.055,0.15,0.08,nan,nan,nan,nan,nan,1.4,0.72,nan,nan,0.54,3.8,nan,nan,nan
SU_Dur_Fl,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,201.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,129.0,139.0,nan,nan,nan,20.0,nan,nan,nan
SU_Dur_Wet,nan,nan,nan,132.0,nan,nan,nan,nan,nan,nan,204.0,178.0,70.0,101.0,283.0,nan,nan,nan,nan,nan,206.0,161.0,nan,nan,165.0,76.0,nan,nan,nan
SU_No_Flow,nan,nan,nan,120.0,nan,nan,nan,nan,nan,nan,18.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan
FA_Tim,35.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,57.0,nan,nan,nan,nan,nan,nan,nan,nan,41.0,304.0,12.0,nan,nan,nan,274.0,nan,nan
FA_Mag,2.864411321282718,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,44.57946466828224,nan,nan,nan,nan,nan,nan,nan,nan,59.92657039111229,1.957365967783338,1.9459743259455127,nan,nan,nan,6.88003501171765,nan,nan
FA_Tim_Wet,95.0,nan,nan,nan,41.0,nan,nan,nan,nan,nan,nan,60.0,11.0,322.0,336.0,113.0,nan,nan,nan,nan,52.0,16.0,34.0,nan,nan,57.0,330.0,nan,nan
FA_Dur,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,10.0,5.0,2.0,nan,nan,nan,1.0,nan,nan
Tim_2,103.0,nan,nan,nan,42.0,nan,nan,nan,nan,nan,nan,89.0,nan,333.0,158.0,135.0,nan,nan,nan,nan,44.0,nan,nan,nan,nan,144.5,359.0,nan,nan
Dur_2,22.0,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,5.0,nan,1.0,1.0,2.0,nan,nan,nan,nan,3.0,nan,nan,nan,nan,53.0,1.0,nan,nan
Fre_2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
Tim_5,97.0,nan,nan,nan,97.0,nan,nan,nan,nan,nan,nan,70.0,50.5,333.0,158.0,130.0,nan,nan,nan,nan,50.0,92.0,58.0,nan,nan,228.0,341.5,nan,nan
Dur_5,50.0,nan,nan,nan,5.0,nan,nan,nan,nan,nan,nan,3.0,2.0,1.0,1.0,5.0,nan,nan,nan,nan,52.0,4.0,1.5,nan,nan,16.0,1.5,nan,nan
Fre_5,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,3.0,8.0,0.0,0.0
Tim_10,93.0,26.5,nan,nan,68.0,nan,nan,nan,363.0,nan,nan,56.0,50.0,333.0,158.0,108.0,nan,nan,nan,nan,59.0,15.0,46.0,66.0,nan,59.0,94.0,208.0,nan
Dur_10,1.0,1.0,nan,nan,2.5,nan,nan,nan,1.0,nan,nan,19.0,9.0,1.0,1.0,4.0,nan,nan,nan,nan,6.0,3.0,36.5,1.0,nan,215.0,2.0,1.0,nan
Fre_10,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,1.0,0.0,1.0,7.0,1.0,0.0
Tim_20,56.0,54.0,36.5,nan,72.5,111.0,nan,229.0,363.0,nan,68.0,56.0,322.0,333.0,158.0,104.0,61.0,338.0,nan,nan,149.5,76.5,28.0,61.0,151.0,43.5,221.0,364.5,56.5
Dur_20,1.0,12.0,2.5,nan,5.0,2.0,nan,1.0,3.0,nan,2.0,8.0,2.0,2.0,1.0,8.0,2.0,1.0,nan,nan,100.0,8.0,18.0,4.0,11.0,6.5,3.0,2.0,1.5
Fre_20,5.0,4.0,2.0,0.0,6.0,3.0,0.0,1.0,3.0,0.0,3.0,3.0,3.0,1.0,1.0,3.0,7.0,3.0,0.0,0.0,2.0,4.0,3.0,7.0,1.0,4.0,9.0,10.0,4.0
Tim_50,50.0,274.0,32.0,27.0,117.0,350.0,92.0,165.5,326.0,91.0,323.0,46.5,57.0,324.0,83.0,32.0,322.0,57.0,nan,nan,39.0,274.0,274.0,301.0,43.5,307.5,274.0,186.0,363.5
Dur_50,5.0,260.0,121.0,1.0,71.0,182.0,54.0,1.5,31.0,115.0,203.0,2.5,150.5,224.0,9.0,1.5,205.0,3.0,nan,nan,235.0,365.0,306.0,110.5,4.5,165.0,365.0,2.0,2.0
Fre_50,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,2.0,1.0,5.0,4.0,1.0,11.0,0.0,0.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,7.0,8.0
