Year,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Avg,98.9704109589041,17.147945205479456,17.322404371584703,5.7556164383561645,26.052054794520547,57.523835616438355,14.395628415300546,86.43972602739726,18.329315068493152,83.09260273972602,21.438196721311474,92.32284931506848,59.82109589041096,37.98054794520548,19.59398907103825,63.550410958904116,72.28712328767124,57.05671232876713,5.761202185792349,2.0523287671232873,68.12356164383561,38.316986301369866,70.6181693989071
Std,246.25652067265898,54.57279745262485,60.10870335779677,7.6828043157593395,82.21830264787985,169.56296638372925,21.408613314706916,229.61216290377476,30.185488499761355,151.79205648199763,38.22240189449443,196.96344832617785,135.8999642924509,67.43206610675504,42.03861049811117,133.80082163310553,116.6367468292159,136.13520752882866,5.515876011318208,2.6525617086016258,136.78498493030287,80.98829160237327,200.72863523271064
CV,2.488183268986456,3.1824686164256377,3.4699977017276993,1.3348360506722006,3.1559239106610733,2.947699237483982,1.4871607335983015,2.656326823976729,1.646842142598561,1.8267818250616292,1.7829112397545062,2.1334203806254326,2.2717732309921628,1.775436894803078,2.1454850436886366,2.10542810997131,1.6135203826697113,2.385963052767612,0.9574175377703046,1.2924643220392384,2.007895383471635,2.1136393912972706,2.84245027789997
SP_Tim,97.0,53.0,44.0,89.0,69.0,109.0,131.0,11.0,42.0,112.0,81.0,31.0,64.0,90.0,45.0,48.0,95.0,88.0,65.0,138.0,119.0,91.0,57.0
SP_Mag,2710.0,485.0,530.0,46.0,613.0,388.0,38.0,2150.0,136.0,513.0,203.0,1060.0,809.0,293.0,66.0,680.0,700.0,1680.0,35.0,10.0,641.0,377.0,852.0
SP_Dur,46.0,53.0,132.0,96.0,66.0,93.0,72.0,143.0,138.0,85.0,100.0,125.0,80.0,111.0,142.0,99.0,78.0,91.0,114.0,46.0,52.0,77.0,65.0
SP_ROC,0.05839727195225916,0.058823529411764705,0.08571428571428572,0.08888888888888896,0.06066176470588235,0.07017543859649122,0.0805405405405406,0.057259953161592506,0.058823529411764705,0.0603030303030303,0.08163265306122455,0.06060606060606061,0.05,0.06451612903225806,0.07692307692307693,0.06060606060606061,0.05555555555555555,0.05405405405405406,0.0683810637054354,0.14035087719298242,0.0732142857142857,0.06350806451612903,0.06470588235294118
SU_BFL_Tim,143.0,106.0,176.0,185.0,135.0,202.0,203.0,154.0,180.0,197.0,181.0,156.0,144.0,201.0,187.0,147.0,173.0,179.0,179.0,184.0,171.0,168.0,122.0
SU_BFL_Mag_10,2.0,0.0,0.0,0.0,0.0,0.9000000000000001,0.0,1.6,0.0,1.6,0.0,0.67,0.2,0.0,0.0,0.0,1.1,0.9200000000000002,0.0,0.0,0.3,0.0,0.49000000000000005
SU_BFL_Mag_50,6.2,1.5,0.0,0.0,5.3,3.5,0.0,3.3499999999999996,0.5,3.8,0.23,5.15,1.4,0.9,0.6499999999999999,1.75,7.9,2.9,0.0,0.0,2.0,2.0,4.9
SU_BFL_Dur_Fl,233.0,nan,143.0,nan,153.0,109.0,nan,170.0,158.0,143.0,nan,201.0,nan,nan,nan,171.0,226.0,106.0,140.0,nan,206.0,192.0,238.0
SU_BFL_Dur_Wet,239.0,288.0,213.0,219.0,313.0,175.0,150.0,176.0,253.0,183.0,197.0,212.0,186.0,147.0,182.0,182.0,227.0,123.0,155.0,184.0,209.0,203.0,249.0
SU_BFL_No_Flow,0.0,66.0,118.0,151.0,87.0,0.0,88.0,0.0,71.0,0.0,70.0,0.0,0.0,40.0,82.0,29.0,0.0,0.0,140.0,156.0,0.0,25.0,19.0
FAFL_Tim,26.0,10.0,nan,319.0,nan,287.0,310.0,nan,322.0,337.0,339.0,nan,355.0,nan,nan,nan,316.0,33.0,284.0,319.0,nan,11.0,359.0
FAFL_Mag,303.96814063579325,203.9531028947565,nan,12.888282256933014,nan,626.928320560965,37.948778383717176,nan,65.98910941423519,127.99509306749607,65.98518321778225,nan,197.01303263185744,nan,nan,nan,166.9290626877065,240.9646595954211,16.016260332036726,3.9810606280016536,nan,570.9240031067462,174.9911698043917
FAFL_Tim_Wet,39.0,16.0,28.0,24.0,37.0,82.0,11.0,353.0,328.0,67.0,14.0,13.0,1.0,329.0,347.0,4.0,327.0,34.0,301.0,334.0,1.0,14.0,5.0
FAFL_Dur,4.0,2.0,nan,4.0,nan,2.0,4.0,nan,2.0,6.0,2.0,nan,3.0,nan,nan,nan,3.0,3.0,2.0,14.0,nan,6.0,2.0
Wet_BFL_Mag,65.0,13.0,18.0,3.7,39.0,4.3,8.6,171.4,9.4,8.9,10.0,79.0,24.6,27.0,13.0,13.599999999999998,38.0,49.800000000000004,6.15,1.3,38.800000000000004,15.9,27.8
WIN_Tim_2,68.0,48.0,39.0,nan,46.0,87.0,nan,56.0,nan,75.0,nan,44.0,24.0,338.0,359.0,39.0,17.0,75.5,nan,nan,38.5,55.0,30.0
WIN_Dur_2,2.0,1.0,2.0,nan,1.0,1.0,nan,3.5,nan,2.0,nan,2.0,2.0,1.0,1.0,2.0,1.0,1.5,nan,nan,1.5,1.0,7.0
WIN_Fre_2,6.0,2.0,1.0,0.0,3.0,5.0,0.0,4.0,0.0,7.0,0.0,7.0,5.0,3.0,1.0,5.0,5.0,4.0,0.0,0.0,6.0,4.0,2.0
WIN_Tim_5,43.0,47.0,56.0,nan,54.5,90.0,21.0,52.0,365.0,52.0,51.0,59.0,52.5,338.0,359.0,39.0,15.0,59.5,nan,nan,72.0,52.0,55.5
WIN_Dur_5,4.0,4.0,2.0,nan,2.5,3.0,1.0,11.0,1.0,5.0,2.0,3.5,2.0,2.0,1.0,3.0,4.0,2.5,nan,nan,3.5,2.0,6.5
WIN_Fre_5,5.0,1.0,2.0,0.0,4.0,7.0,1.0,4.0,3.0,8.0,1.0,6.0,6.0,3.0,3.0,7.0,7.0,6.0,0.0,0.0,8.0,7.0,4.0
WIN_Tim_10,44.5,42.0,56.0,nan,61.0,44.0,21.0,69.0,21.0,21.0,61.0,14.0,27.0,362.0,36.0,36.0,4.0,53.0,nan,nan,38.0,59.5,10.0
WIN_Dur_10,4.5,1.0,2.5,nan,5.0,3.0,2.0,9.5,1.5,15.0,1.5,3.0,6.5,4.0,3.0,9.0,2.5,4.0,nan,nan,8.0,5.0,1.0
WIN_Fre_10,6.0,3.0,2.0,0.0,3.0,7.0,1.0,4.0,4.0,5.0,6.0,3.0,6.0,9.0,3.0,7.0,10.0,6.0,0.0,0.0,7.0,6.0,5.0
WIN_Tim_20,76.5,42.0,77.5,28.5,50.5,33.5,27.5,30.5,5.0,22.5,49.0,360.0,46.5,28.0,69.5,363.5,351.0,36.0,nan,nan,17.5,112.0,61.0
WIN_Dur_20,1.5,4.0,2.0,1.0,26.0,12.5,1.5,4.0,6.0,15.5,3.5,5.0,6.0,16.5,9.0,56.0,4.0,16.0,nan,nan,12.5,2.0,3.0
WIN_Fre_20,4.0,3.0,8.0,2.0,2.0,4.0,4.0,6.0,7.0,4.0,8.0,3.0,4.0,6.0,4.0,2.0,9.0,4.0,0.0,0.0,6.0,6.0,6.0
WIN_Tim_50,349.0,361.0,80.0,66.0,20.0,337.0,6.0,95.5,355.0,359.0,323.0,324.0,60.5,329.0,324.5,316.0,76.0,325.0,360.5,92.5,352.5,354.0,338.5
WIN_Dur_50,4.0,3.0,5.0,3.0,4.0,10.0,2.5,6.5,36.0,23.0,3.0,1.0,6.5,4.0,93.5,5.0,9.5,3.0,4.0,3.0,100.0,5.0,3.0
WIN_Fre_50,3.0,5.0,4.0,11.0,3.0,5.0,8.0,4.0,3.0,4.0,3.0,7.0,4.0,3.0,2.0,5.0,4.0,7.0,12.0,4.0,2.0,4.0,4.0
