Year,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984
Avg,2.8498630136986303,0.49453551912568305,0.7991780821917807,3.546301369863014,3.0868493150684935,0.17677595628415302,nan,1.937087912087912,10.807945205479454,6.7046448087431685,20.645479452054797,14.687397260273972,2.8586301369863016,0.0,27.209315068493154,3.8263013698630135,2.9887671232876714,0.0,0.0,19.609041095890408,3.17531506849315,19.50650273224044,4.124630136986301,10.27723287671233,55.15128767123287,19.732267759562845,0.38293150684931504
Std,28.590678263078658,3.696516256494856,4.925769463129915,27.910212571246923,17.870357860803583,0.7815715491344573,nan,12.66884095251746,50.15889128788509,57.33976490733056,64.42390828734858,66.5133058483006,17.50708547871666,0.0,99.11065779507248,12.618684505482424,19.491715412269176,0.0,0.0,97.19502439720695,24.843796794115573,95.14428455455186,31.317236117095106,45.427790387232314,217.95768411281438,137.53757606994557,1.3361340299511946
CV,10.032299140572688,7.474723479984074,6.163544237375452,7.870231449710388,5.789190218508305,4.421254821997084,nan,6.540147648158213,4.640927607817195,8.552244979861849,3.120484968002844,4.528597182307023,6.124291929970846,nan,3.642526742976967,3.297880455750455,6.521657462167246,nan,nan,4.956643413714745,7.824041475640157,4.87756754045393,7.592738033955532,4.420235576267742,3.951996287232691,6.970185978917237,3.4892245899133294
SP_Tim,52.0,44.0,38.0,53.0,47.0,21.0,nan,39.0,34.0,37.0,73.0,27.0,20.0,nan,49.0,20.0,84.0,nan,nan,42.0,90.0,56.0,85.0,105.0,65.0,362.0,91.0
SP_Mag,278.0,33.0,72.0,111.0,152.0,12.0,nan,132.0,592.0,97.0,368.0,433.0,212.0,nan,305.0,159.0,333.0,nan,nan,620.0,380.0,592.0,310.0,180.0,1980.0,2230.0,11.0
SP_Dur,28.0,28.0,111.0,39.0,93.0,46.0,nan,43.0,107.0,50.0,37.0,67.0,29.0,nan,68.0,115.0,27.0,nan,nan,69.0,21.0,37.0,34.0,32.0,40.0,116.0,51.0
SP_ROC,0.09999999999999998,0.19999999999999996,0.19999999999999996,0.17073170731707313,0.18750000000000003,0.5,nan,0.10912698412698407,0.13955996548748917,0.17786561264822126,0.07523584905660372,0.10526315789473684,0.09999999999999998,nan,0.10526315789473684,0.17424242424242425,0.09545454545454546,nan,nan,0.09875541125541126,0.36754385964912284,0.10413322632423758,0.07999999999999996,0.08333333333333323,0.11695906432748537,0.08695652173913043,0.13636363636363635
SU_BFL_Tim,80.0,72.0,149.0,92.0,140.0,67.0,nan,82.0,141.0,87.0,110.0,94.0,49.0,nan,117.0,135.0,111.0,nan,nan,111.0,111.0,93.0,119.0,137.0,105.0,113.0,142.0
SU_BFL_Mag_10,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SU_BFL_Mag_50,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.02,0.19,0.0,0.0
