Year,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
Avg,12.937150684931508,7.149534246575342,3.998602739726028,1.2580874316939892,12.938986301369862,10.394164383561643,5.606383561643836,0.8839344262295081,0.4251780821917809,10.94882191780822,3.466986301369863,10.079672131147541,1.7821643835616439,14.72964383561644,23.27709589041096,7.346830601092896,2.226356164383562,11.56813698630137,1.1491232876712327,0.8648087431693988,1.021123287671233,2.342767123287671,1.4396712328767123,2.523469945355192,1.2579347826086957
Std,30.736814865008167,16.098587415340987,6.42624835426374,1.570185208178995,27.990392232488983,19.704999773726644,11.004909293820157,0.48112724657212014,0.29370059036352597,25.51752226309872,6.1544487272865185,26.9874115543926,3.790897096321114,40.97228268100674,48.94847965013109,17.750496962449446,2.913104380797383,41.12332297394741,2.28467084614198,1.097463962603408,1.5981693632300906,1.6274668990219963,3.322548106395066,7.932942709737792,2.0407178713700973
CV,2.3758566019338976,2.251697363790135,1.6071234810147825,1.2480732011325895,2.163260056123996,1.8957752683698244,1.9629247932857148,0.5443019666338896,0.6907707679791673,2.330618075136884,1.7751580745660271,2.677409662066078,2.127130993800376,2.7816207328744307,2.102860248571451,2.416075438000289,1.3084628719340463,3.554878631074682,1.9881860115914998,1.269025054697483,1.5651091131952,0.6946771972530186,2.307851980730378,3.1436644309315076,1.6222763688416912
SP_Tim,64.0,25.0,359.0,45.0,63.0,96.0,85.0,60.0,76.0,21.0,94.0,56.0,86.0,105.0,66.0,363.0,91.0,53.0,77.0,21.0,89.0,312.0,87.0,55.0,nan
SP_Mag,141.0,122.0,50.0,2.5,158.0,110.0,69.0,4.4,3.6,128.0,17.0,173.0,16.0,268.0,294.0,209.0,17.0,325.0,6.3,16.0,10.0,5.9,29.0,33.0,nan
SP_Dur,79.0,109.0,187.0,166.0,72.0,72.0,76.0,174.0,163.0,123.0,73.0,35.0,71.0,33.0,102.0,176.0,118.0,69.0,124.0,194.0,104.0,270.0,60.0,69.0,nan
SP_ROC,0.07142857142857142,0.08333333333333333,0.06107226107226106,0.09090909090909098,0.07019704433497537,0.03333333333333336,0.07692307692307693,0.07692307692307698,0.0869565217391305,0.07947368421052631,0.0571428571428572,0.07216494845360819,0.07692307692307698,0.07407407407407407,0.07142857142857142,0.05,0.0555555555555556,0.08012820512820512,0.07142857142857148,0.07417582417582423,0.06458333333333338,0.05882352941176463,0.07407407407407414,0.06957047791893525,nan
SU_BFL_Tim,143.0,134.0,181.0,211.0,135.0,168.0,161.0,234.0,239.0,144.0,167.0,91.0,157.0,138.0,168.0,174.0,209.0,122.0,201.0,215.0,193.0,217.0,147.0,124.0,nan
SU_BFL_Mag_10,0.69,0.703,0.48,0.26,0.7160000000000001,0.85,nan,nan,0.14,0.616,0.49,0.52,0.35,1.0,1.3,0.612,0.42600000000000005,0.72,0.26,0.188,0.35,0.68,0.29000000000000004,nan,nan
SU_BFL_Mag_50,1.0,1.1,0.62,0.8500000000000001,1.3,1.4,nan,nan,0.29,0.95,0.97,1.5,0.59,1.9,2.0,0.91,0.73,1.05,0.34,0.33,0.52,0.76,0.605,nan,nan
SU_BFL_Dur_Fl,218.0,nan,135.0,109.0,183.0,230.0,nan,nan,133.0,230.0,192.0,302.0,nan,219.0,147.0,nan,nan,nan,nan,144.0,nan,nan,nan,nan,nan
SU_BFL_Dur_Wet,231.0,194.0,147.0,166.0,195.0,230.0,nan,nan,133.0,237.0,206.0,302.0,207.0,249.0,157.0,143.0,197.0,276.0,138.0,209.0,103.0,209.0,256.0,nan,nan
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FAFL_Tim,14.0,359.0,nan,315.0,320.0,316.0,32.0,nan,nan,5.0,8.0,358.0,28.0,nan,356.0,314.0,nan,nan,nan,nan,359.0,nan,nan,nan,nan
FAFL_Mag,57.93743374744146,20.97048785756244,nan,4.207438102014691,60.98495820273481,30.961792490911225,45.939961631840404,nan,nan,43.97898725468563,9.937776836312912,56.9845935716162,22.93660952761721,nan,168.99514119900394,28.956352918045148,nan,nan,nan,nan,3.7535068876731983,nan,nan,nan,nan
FAFL_Tim_Wet,15.0,7.0,327.0,327.0,12.0,328.0,32.0,nan,nan,5.0,15.0,7.0,28.0,362.0,21.0,324.0,317.0,39.0,32.0,338.0,59.0,294.0,60.0,37.0,nan
FAFL_Dur,3.0,2.0,nan,8.0,3.0,3.0,5.0,nan,nan,4.0,6.0,2.0,6.0,nan,3.0,3.0,nan,nan,nan,nan,10.0,nan,nan,nan,nan
Wet_BFL_Mag,22.200000000000003,3.4,2.5500000000000003,0.72,1.8000000000000003,3.8,3.5,nan,nan,7.75,1.45,4.0,1.6999999999999997,12.0,5.04,3.18,1.58,3.29,0.9460000000000001,1.17,0.73,5.7,2.1,0.994,nan
WIN_Tim_2,38.0,16.0,333.0,nan,19.0,87.0,73.0,nan,nan,50.5,nan,12.0,81.0,73.0,43.0,348.0,nan,70.5,nan,nan,nan,nan,nan,44.0,nan
WIN_Dur_2,4.0,2.0,1.0,nan,2.0,2.0,2.0,nan,nan,3.0,nan,3.0,1.0,4.0,4.0,2.5,nan,3.5,nan,nan,nan,nan,nan,1.0,nan
WIN_Fre_2,7.0,3.0,1.0,0.0,5.0,5.0,2.0,0.0,0.0,4.0,0.0,3.0,1.0,4.0,9.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,nan
WIN_Tim_5,20.0,38.5,338.0,nan,43.5,6.0,44.0,nan,nan,37.0,65.0,38.0,81.0,25.0,54.0,328.0,40.0,55.0,44.0,nan,nan,nan,73.0,45.0,nan
WIN_Dur_5,15.0,1.5,1.0,nan,3.5,3.5,2.0,nan,nan,5.5,2.5,5.5,1.0,2.5,5.5,2.0,1.0,14.0,1.0,nan,nan,nan,1.0,2.0,nan
WIN_Fre_5,3.0,4.0,5.0,0.0,8.0,8.0,5.0,0.0,0.0,6.0,4.0,4.0,1.0,8.0,4.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,nan
WIN_Tim_10,93.0,14.0,365.0,360.0,350.0,14.0,66.0,nan,nan,22.5,52.0,46.0,54.0,363.0,18.0,337.0,40.0,49.0,44.0,17.0,71.0,47.0,72.5,54.0,nan
WIN_Dur_10,1.0,3.0,3.0,1.0,5.0,9.5,6.0,nan,nan,2.5,3.5,2.5,3.0,2.0,4.0,2.0,2.0,10.0,1.0,1.0,1.0,1.0,3.0,6.0,nan
WIN_Fre_10,5.0,7.0,8.0,2.0,4.0,6.0,5.0,0.0,0.0,8.0,6.0,6.0,2.0,7.0,7.0,9.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,nan
WIN_Tim_20,7.5,364.5,87.5,13.5,315.0,334.0,8.0,nan,nan,359.5,64.5,64.0,73.0,326.0,356.5,328.0,26.5,17.0,64.0,361.0,77.0,12.0,75.5,65.0,nan
WIN_Dur_20,1.5,3.0,6.5,1.5,2.0,3.0,2.0,nan,nan,1.5,2.0,6.5,5.0,8.0,15.5,4.0,2.5,1.5,3.0,1.5,4.0,3.0,2.5,5.0,nan
WIN_Fre_20,4.0,4.0,6.0,4.0,7.0,7.0,7.0,0.0,0.0,4.0,8.0,4.0,3.0,3.0,4.0,7.0,8.0,6.0,3.0,2.0,2.0,5.0,4.0,5.0,nan
WIN_Tim_50,361.5,346.0,318.5,355.0,207.5,96.0,341.5,346.0,39.0,351.0,102.5,90.5,24.0,109.0,312.0,303.0,308.0,113.0,28.0,25.0,6.0,52.5,45.5,41.0,nan
WIN_Dur_50,3.5,3.0,112.0,5.0,2.5,3.5,4.5,2.0,2.0,2.0,3.0,1.0,2.0,3.5,3.0,19.0,2.0,5.0,2.0,5.5,2.0,129.0,1.0,4.0,nan
WIN_Fre_50,6.0,5.0,2.0,9.0,8.0,4.0,6.0,9.0,2.0,5.0,6.0,8.0,7.0,4.0,4.0,3.0,3.0,6.0,11.0,6.0,9.0,2.0,4.0,7.0,nan
