Year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
Avg,0.4334972677595628,0.47912328767123297,8.142328767123287,2.719671232876712,6.6345081967213115,1.4425205479452057,15.289287671232877,14.813342465753424,4.1993715846994535,1.9171506849315068,11.597972602739727
Std,1.0853902165229252,1.3994086025371377,21.063410547485233,9.543131240034107,24.4443450086151,5.3961056178153965,64.77931327195232,29.271454415905666,12.171372503604006,7.307393560533532,44.944133245062524
CV,2.5037994406113113,2.920769327116052,2.586902488208789,3.508928257457035,3.684424569811396,3.740747835794689,4.236908524772935,1.9760195569350787,2.898379497530249,3.8115906162037545,3.875171530793719
SP_Tim,62.0,8.0,68.0,57.0,56.0,89.0,105.0,76.0,363.0,90.0,53.0
SP_Mag,10.0,11.0,177.0,131.0,98.0,29.0,150.0,243.0,134.0,39.0,373.0
SP_Dur,185.0,137.0,76.0,78.0,31.0,52.0,30.0,72.0,133.0,38.0,51.0
SP_ROC,0.14285714285714296,0.21739130434782614,0.13045019496632393,0.14814814814814828,0.09999999999999994,0.09090909090909098,0.10882352941176465,0.12220149253731341,0.09090909090909098,0.16666666666666663,0.09861111111111111
SU_BFL_Tim,247.0,145.0,144.0,135.0,87.0,141.0,135.0,148.0,131.0,128.0,104.0
SU_BFL_Mag_10,0.07,0.05,0.09,0.03,0.13,0.14,0.16,0.19,0.06,0.04,0.09
SU_BFL_Mag_50,0.15,0.11,0.17,0.18,0.38,0.21,0.77,0.56,0.29,0.23,0.46499999999999997
SU_BFL_Dur_Fl,28.0,182.0,nan,224.0,251.0,nan,188.0,167.0,187.0,210.0,233.0
SU_BFL_Dur_Wet,113.0,217.0,229.0,231.0,297.0,212.0,225.0,173.0,267.0,275.0,298.0
SU_BFL_No_Flow,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,282.0,275.0,325.0,nan,358.0,338.0,nan,322.0,314.0,318.0,336.0
FAFL_Mag,8.854970350401766,3.19909569087056,20.99074134896957,nan,58.9898944495544,18.856689673553095,nan,56.94020617444383,23.977054943975283,20.96624746760093,93.93736715149502
FAFL_Tim_Wet,52.0,360.0,360.0,7.0,365.0,19.0,351.0,359.0,320.0,33.0,36.0
FAFL_Dur,2.0,-1.0,6.0,nan,2.0,2.0,nan,4.0,4.0,4.0,2.0
Wet_BFL_Mag,0.18,0.24000000000000002,0.15,0.529,1.5,0.195,6.2,1.78,2.96,0.396,0.411
WIN_Tim_2,nan,nan,38.0,53.0,48.0,28.0,46.5,36.0,350.5,40.0,67.0
WIN_Dur_2,nan,nan,2.0,1.0,3.0,1.0,2.5,2.0,1.5,1.0,1.0
WIN_Fre_2,0.0,0.0,5.0,1.0,3.0,1.0,6.0,12.0,2.0,1.0,7.0
WIN_Tim_5,nan,nan,49.5,33.0,38.5,56.5,24.0,32.5,343.0,63.0,24.5
WIN_Dur_5,nan,nan,2.0,3.0,2.0,2.0,1.5,2.5,1.0,1.0,1.5
WIN_Fre_5,0.0,0.0,12.0,4.0,6.0,2.0,14.0,10.0,7.0,4.0,8.0
WIN_Tim_10,nan,2.0,37.0,49.0,9.0,73.0,26.0,18.0,343.0,40.0,16.5
WIN_Dur_10,nan,1.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,4.5
WIN_Fre_10,0.0,2.0,14.0,7.0,5.0,7.0,15.0,11.0,11.0,7.0,6.0
WIN_Tim_20,303.0,75.0,360.0,75.0,365.5,52.5,340.0,335.5,8.5,345.0,29.0
WIN_Dur_20,3.0,2.0,2.5,5.0,6.0,3.5,3.5,1.5,6.0,3.0,3.0
WIN_Fre_20,3.0,3.0,6.0,7.0,8.0,6.0,8.0,10.0,8.0,11.0,9.0
WIN_Tim_50,45.0,36.5,77.5,72.0,337.0,56.0,74.0,244.0,44.5,29.0,91.0
WIN_Dur_50,1.0,2.0,2.0,2.5,4.0,3.0,2.0,3.0,2.5,2.0,2.5
WIN_Fre_50,19.0,18.0,10.0,6.0,13.0,4.0,12.0,6.0,4.0,7.0,14.0
