Year,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
Avg,0.7167123287671233,1.3873972602739726,21.889890710382513,1.366849315068493,28.40794520547945,1.6745205479452057,1.8991803278688528,0.0,3.9265753424657537,16.497808219178083,1.326229508196721,14.526027397260277,1.708767123287671,18.423835616438357,1.3496994535519127,19.5913698630137,12.287150684931508,6.56641095890411,0.2257377049180328,19.246164383561645,9.877369863013698,5.356931506849316,0.0,0.0,17.558383561643836,5.438383561643835,22.49789617486339,1.9521369863013698,39.82246575342466,55.16076712328767
Std,1.9175527031349249,4.858880311685005,89.88154427705055,5.076874477150889,89.62330125951918,6.762165706642978,11.443091522417912,0.0,17.78554378487696,90.74271982189838,10.159402788469619,51.98408351613933,5.000392298365125,54.29785188692663,4.8183568801434715,54.66013924955744,52.455706947227945,16.10265944157631,1.2152615032844678,42.98352016252297,19.329108638362307,14.797919269070867,0.0,0.0,46.16080733803793,22.50084246497678,78.87820588827535,6.391045948043393,152.8189580900494,117.73794236708989
CV,2.6754844672945244,3.502155042979911,4.106075515234033,3.714289805893114,3.1548674362492166,4.038269769183061,6.025279092511804,nan,4.529530757382145,5.500289409135776,7.660365514173632,3.5786854929066108,2.92631583919075,2.947152428915523,3.5699480113615873,2.7900110932390505,4.269151432443782,2.4522771331789652,5.3835113798367855,2.233355140582487,1.9569084590768555,2.7623872454128646,nan,nan,2.6289895750355905,4.137413665279533,3.506025864605285,3.2738716559805745,3.83750617142303,2.134450779191276
SP_Tim,93.0,65.0,29.0,70.0,96.0,56.0,45.0,nan,54.0,37.0,27.0,11.0,41.0,116.0,81.0,64.0,25.0,355.0,45.0,63.0,96.0,102.0,nan,nan,68.0,58.0,56.0,90.0,105.0,87.0
SP_Mag,5.7,9.9,333.0,19.0,941.0,62.0,87.0,nan,99.0,232.0,30.0,255.0,16.0,175.0,10.0,260.0,814.0,104.0,4.9,189.0,142.0,67.0,nan,nan,175.0,112.0,478.0,26.0,292.0,466.0
SP_Dur,42.0,92.0,77.0,97.0,57.0,64.0,20.0,nan,54.0,120.0,36.0,129.0,73.0,39.0,50.0,69.0,95.0,152.0,35.0,66.0,61.0,54.0,nan,nan,77.0,89.0,60.0,40.0,40.0,82.0
SP_ROC,0.3038461538461539,0.1632653061224491,0.08198924731182795,0.2619047619047619,0.08658170914542729,0.10555555555555553,0.14285714285714285,nan,0.13118279569892471,0.125,0.133974358974359,0.1081081081081082,0.09966914805624486,0.07634032634032634,0.09687500000000003,0.0769230769230769,0.09090909090909091,0.11024305555555555,0.3290854572713643,0.0729166666666666,0.10638297872340426,0.0899898887765419,nan,nan,0.09090909090909098,0.09090909090909097,0.09307359307359307,0.15,0.075,0.07692307692307693
SU_BFL_Tim,135.0,157.0,106.0,167.0,153.0,120.0,65.0,nan,108.0,157.0,63.0,140.0,114.0,155.0,131.0,133.0,120.0,142.0,80.0,129.0,157.0,156.0,nan,nan,145.0,147.0,116.0,130.0,145.0,169.0
SU_BFL_Mag_10,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
SU_BFL_Mag_50,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.09,0.0,0.58,2.05
