Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963
Avg,91.57336956521739,162.3087431693989,93.83013698630137,63.17506849315069,49.38657534246575,148.7016393442623,73.20657534246575,124.65205479452055,45.94575342465754,57.91284153005464,38.12082191780822,74.32712328767123,103.31863013698631,70.41010928961748
Std,259.6391312487441,216.48401367057826,98.90501141773797,85.39200634885552,65.38446307464329,259.1013953212561,81.83724014513864,180.5189991970936,45.14464806696233,77.75724922971943,44.951556321920684,108.91953321779368,142.99574601695463,58.77835445508042
CV,2.835312629441165,1.333779126393934,1.0540857617225636,1.351672556684502,1.3239319110758736,1.7424246058337327,1.1178946667331178,1.4481831005085752,0.9825641044496338,1.3426598863978427,1.179186440912531,1.4654076251039352,1.3840267319394566,0.8347999321135515
SP_Tim,nan,145.0,175.0,143.0,163.0,149.0,157.0,143.0,137.0,158.0,158.0,129.0,155.0,167.0
SP_Mag,nan,727.0,399.0,264.0,236.0,640.0,321.0,805.0,183.0,226.0,174.0,389.0,383.0,122.0
SP_Dur,nan,95.0,63.0,71.0,59.0,87.0,70.0,93.0,80.0,60.0,53.0,94.0,49.0,26.0
SP_ROC,nan,0.05123677722102919,0.05718954248366013,0.06666666666666667,0.056179775280898875,0.05405405405405406,0.058823529411764705,0.05555555555555555,0.07142857142857142,0.06666666666666667,0.07894736842105263,0.08256880733944955,0.04800307219662058,0.29090909090909095
SU_BFL_Tim,nan,240.0,238.0,214.0,222.0,236.0,227.0,236.0,217.0,218.0,211.0,223.0,204.0,193.0
SU_BFL_Mag_10,nan,15.0,12.0,7.8,5.8,14.0,8.6,12.0,4.4,4.4,3.5999999999999996,6.4,25.800000000000004,7.8
SU_BFL_Mag_50,nan,20.0,21.0,15.0,17.0,23.0,25.0,14.0,8.5,9.0,12.0,29.0,48.0,43.0
SU_BFL_Dur_Fl,nan,136.0,nan,106.0,136.0,186.0,125.0,nan,188.0,180.0,197.0,65.0,71.0,82.0
SU_BFL_Dur_Wet,nan,205.0,192.0,242.0,229.0,187.0,248.0,139.0,189.0,192.0,247.0,173.0,250.0,261.0
SU_BFL_No_Flow,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,nan,335.0,11.0,nan,319.0,357.0,57.0,350.0,nan,39.0,33.0,41.0,287.0,274.0
FAFL_Mag,nan,125.84220392979778,458.9066876950037,nan,66.8532071503716,3489.606122776237,288.94293271821664,100.00044933879212,nan,599.6288800609949,35.00676150395653,259.8346635237726,785.9069325273148,206.99950191540103
FAFL_Tim_Wet,nan,99.0,80.0,63.0,90.0,85.0,58.0,108.0,9.0,40.0,45.0,91.0,30.0,88.0
FAFL_Dur,nan,2.0,2.0,nan,5.0,9.0,3.0,9.0,nan,3.0,4.0,2.0,6.0,7.0
Wet_BFL_Mag,nan,31.400000000000002,45.6,60.9,15.0,68.0,80.5,26.0,33.0,31.8,28.4,21.700000000000003,11.0,63.8
WIN_Tim_2,nan,132.0,118.0,68.0,nan,78.5,139.0,128.5,nan,39.0,nan,105.0,343.5,nan
WIN_Dur_2,nan,16.0,1.0,1.0,nan,2.0,2.0,12.5,nan,1.0,nan,1.0,2.5,nan
WIN_Fre_2,nan,3.0,1.0,1.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0
WIN_Tim_5,nan,107.0,141.5,92.5,nan,111.0,153.0,108.0,nan,68.5,nan,118.5,35.0,nan
WIN_Dur_5,nan,8.0,3.0,1.5,nan,6.0,2.0,2.0,nan,1.5,nan,4.5,4.0,nan
WIN_Fre_5,nan,3.0,4.0,2.0,0.0,7.0,3.0,3.0,0.0,2.0,0.0,4.0,5.0,0.0
WIN_Tim_10,nan,140.0,135.0,104.0,147.5,136.0,123.0,81.0,nan,119.5,nan,124.0,44.5,36.0
WIN_Dur_10,nan,47.5,5.0,6.0,6.0,6.0,2.0,37.0,nan,3.0,nan,5.5,2.5,1.5
WIN_Fre_10,nan,2.0,9.0,5.0,4.0,6.0,7.0,2.0,0.0,4.0,0.0,4.0,8.0,2.0
WIN_Tim_20,nan,150.0,98.5,81.0,112.5,102.0,95.0,79.5,110.0,115.5,122.5,91.0,46.0,103.0
WIN_Dur_20,nan,57.5,9.5,28.5,21.0,14.5,5.0,45.0,4.0,7.5,2.5,8.0,4.0,5.0
WIN_Fre_20,nan,2.0,4.0,2.0,2.0,4.0,7.0,2.0,6.0,6.0,6.0,5.0,11.0,9.0
WIN_Tim_50,nan,336.0,346.0,354.0,26.5,338.5,325.0,363.0,148.5,51.5,58.0,61.0,44.0,24.0
WIN_Dur_50,nan,8.5,1.0,2.0,3.5,117.5,4.5,10.0,15.5,68.5,3.0,6.5,37.0,30.0
WIN_Fre_50,nan,6.0,3.0,7.0,4.0,2.0,6.0,4.0,4.0,2.0,6.0,4.0,8.0,9.0
