Year,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Avg,706.8520547945205,312.1654794520548,1044.7806010928962,441.306301369863,1155.5871232876711,394.288493150685,417.30000000000007,511.31561643835613,377.0394520547945,652.8520547945205,300.44480874316935,1180.9454794520548,581.378904109589,729.637808219178,526.4683060109289,856.8561643835617,516.0991780821918,732.4997260273973,444.71338797814207,587.8375890410958,1113.1076712328768,722.9334246575343,280.57131147540986,3.8333333333333335,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,576.1323626373626,909.8458630136986,667.274699453552,563.7916164383562
Std,1756.4802738781825,583.3127585270072,2901.041243724929,1132.3747541442747,1975.9427899553814,1190.2112853200515,1496.8066964931268,1096.0734285483913,906.9075358041358,1492.852505436799,970.5955100694831,5561.554777081636,2200.7929391985504,1693.0608762637337,1339.5346773347737,1839.0710041777086,1474.0056862678682,1805.6009460898256,969.9670190218638,1373.7073806364326,2558.9006995880304,1909.4591740603778,787.9786542710435,0.2624669291337271,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1202.804144849192,2068.5484965896158,1570.3656241396634,903.607158218941
CV,2.4849333915974614,1.8686011007716106,2.7766989937315882,2.5659609904260594,1.7099037797632948,3.018630535751367,3.5868840078915087,2.1436337817789557,2.4053385683160196,2.28666279668318,3.2305284758612083,4.709408583080511,3.785470927207404,2.3204127543718926,2.5443785732981357,2.1463007218962713,2.8560512181887727,2.4649851487074708,2.1811059555273347,2.3368825101458364,2.2988797631353983,2.641265583985027,2.8084790641188,0.06846963368705924,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.087721889711441,2.273515307019066,2.3534020178281527,1.6027325200883678
SP_Tim,47.0,120.0,58.0,76.0,96.0,53.0,43.0,82.0,69.0,108.0,29.0,363.0,9.0,86.0,55.0,47.0,27.0,89.0,67.0,21.0,93.0,88.0,64.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,123.0,61.0,143.0
SP_Mag,9950.0,1370.0,6140.0,5440.0,6440.0,6550.0,20700.0,2770.0,4690.0,6260.0,2850.0,17000.0,17900.0,1850.0,7230.0,9380.0,14000.0,13000.0,7080.0,14300.0,15300.0,14400.0,5820.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9610.0,7500.0,7330.0,4680.0
SP_Dur,88.0,54.0,42.0,100.0,40.0,76.0,131.0,94.0,47.0,51.0,116.0,135.0,118.0,82.0,63.0,102.0,71.0,52.0,71.0,111.0,44.0,68.0,77.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107.0,38.0,40.0,61.0
SP_ROC,0.11261261261261261,0.0670391061452514,0.0702354874041621,0.1083888699020278,0.07142857142857142,0.08085106382978724,0.10757946210268948,0.09703504043126684,0.07276119402985075,0.06818181818181818,0.05707539488682625,0.08669551636623934,0.08783783783783784,0.08571428571428572,0.099644128113879,0.0881542699724518,0.1343669250645995,0.0688836104513064,0.0967741935483871,0.11150763410717687,0.06547619047619048,0.07017543859649122,0.08205907567609695,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.12424669745148469,0.08009634888438134,0.09328846173805644,0.09085648148148148
SU_Tim,135.0,174.0,100.0,176.0,136.0,129.0,174.0,176.0,116.0,159.0,145.0,133.0,127.0,168.0,118.0,149.0,98.0,141.0,138.0,132.0,137.0,156.0,141.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,113.0,161.0,101.0,204.0
SU_Mag_10,3.5,1.8,2.4,2.7,3.1,0.3400000000000002,2.1400000000000006,2.5,2.3,3.2,0.7,3.0,2.6,3.0,2.8,2.2,0.6,3.2,2.4,0.86,2.8200000000000003,3.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1,1.5290000000000001,0.41,1.064
SU_Mag_50,7.2,5.2,30.0,30.5,14.0,5.0,6.4,7.3,67.0,25.5,5.3,7.15,11.0,7.949999999999999,12.0,9.850000000000001,10.0,12.0,19.0,10.0,16.0,41.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.3049999999999997,5.265000000000001,15.3,7.93
