Year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
Avg,3.4295890410958907,0.7575342465753425,0.00628415300546448,0.627945205479452,0.4693150684931507,5.080273972602741,0.063551912568306,22.435479452054793,0.5932602739726028,0.39421917808219176,0.011038251366120218,3.807808219178081,1.3103561643835617,0.0824109589041096,0.04945355191256831,0.0027397260273972603,17.209506849315066,2.5217260273972606,9.328169398907104,0.9233150684931508,2.218,13.548356164383561,1.7593169398907107,0.0018904109589041097,5.8939726027397255
Std,19.32052074217776,3.9156139079618706,0.08549991928043087,4.300689641703739,3.1745893181777087,25.207773207126515,0.07781480244753333,99.99076545089079,2.171541981195177,1.2647929089957375,0.20368869867650236,19.852841641021925,7.407988145663951,0.7165730437318935,0.7980763941520163,0.05227064117353125,66.07777659099055,9.226207165713603,42.73983744843732,4.89244418529341,14.32482166471986,39.65249427155042,7.850666591243798,0.013588433481775852,24.15685613785459
CV,5.633479845738043,5.168893585555453,13.605639328972913,6.848829490496793,6.764302983857932,4.961892477269685,1.2244289637058128,4.456814291157614,3.660352928494687,3.2083495154871375,18.45298606821779,5.213718889788829,5.653415725448151,8.695118383049904,16.137898356886073,19.078784028338905,3.8396089539091256,3.658687369474555,4.581803312174493,5.298780830337659,6.458440786618512,2.9267384020941534,4.462337861494976,7.188084378040849,4.098569465121985
SP_Tim,54.0,48.0,nan,12.0,4.0,115.0,68.0,61.0,68.0,365.0,nan,49.0,22.0,67.0,nan,nan,47.0,92.0,56.0,85.0,105.0,66.0,365.0,354.0,79.0
SP_Mag,101.0,30.0,nan,48.0,34.0,56.0,0.5,676.0,22.0,3.8,nan,71.0,20.0,13.0,nan,nan,398.0,73.0,279.0,79.0,200.0,117.0,29.0,0.16,178.0
SP_Dur,34.0,112.0,nan,121.0,77.0,60.0,185.0,59.0,28.0,169.0,nan,69.0,85.0,111.0,nan,nan,88.0,39.0,53.0,27.0,30.0,127.0,61.0,105.0,46.0
SP_ROC,0.26851851851851855,0.28571428571428564,nan,0.5525641025641026,0.2222222222222223,0.1333333333333333,0.25000000000000006,0.09808612440191387,0.09109730848861285,0.1052631578947368,nan,0.19047619047619047,0.14285714285714285,0.3823529411764707,nan,nan,0.1,0.06024096385542161,0.07549857549857547,0.13657407407407418,0.1333333333333333,0.06060606060606053,0.06666666666666672,0.7662337662337662,0.11764705882352938
SU_Tim,88.0,160.0,nan,133.0,81.0,175.0,253.0,120.0,96.0,169.0,nan,118.0,107.0,178.0,nan,nan,135.0,131.0,109.0,112.0,135.0,193.0,61.0,94.0,125.0
SU_Mag_10,0.0,nan,nan,0.0,0.0,nan,0.0,0.54,0.0,nan,nan,0.0,0.0,nan,nan,nan,0.41,0.07,0.27,0.0,0.0,0.288,nan,0.0,0.0
SU_Mag_50,0.0,nan,nan,0.0,0.0,nan,0.0,0.68,0.0,nan,nan,0.0,0.0,nan,nan,nan,0.59,0.16,0.48,0.0,0.0,1.0,nan,0.0,0.0
SU_Dur_Fl,310.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,300.0,nan,nan,nan,nan,249.0,321.0,332.0,222.0,nan,nan,nan,nan
SU_Dur_Wet,310.0,nan,nan,226.0,355.0,nan,131.0,301.0,251.0,nan,nan,250.0,310.0,nan,nan,nan,272.0,277.0,326.0,339.0,250.0,149.0,nan,312.0,280.0
SU_No_Flow,245.0,nan,nan,225.0,274.0,nan,131.0,0.0,175.0,nan,nan,234.0,295.0,nan,nan,nan,0.0,0.0,0.0,280.0,222.0,0.0,nan,311.0,257.0
