Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
WIN_Fre_2,0.0,5.0,4.0,2.0,1.0,2.0,1.0,7.0,2.0,1.0,0.0,6.0,3.0,0.0,2.0,4.0,2.0,0.0,7.0,1.0,0.0,1.0,7.0,1.0,7.0,1.0,0.0,9.0,5.0,3.0,3.0,1.0,11.0,1.0,0.0,5.0,1.0,0.0
WIN_Tim_5,nan,40.0,362.0,78.0,14.0,27.0,57.5,57.0,47.0,75.0,336.0,50.0,89.5,nan,52.5,326.0,94.0,73.0,47.0,61.0,353.5,361.0,47.0,41.5,33.0,39.0,nan,36.5,53.5,48.0,70.0,90.0,22.0,350.5,354.0,56.5,64.0,38.5
WIN_Dur_5,nan,7.0,1.0,2.0,1.5,3.5,1.0,4.0,1.0,1.5,1.0,1.5,2.0,nan,4.0,5.0,2.0,1.0,5.0,2.0,1.5,1.0,6.5,1.0,5.0,3.0,nan,12.5,1.5,2.5,1.5,1.0,25.0,2.5,1.0,4.5,2.0,1.0
WIN_Fre_5,0.0,6.0,7.0,3.0,2.0,4.0,2.0,6.0,3.0,2.0,3.0,6.0,6.0,0.0,2.0,5.0,7.0,1.0,7.0,2.0,2.0,1.0,6.0,6.0,5.0,1.0,0.0,4.0,8.0,4.0,6.0,3.0,5.0,2.0,1.0,4.0,1.0,2.0
WIN_Tim_10,60.0,12.0,363.0,44.0,69.0,71.0,45.0,41.0,47.0,74.5,336.0,29.5,92.5,21.0,91.0,12.0,94.0,70.5,20.0,59.0,355.0,360.0,17.0,41.0,30.0,50.5,102.5,22.5,29.5,62.0,50.5,90.0,6.5,337.0,13.0,336.0,64.0,64.0
WIN_Dur_10,1.0,10.0,4.0,2.0,1.5,2.0,1.0,2.5,2.5,1.5,1.0,2.5,3.0,1.0,1.0,8.5,2.0,1.0,114.0,3.0,2.0,1.0,2.0,4.5,16.5,2.5,1.5,6.0,6.0,4.0,2.0,2.0,2.0,1.0,1.5,1.0,3.0,1.0
WIN_Fre_10,1.0,5.0,6.0,7.0,4.0,6.0,4.0,6.0,4.0,4.0,3.0,4.0,8.0,3.0,5.0,6.0,7.0,2.0,1.0,3.0,3.0,2.0,5.0,6.0,4.0,2.0,2.0,4.0,4.0,4.0,6.0,3.0,4.0,5.0,4.0,5.0,1.0,4.0
WIN_Tim_20,59.0,36.0,30.5,59.5,31.0,101.0,40.0,174.0,41.0,25.0,336.0,4.0,40.0,21.0,35.5,47.0,22.0,60.5,20.0,37.5,25.0,357.5,53.5,42.0,361.0,61.0,68.0,97.5,347.5,9.0,42.5,75.0,130.0,321.5,350.0,30.0,44.0,5.0
WIN_Dur_20,1.5,28.5,2.0,2.0,1.0,7.0,2.0,3.0,1.0,4.0,1.0,4.5,4.0,2.0,2.5,2.0,44.0,1.0,163.0,2.0,1.5,3.0,4.5,2.0,14.0,4.0,2.0,4.0,3.5,2.0,2.5,4.0,2.0,2.0,3.0,2.0,2.0,2.0
WIN_Fre_20,2.0,4.0,10.0,8.0,11.0,5.0,7.0,7.0,5.0,7.0,3.0,4.0,5.0,5.0,8.0,6.0,3.0,6.0,1.0,4.0,6.0,2.0,4.0,4.0,3.0,3.0,4.0,6.0,4.0,5.0,6.0,5.0,8.0,6.0,5.0,7.0,7.0,7.0
WIN_Tim_50,55.0,363.0,61.0,12.0,49.0,338.0,101.0,25.0,341.0,9.0,331.0,20.0,143.5,360.0,45.0,64.5,338.0,26.5,7.5,105.0,114.5,356.0,10.0,320.0,116.0,328.5,29.0,365.0,90.5,279.0,310.0,330.0,339.5,274.0,327.5,43.0,321.0,10.5
WIN_Dur_50,2.0,232.0,16.0,3.0,3.0,93.5,5.0,4.0,2.0,11.0,2.0,15.0,8.0,39.5,3.0,107.0,110.0,4.5,1.0,7.0,3.0,11.0,3.0,16.0,2.5,3.0,3.0,136.5,173.5,181.5,3.0,3.0,3.5,253.0,9.0,3.0,5.0,4.0
WIN_Fre_50,5.0,1.0,4.0,4.0,6.0,2.0,5.0,3.0,9.0,3.0,5.0,3.0,6.0,6.0,10.0,2.0,2.0,10.0,4.0,5.0,6.0,1.0,5.0,4.0,4.0,12.0,5.0,2.0,2.0,2.0,8.0,9.0,4.0,1.0,4.0,9.0,3.0,8.0
