Year,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,92.32438356164384,41.31408219178083,32.518465753424664,9.19912568306011,90.03224657534246,69.24430136986301,70.0687397260274,2.862349726775956,2.1187671232876713,68.4852602739726,29.14945205479452,82.71704918032786,26.32953424657534,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101.14425824175825,73.72677595628416,92.75369863013701,131.87890410958903,42.70986301369862,44.7070218579235,24.187589041095894,20.222356164383562,36.18876712328767,26.936857923497268,69.19482191780821,72.60575342465754,11.407287671232876,28.774808743169405,34.980520547945204,42.5407397260274,70.93882191780821,10.254644808743171,17.06895890410959,2.7138904109589044,14.93991780821918
Std,267.8163876782068,144.167148569372,83.03913920788085,31.87159433516118,207.00339042129673,164.91954884121944,179.2614355261746,3.1793373967012,3.540095248778763,202.89511240830527,93.41367392338307,320.6741428607698,113.46852683201148,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,342.287347100195,234.2598778620537,285.3706437153957,318.87679214496313,101.64955975611193,145.33667902150347,75.96461945164903,46.515372046671516,107.96686223153775,103.32193958804996,175.20964421064366,174.20646977210617,44.57136866529978,107.69989089725375,158.28355248194416,129.5564998861133,234.48159628921448,40.945639489203856,91.87832838819648,13.211333104533741,67.33385210405926
CV,2.9008196680716436,3.4895401500182213,2.553599540566751,3.4646329915735015,2.299213873865386,2.381705722761424,2.558365345617698,1.110743864371279,1.670827912076354,2.9626099338256338,3.204645965481136,3.876759942943346,4.309553134110993,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.384150055083194,3.1774056958757653,3.0766497501445693,2.4179514858569204,2.380002008517545,3.250869169576439,3.14064453975059,2.300195470228948,2.9834357678922,3.8357086740217494,2.532120747687785,2.3993480069438156,3.9072713821095912,3.742853405509417,4.524905576090459,3.0454689015867693,3.3054058405550024,3.992887150444583,5.382772839535954,4.86804222130169,4.506976073657889
SP_Tim,60.0,65.0,18.0,40.0,47.0,96.0,88.0,70.0,90.0,68.0,58.0,56.0,85.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,85.0,57.0,28.0,44.0,105.0,58.0,69.0,87.0,2.0,61.0,89.0,98.0,62.0,59.0,68.0,67.0,87.0,108.0,363.0,65.0,355.0
SP_Mag,1650.0,504.0,375.0,160.0,1140.0,1260.0,1030.0,20.0,8.0,1920.0,680.0,2280.0,410.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2970.0,956.0,2330.0,1080.0,329.0,904.0,942.0,252.0,608.0,1380.0,287.0,1820.0,614.0,1080.0,1890.0,370.0,1800.0,662.0,945.0,82.6,386.0
SP_Dur,27.0,29.0,137.0,48.0,77.0,63.0,63.0,99.0,110.0,79.0,87.0,31.0,41.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,58.0,63.0,41.0,121.0,81.0,64.0,87.0,41.0,160.0,35.0,62.0,57.0,43.0,38.0,41.0,85.0,36.0,47.0,39.0,85.0,80.0
SP_ROC,0.11538461538461539,0.07947368421052631,0.07407407407407407,0.03797468354430389,0.10810810810810811,0.07059800664451826,0.0625,0.0555555555555556,0.047619047619047596,0.09555690809494827,0.10344827586206896,0.1334165592783505,0.08957219251336898,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.046957671957671955,0.07793522267206478,0.058646524195529355,0.0834687717668911,0.0625,0.07407407407407407,0.0625,0.06448287910552064,0.07558139534883715,0.07596153846153839,0.07804845756652992,0.05670149398123196,0.06286194657201565,0.05797101449275367,0.08362369337979089,0.10087719298245616,0.05309734513274328,0.05424568815856329,0.06663020953258107,0.06444083359125144,0.05829596412556049
SU_BFL_Tim,87.0,94.0,155.0,88.0,124.0,159.0,151.0,169.0,200.0,147.0,145.0,87.0,126.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,143.0,120.0,69.0,165.0,186.0,122.0,156.0,128.0,162.0,96.0,151.0,155.0,105.0,97.0,109.0,152.0,123.0,155.0,37.0,150.0,70.0
SU_BFL_Mag_10,1.3,0.746,0.5660000000000001,0.19,1.2,0.893,2.1,0.34,0.21,1.2,0.53,0.98,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.1,1.5,1.5,4.0,1.2,1.3,0.516,0.28,0.843,0.36,1.22,1.5830000000000002,0.357,0.251,0.34,0.9320000000000002,1.282,0.19,0.18,0.09,0.08
SU_BFL_Mag_50,3.0,1.8,1.2,1.4,3.05,4.0,3.3,0.58,0.26,2.1,2.1,2.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.6,2.9,4.0,6.3,3.3,3.3,0.85,0.59,2.575,2.26,2.685,3.5149999999999997,1.355,1.815,2.08,2.99,3.58,0.34,0.88,0.18,0.35
SU_BFL_Dur_Fl,nan,nan,nan,231.0,194.0,nan,154.0,nan,nan,230.0,214.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,239.0,202.0,310.0,221.0,204.0,270.0,182.0,186.0,203.0,nan,211.0,253.0,266.0,nan,nan,202.0,nan,nan,nan,189.0,269.0
SU_BFL_Dur_Wet,289.0,237.0,197.0,286.0,204.0,234.0,263.0,192.0,170.0,235.0,228.0,300.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,242.0,214.0,311.0,221.0,209.0,285.0,187.0,218.0,244.0,265.0,276.0,254.0,268.0,312.0,271.0,263.0,317.0,180.0,381.0,191.0,271.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,360.0,nan,nan,nan,319.0,316.0,nan,304.0,nan,nan,11.0,358.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,16.0,322.0,12.0,20.0,24.0,27.0,336.0,313.0,364.0,nan,360.0,42.0,5.0,nan,nan,353.0,nan,nan,nan,338.0
