Year,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943
WIN_Fre_2,0.0,5.0,1.0,5.0,4.0,3.0,0.0,2.0,3.0,3.0,4.0,4.0,8.0,6.0,5.0,4.0,1.0,5.0,2.0,2.0,0.0,1.0,5.0,6.0,5.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,4.0,1.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,8.0,0.0,5.0,8.0,3.0,2.0,0.0
WIN_Tim_5,106.0,52.0,22.0,35.0,104.5,30.0,59.0,75.0,25.5,26.5,38.0,33.5,54.5,34.0,61.5,48.5,24.0,15.0,52.5,53.0,26.0,17.0,54.5,48.0,44.0,56.0,78.0,40.0,nan,7.0,53.0,362.0,39.0,69.0,66.0,34.0,84.0,36.0,53.0,nan,359.5,88.0,365.0,82.5,14.0,72.0,17.0,72.0,46.0,35.0,45.5,48.5,nan
WIN_Dur_5,1.0,2.0,2.0,3.0,4.5,1.0,1.0,2.0,3.0,2.0,3.0,3.5,4.0,3.0,3.0,2.5,1.0,5.0,2.5,2.0,1.0,2.0,5.0,4.0,2.5,4.0,1.0,2.0,nan,2.0,1.5,1.0,1.0,4.0,2.0,5.0,3.0,1.0,2.0,nan,1.5,1.0,1.5,2.0,4.0,2.0,2.0,1.0,3.0,6.0,4.5,2.5,nan
WIN_Fre_5,3.0,10.0,3.0,8.0,4.0,7.0,1.0,3.0,4.0,4.0,5.0,6.0,6.0,9.0,8.0,6.0,7.0,5.0,4.0,6.0,1.0,2.0,6.0,9.0,6.0,1.0,1.0,3.0,0.0,9.0,2.0,1.0,1.0,4.0,4.0,5.0,3.0,1.0,3.0,0.0,2.0,3.0,2.0,4.0,3.0,5.0,9.0,1.0,8.0,10.0,4.0,4.0,0.0
WIN_Tim_10,106.0,34.0,69.0,92.5,98.5,51.0,49.0,18.0,19.0,19.5,38.0,22.0,3.5,33.5,108.5,46.0,19.0,6.0,16.0,46.0,73.0,55.5,12.0,47.0,26.5,85.0,77.0,61.0,106.0,15.5,69.5,365.0,39.0,97.0,42.5,37.0,30.0,34.0,53.0,36.5,365.0,169.5,51.0,36.5,47.0,76.0,32.0,22.0,34.0,52.5,23.0,43.5,34.0
WIN_Dur_10,3.0,8.0,3.0,4.0,6.0,3.0,1.0,2.0,2.5,2.0,3.0,4.0,1.5,6.0,5.0,6.0,2.0,3.0,3.5,7.5,1.0,2.0,12.0,13.0,4.0,5.0,3.0,3.0,2.0,4.5,3.5,1.0,1.0,2.5,2.0,6.5,2.0,4.0,2.0,1.0,1.0,1.5,1.0,1.0,10.0,3.0,6.0,1.5,5.0,15.5,3.0,7.0,1.0
WIN_Fre_10,5.0,8.0,5.0,12.0,6.0,11.0,2.0,5.0,6.0,8.0,5.0,7.0,6.0,6.0,6.0,8.0,8.0,3.0,6.0,4.0,7.0,4.0,7.0,7.0,8.0,4.0,3.0,7.0,1.0,16.0,4.0,3.0,1.0,6.0,6.0,8.0,5.0,1.0,5.0,2.0,3.0,4.0,3.0,8.0,3.0,6.0,9.0,2.0,9.0,6.0,7.0,4.0,1.0
WIN_Tim_20,80.0,358.0,79.5,10.0,48.0,6.5,48.0,47.5,349.0,3.0,38.0,24.5,3.5,15.0,96.0,71.0,37.5,4.0,32.0,20.0,96.0,82.0,364.0,71.5,3.0,72.0,66.0,55.0,94.0,357.0,80.5,10.0,38.0,45.5,29.0,52.5,363.0,73.5,39.5,36.5,19.0,73.0,50.5,52.0,44.0,70.0,17.0,22.0,25.0,38.5,23.0,43.0,34.0
WIN_Dur_20,8.0,30.0,4.0,7.0,14.5,8.0,2.0,4.5,2.0,2.0,21.0,11.5,4.5,6.0,18.0,6.0,6.0,126.0,7.0,4.0,4.0,2.0,2.0,17.5,5.0,5.0,2.5,10.5,1.5,22.5,3.0,2.0,3.0,14.5,6.0,8.5,2.0,1.0,9.0,1.5,5.0,1.0,2.0,4.0,12.0,2.0,12.0,2.5,14.0,73.0,6.0,7.5,1.0
WIN_Fre_20,7.0,3.0,10.0,6.0,4.0,6.0,4.0,4.0,11.0,11.0,5.0,6.0,6.0,7.0,4.0,6.0,8.0,1.0,6.0,7.0,8.0,9.0,9.0,4.0,7.0,6.0,6.0,6.0,4.0,4.0,8.0,6.0,1.0,4.0,3.0,8.0,9.0,4.0,4.0,2.0,3.0,7.0,8.0,10.0,3.0,7.0,5.0,2.0,5.0,2.0,7.0,8.0,1.0
WIN_Tim_50,338.0,284.0,91.0,331.0,347.0,315.0,5.0,7.0,313.0,292.0,21.0,301.0,112.5,282.0,353.0,324.5,306.0,340.0,297.0,10.0,129.5,350.0,333.5,346.5,332.0,337.0,15.5,330.0,79.0,319.5,5.5,359.0,33.0,337.0,28.0,329.0,351.0,68.0,356.5,35.5,90.0,43.0,54.5,351.0,83.5,105.5,68.5,5.0,353.5,330.0,334.0,357.0,46.5
WIN_Dur_50,234.0,356.0,149.0,6.0,3.0,1.0,15.0,2.0,5.0,5.0,2.0,3.0,3.0,268.0,2.0,127.0,2.0,2.0,114.5,39.0,89.0,27.0,6.0,3.0,2.0,13.0,2.0,3.0,4.5,110.0,12.5,6.0,3.0,5.0,38.0,36.0,17.0,5.0,77.5,5.0,28.0,1.0,4.5,7.0,7.5,7.0,2.0,7.0,82.0,3.0,217.0,9.0,2.0
WIN_Fre_50,1.0,1.0,2.0,5.0,6.0,3.0,6.0,5.0,3.0,3.0,5.0,3.0,4.0,1.0,3.0,2.0,3.0,7.0,2.0,3.0,2.0,3.0,4.0,6.0,4.0,5.0,6.0,8.0,6.0,2.0,4.0,7.0,3.0,7.0,3.0,3.0,4.0,9.0,2.0,6.0,4.0,6.0,10.0,5.0,6.0,4.0,4.0,7.0,2.0,4.0,1.0,7.0,8.0
