Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979
Avg,183.82739726027398,231.1390710382514,185.71150684931507,181.45945205479453,79.29178082191781,295.025956284153,97.09726027397261,357.8265753424658,116.16520547945203,126.77868852459017,147.652602739726,151.3131506849315,167.8695890410959,57.752459016393445,238.25534246575342,148.1227397260274,189.74657534246575,106.7110655737705,262.68572602739727,273.01312328767125,172.49435616438356,46.169699453551914,240.07254794520546,331.3163561643836,156.72553424657534,24.248688524590165,5.941972602739726,282.68909589041095,95.34676712328768,232.85459016393443
Std,509.73153010544354,511.63788432409865,470.894809740132,589.7368511832505,164.16892015056936,967.7661000370472,322.54298401986534,772.8220522680712,439.46372751689074,457.4450601362843,347.8219110920005,500.5055423361976,563.4924387975609,140.49494120744063,873.1173968078086,462.9943579089356,464.2644312883603,276.6179814163454,640.5021714970356,802.6604919757408,461.84543254854793,89.72036078271593,591.9020477533456,774.0372654843585,427.3219714878015,51.864809494047144,12.976660521899278,690.6826911865261,258.96158884888223,647.4866673515803
CV,2.772881179314826,2.213549972429487,2.535625377926703,3.2499649067890393,2.070440573396604,3.2802744281420018,3.3218546343096413,2.159767064613423,3.7830925852804147,3.6082173231154515,2.3556774796928037,3.307746485157555,3.3567273382650216,2.4327092490998545,3.664628829606663,3.125748003077076,2.4467605301989175,2.592214593013472,2.4382831194650953,2.940006994205862,2.677452426956038,1.943273658798175,2.465513249305132,2.336248274746562,2.7265625447828965,2.1388707039332027,2.183897737245708,2.4432590475802454,2.715997580851726,2.780648072669456
SP_Tim,40.0,28.0,25.0,99.0,120.0,362.0,63.0,96.0,52.0,72.0,83.0,51.0,108.0,28.0,10.0,39.0,33.0,55.0,41.0,27.0,20.0,64.0,21.0,93.0,84.0,107.0,82.0,42.0,90.0,57.0
SP_Mag,1290.0,1350.0,1390.0,1710.0,521.0,2310.0,917.0,3350.0,1980.0,1220.0,575.0,2110.0,1800.0,444.0,6350.0,1780.0,3310.0,1600.0,3100.0,6140.0,4440.0,263.0,4910.0,4620.0,2410.0,279.0,32.0,3680.0,1690.0,2240.0
SP_Dur,126.0,87.0,146.0,42.0,51.0,97.0,107.0,40.0,28.0,40.0,58.0,54.0,56.0,83.0,130.0,84.0,121.0,75.0,50.0,67.0,114.0,102.0,97.0,41.0,60.0,60.0,97.0,95.0,68.0,32.0
SP_ROC,0.075,0.09302736098852604,0.07894736842105263,0.06668307086614172,0.0625,0.07929515418502203,0.13463345864661652,0.08620689655172414,0.08888888888888889,0.12903225806451613,0.07767722473604827,0.091324200913242,0.04880952380952381,0.05749896708442363,0.07142857142857142,0.06366092536305301,0.08163265306122448,0.05989130434782609,0.14545454545454545,0.0903542327548672,0.08000512032770096,0.07407407407407407,0.09152542372881356,0.0663003663003663,0.056451612903225805,0.058823529411764705,0.0869565217391304,0.1056338028169014,0.07692307692307693,0.0963855421686747
SU_BFL_Tim,166.0,115.0,171.0,141.0,171.0,94.0,170.0,136.0,80.0,112.0,141.0,105.0,164.0,111.0,140.0,123.0,154.0,130.0,91.0,94.0,134.0,166.0,118.0,134.0,144.0,167.0,179.0,137.0,158.0,89.0
SU_BFL_Mag_10,0.6,0.6,1.65,1.6,0.3,1.0,1.2,1.6,0.5,0.3,0.4,0.3,1.9,0.2,1.9,0.6,1.6,0.35,1.0,0.5,0.73,0.33,0.81,1.3,1.3,0.594,0.11,1.58,0.69,0.94
SU_BFL_Mag_50,1.6,4.5,4.2,4.2,1.3,4.7,8.9,3.9,3.0,4.8,2.7,12.0,8.7,3.3,4.05,3.4,3.9,3.0,5.4,3.3,1.9,1.95,2.3,6.5,8.6,1.0,0.69,3.9,4.3,11.0
SU_BFL_Dur_Fl,nan,221.0,149.0,179.0,nan,285.0,118.0,nan,nan,224.0,190.0,181.0,155.0,nan,180.0,202.0,184.0,215.0,257.0,nan,213.0,152.0,nan,204.0,140.0,152.0,148.0,nan,141.0,210.0
SU_BFL_Dur_Wet,167.0,223.0,206.0,179.0,177.0,319.0,209.0,233.0,313.0,276.0,261.0,285.0,211.0,239.0,220.0,259.0,214.0,222.0,265.0,236.0,214.0,192.0,196.0,262.0,274.0,195.0,177.0,239.0,201.0,270.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,nan,nan,336.0,318.0,319.0,nan,14.0,286.0,nan,nan,336.0,329.0,285.0,318.0,nan,318.0,324.0,337.0,345.0,346.0,nan,346.0,318.0,nan,337.0,283.0,319.0,325.0,nan,298.0
FAFL_Mag,nan,nan,821.9140716475096,783.965447628318,1059.8929607166274,nan,714.9853072841689,1249.992397680317,nan,nan,2949.824327606915,805.9826124745922,1919.9045384969286,269.9810167954953,nan,685.0079237067764,993.9904798238535,433.97826813381556,1689.9068933235205,1659.9578338266874,nan,206.94854377158438,829.9693599371182,nan,634.9525296096398,59.005647203511366,18.977756994299195,1399.9741616081697,nan,738.9285250891253
FAFL_Tim_Wet,318.0,332.0,338.0,10.0,319.0,347.0,48.0,12.0,3.0,27.0,23.0,35.0,24.0,9.0,350.0,358.0,16.0,2.0,352.0,354.0,329.0,347.0,358.0,312.0,30.0,52.0,362.0,354.0,10.0,358.0
FAFL_Dur,nan,nan,7.0,4.0,2.0,nan,3.0,2.0,nan,nan,3.0,3.0,5.0,7.0,nan,3.0,2.0,10.0,4.0,5.0,nan,4.0,4.0,nan,2.0,2.0,8.0,10.0,nan,5.0
Wet_BFL_Mag,79.6,70.0,125.4,34.0,27.5,38.0,19.8,23.200000000000006,80.2,68.4,42.2,27.0,15.0,46.0,49.8,38.5,18.0,22.400000000000002,109.0,129.0,149.0,23.0,44.800000000000004,164.5,21.1,7.9,2.4,24.599999999999998,38.800000000000004,28.3
WIN_Tim_2,361.5,360.0,357.0,23.0,nan,29.0,55.0,44.5,12.0,65.0,14.5,52.5,67.0,nan,6.0,19.5,21.0,21.5,20.0,9.0,16.0,nan,13.5,14.0,43.0,nan,nan,14.0,44.0,12.0
WIN_Dur_2,2.0,2.0,3.0,2.0,nan,3.5,3.0,3.0,2.0,1.0,1.0,1.0,1.0,nan,3.0,2.0,2.0,1.5,2.0,3.0,2.0,nan,2.0,3.0,2.0,nan,nan,2.0,1.0,5.0
WIN_Fre_2,2.0,5.0,2.0,3.0,0.0,4.0,1.0,6.0,3.0,3.0,4.0,4.0,4.0,0.0,3.0,2.0,3.0,2.0,9.0,5.0,3.0,0.0,4.0,6.0,3.0,0.0,0.0,5.0,3.0,3.0
WIN_Tim_5,2.0,26.0,7.0,48.0,41.0,9.0,55.0,20.5,26.5,55.0,41.0,52.0,86.0,356.0,25.0,30.0,20.0,29.0,24.5,9.0,363.0,361.0,28.0,24.5,60.0,nan,nan,4.0,49.0,34.5
WIN_Dur_5,1.5,3.0,2.0,3.0,1.0,3.5,5.0,1.5,2.5,3.0,2.0,2.5,2.0,1.5,4.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,4.0,3.5,2.5,nan,nan,2.0,1.0,2.5
WIN_Fre_5,8.0,8.0,7.0,7.0,4.0,8.0,1.0,10.0,4.0,4.0,7.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,8.0,5.0,7.0,1.0,6.0,8.0,6.0,0.0,0.0,9.0,8.0,6.0
WIN_Tim_10,16.0,26.0,37.5,43.0,44.0,352.0,65.0,2.0,25.0,38.0,52.0,19.0,63.0,327.0,24.0,13.0,78.0,29.0,12.0,9.0,362.0,358.0,10.0,27.0,37.0,nan,nan,16.0,51.5,357.0
WIN_Dur_10,2.0,6.5,6.0,6.0,2.5,11.0,2.0,6.0,10.0,5.0,8.0,4.0,2.5,2.0,4.0,1.5,2.0,2.0,6.0,8.0,4.0,1.0,4.0,6.5,4.0,nan,nan,4.5,2.5,4.0
WIN_Fre_10,12.0,8.0,6.0,7.0,6.0,3.0,7.0,7.0,3.0,5.0,4.0,5.0,8.0,3.0,5.0,8.0,12.0,9.0,7.0,5.0,7.0,3.0,7.0,10.0,7.0,0.0,0.0,8.0,6.0,7.0
WIN_Tim_20,336.0,345.0,361.0,43.0,16.0,352.0,105.0,350.0,41.0,32.0,47.5,13.5,30.0,323.0,354.0,30.5,335.0,28.5,12.0,35.5,11.0,39.5,351.0,49.0,33.0,78.0,nan,98.0,44.0,355.0
WIN_Dur_20,4.0,6.5,5.0,15.0,11.0,24.0,3.0,7.0,9.0,4.0,10.5,4.0,3.0,11.0,17.0,11.0,17.0,11.5,10.0,20.0,10.0,4.5,12.0,33.0,4.0,3.0,nan,3.0,8.0,3.0
WIN_Fre_20,7.0,4.0,7.0,7.0,5.0,3.0,7.0,7.0,5.0,7.0,6.0,6.0,9.0,3.0,5.0,6.0,5.0,6.0,5.0,4.0,7.0,8.0,3.0,3.0,6.0,4.0,0.0,8.0,3.0,9.0
