Year,1961,1962,1963,1964,1965,1966,1967,1968,1969
Avg,67.75945205479452,122.533698630137,47.825956284153,123.06164383561644,66.90164383561644,90.23753424657534,54.67106557377049,119.41849315068494,50.0
Std,180.24432352804712,345.5980854981965,162.47410927343103,537.1514196431906,177.40500972844552,175.03794308804993,132.14575258163723,250.3356287158876,0.0
CV,2.660061704487963,2.820432985879014,3.3971952031258468,4.3648971596763975,2.6517287103489733,1.939746520663522,2.417105852881652,2.096288624241879,0.0
SP_Tim,50.0,100.0,29.0,363.0,9.0,86.0,54.0,25.0,nan
SP_Mag,1380.0,1970.0,426.0,1410.0,1650.0,285.0,620.0,2220.0,nan
SP_Dur,95.0,65.0,30.0,150.0,154.0,99.0,71.0,134.0,nan
SP_ROC,0.0967741935483871,0.08333333333333333,0.08235294117647059,0.06666666666666667,0.07142857142857142,0.07692307692307693,0.09980106100795756,0.1225,nan
SU_BFL_Tim,145.0,165.0,59.0,148.0,163.0,185.0,125.0,159.0,nan
SU_BFL_Mag_10,0.35,0.5,0.1,0.4,0.4,0.24,0.6,nan,nan
SU_BFL_Mag_50,10.0,3.6,7.05,0.8500000000000001,1.2,1.2,4.0,nan,nan
SU_BFL_Dur_Fl,141.0,149.0,nan,nan,158.0,154.0,220.0,nan,nan
SU_BFL_Dur_Wet,306.0,212.0,286.0,214.0,219.0,159.0,226.0,nan,nan
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FAFL_Tim,335.0,285.0,313.0,nan,nan,320.0,338.0,345.0,nan
FAFL_Mag,417.973054543387,1779.9114670795802,254.99539779964275,nan,nan,159.97498370230088,327.00924286483917,648.9467760028359,nan
FAFL_Tim_Wet,28.0,85.0,11.0,345.0,360.0,16.0,343.0,351.0,nan
FAFL_Dur,3.0,6.0,2.0,nan,nan,8.0,3.0,4.0,nan
Wet_BFL_Mag,11.0,9.08,21.0,54.60000000000001,50.300000000000004,16.0,19.0,77.80000000000001,nan
WIN_Tim_2,40.0,30.0,356.0,355.0,4.0,364.5,14.0,20.0,nan
WIN_Dur_2,1.0,2.0,1.0,2.0,3.0,1.5,2.0,2.0,nan
WIN_Fre_2,3.0,7.0,2.0,3.0,1.0,4.0,1.0,5.0,nan
WIN_Tim_5,31.0,35.0,358.5,365.5,35.5,47.5,32.0,12.0,nan
WIN_Dur_5,2.0,4.0,1.0,2.0,4.0,3.0,1.5,4.0,nan
WIN_Fre_5,6.0,8.0,4.0,8.0,2.0,6.0,6.0,7.0,nan
WIN_Tim_10,38.0,349.0,327.0,354.0,48.5,27.0,39.5,32.5,nan
WIN_Dur_10,3.0,5.0,2.0,5.0,3.0,3.5,2.5,2.5,nan
WIN_Fre_10,7.0,7.0,5.0,5.0,6.0,8.0,8.0,8.0,nan
WIN_Tim_20,19.0,13.5,322.0,43.5,17.0,69.0,29.0,77.0,nan
WIN_Dur_20,4.0,4.0,2.0,5.0,3.0,16.0,4.0,4.0,nan
WIN_Fre_20,7.0,10.0,6.0,6.0,8.0,9.0,9.0,9.0,nan
WIN_Tim_50,351.0,355.0,330.5,314.0,337.0,36.5,9.0,316.0,nan
WIN_Dur_50,10.0,29.5,92.0,198.0,95.0,46.0,3.0,3.0,nan
WIN_Fre_50,5.0,4.0,2.0,1.0,2.0,4.0,7.0,3.0,nan
