Year,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Avg,0.8718579234972679,1.593424657534247,0.7945205479452054,1.280821917808219,1.1532786885245903,0.8564383561643836,0.7095890410958904,1.1564383561643836,1.1601639344262296,4.204410958904108,3.5178082191780824,1.4013150684931506,1.387377049180328,1.7937808219178082,2.1369863013698636,1.847205479452055,1.805491803278689,1.1600821917808222,9.871068493150686,7.28876712328767,7.00191256830601,4.660821917808219
Std,0.3311683928221884,15.675619689673592,0.6691008914972684,0.4296725526878675,0.9800343832121715,0.543094557379129,0.38197912284686625,0.4817131809134881,0.5829733241090639,5.157626033056896,1.7810372894001447,0.44064824217802606,0.8840333579975899,0.977154076360156,0.5929972277684902,2.2421365480817506,2.7912177168449235,0.5665321026927754,10.20556411269472,2.344812955244726,7.528733422241444,1.72619603437983
CV,0.3798421553523063,9.837691173883872,0.8421442255051826,0.33546627108250626,0.849781057227327,0.6341315209321244,0.5383103468691358,0.41654894819574306,0.5024921968440426,1.2267178645165662,0.5062917528279227,0.3144533674727839,0.6371976230397375,0.5447455254401921,0.2774922924814088,1.2137992080593254,1.545959783243658,0.4883551413052051,1.0338864652571436,0.32170227359206327,1.0752395647326527,0.3703630099627545
SP_Tim,359.0,222.0,50.0,45.0,290.0,95.0,37.0,340.0,330.0,167.0,64.0,337.0,364.0,206.0,96.0,342.0,254.0,160.0,142.0,297.0,119.0,41.0
SP_Mag,3.3,300.0,10.0,6.8,16.0,7.3,5.7,7.6,3.4,13.0,12.0,3.4,16.0,2.8,5.7,35.0,40.0,8.4,50.0,12.0,22.0,19.0
SP_Dur,223.0,32.0,153.0,85.0,212.0,202.0,114.0,215.0,202.0,74.0,103.0,111.0,220.0,41.0,64.0,170.0,nan,56.0,90.0,329.0,97.0,208.0
SP_ROC,0.09999999999999998,0.19999999999999996,0.16666666666666663,0.1250000000000001,0.09090909090909098,0.19999999999999996,0.1250000000000001,0.09090909090909098,0.07142857142857134,0.04381663113006394,0.04880952380952385,0.06250000000000006,0.07142857142857134,0.052631578947368356,0.0555555555555556,0.08166666666666665,nan,0.0555555555555556,0.06066176470588235,0.03896103896103894,0.08333333333333333,0.04444444444444448
SU_Tim,217.0,254.0,203.0,130.0,137.0,297.0,151.0,190.0,167.0,241.0,167.0,83.0,219.0,247.0,160.0,147.0,143.0,216.0,232.0,261.0,216.0,249.0
SU_Mag_10,0.5,0.5,0.5,1.0,0.9,0.3,0.7,0.7,0.59,5.1,1.5,0.9600000000000001,0.7,1.7,1.7000000000000002,0.93,0.8700000000000001,0.72,7.9,5.1,4.7,2.3
SU_Mag_50,0.6,0.6,1.1,1.1,1.0,0.4,0.7,1.0,0.845,5.5,1.8,1.3,0.97,1.8,1.8,1.4,0.96,0.96,10.0,5.3,5.3,5.2
SU_Dur_Fl,nan,84.0,nan,nan,166.0,nan,nan,nan,224.0,40.0,nan,nan,nan,nan,143.0,nan,153.0,167.0,43.0,117.0,179.0,147.0
SU_Dur_Wet,359.0,132.0,158.0,159.0,316.0,50.0,154.0,117.0,308.0,76.0,159.0,259.0,97.0,67.0,147.0,249.0,154.0,199.0,63.0,121.0,182.0,150.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,nan,nan,336.0,nan,nan,303.0,nan,nan,nan,26.0,279.0,nan,nan,nan,nan,302.0,nan,296.0,16.0,274.0,12.0,30.0
FA_Mag,nan,nan,6.526729779544225,nan,nan,2.0955102328671003,nan,nan,nan,80.71555801875756,6.100168266925679,nan,nan,nan,nan,6.094752797453281,nan,2.3995933386694133,23.916265401763372,9.3000659040395,18.909808110795563,10.834805253822188
FA_Tim_Wet,nan,211.0,19.0,360.0,288.0,88.0,324.0,304.0,306.0,110.0,315.0,325.0,341.0,316.0,312.0,306.0,30.0,297.0,48.0,294.0,16.0,33.0
FA_Dur,nan,nan,9.0,nan,nan,12.0,nan,nan,nan,2.0,8.0,nan,nan,nan,nan,5.0,nan,6.0,6.0,0.0,4.0,10.0
Tim_2,nan,226.5,nan,nan,307.0,nan,nan,nan,nan,163.0,60.0,nan,360.0,71.0,nan,332.0,146.5,nan,90.0,17.0,138.0,75.5
Dur_2,nan,1.5,nan,nan,1.0,nan,nan,nan,nan,1.0,1.0,nan,1.0,1.0,nan,1.0,1.0,nan,2.0,1.0,3.0,1.0
Fre_2,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,9.0,9.0,9.0,2.0
Tim_5,nan,226.5,50.0,nan,307.0,nan,nan,nan,nan,136.0,49.5,nan,360.0,57.0,nan,332.0,254.0,160.0,76.5,41.0,140.0,65.0
Dur_5,nan,1.5,1.0,nan,1.0,nan,nan,nan,nan,1.0,2.5,nan,1.0,1.0,nan,1.5,1.0,1.0,2.0,5.0,6.0,1.0
Fre_5,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0,2.0,0.0,2.0,3.0,1.0,10.0,16.0,6.0,7.0
Tim_10,nan,218.0,10.5,45.0,307.0,95.0,nan,340.0,323.0,96.0,15.0,330.0,360.0,43.0,14.5,326.0,254.0,160.0,76.5,155.0,47.5,63.0
Dur_10,nan,1.0,1.0,1.0,1.0,1.0,nan,1.0,2.0,1.0,2.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,7.5,2.5,4.0
Fre_10,0.0,3.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,9.0,10.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,12.0,8.0,10.0,8.0
Tim_20,nan,218.0,42.0,67.5,307.0,161.0,365.0,100.5,323.0,51.0,48.0,331.0,360.0,20.0,44.0,37.0,253.0,81.5,15.0,274.0,71.0,160.0
