Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
Avg,3.3860273972602735,3.2024590163934423,2.368767123287671,2.556986301369863,2.3331506849315065,2.1726775956284152,1.9854794520547947,2.513698630136987,2.117808219178082,2.023497267759563,2.075068493150685,1.5172602739726027,1.5041095890410958,1.768306010928962,1.581917808219178,2.0616438356164384,1.8414246575342466,1.1428142076502732,2.1885479452054795,1.5069863013698628,1.2011506849315068,1.310846994535519,0.8182191780821917,1.2587123287671234,0.903890410958904,0.45010928961748636,2.027616438356165,2.2528493150684934,2.986027397260273,14.841256830601095,4.869863013698629,4.275068493150685,4.472876712328767
Std,10.331613771455894,5.058366382140643,0.5555792859967971,4.895431105851774,1.8800968181950637,0.7915309506154496,0.4668549424061127,5.3817121853702385,1.3290786246935797,2.1198115208367736,3.3721515116059795,0.30726928207927645,0.5571547966609431,3.8901347658559655,2.199639234139953,10.154219450074446,5.678057660174711,0.2767591591038487,8.581636643471802,3.1739378268295475,0.844035831077903,2.32961771145125,1.9238032696858898,8.482350846089153,7.544237150287036,1.3548475965634303,22.525459509174407,5.168039674110916,15.866080174663134,78.9767411811902,1.1324461257870486,1.185879389657961,1.7481430299873353
CV,3.0512493135216454,1.5795257195320156,0.2345436495360062,1.9145316121674676,0.8058188570234833,0.3643112775720002,0.23513461291324841,2.140953621427942,0.6275727011813151,1.0475979160494993,1.6250796167628498,0.20251586847045128,0.37042167719716623,2.19992170009778,1.3904889512661636,4.925302457511194,3.083513429095652,0.24217336225884864,3.9211554228326877,2.1061490897059993,0.7026893808298769,1.7771850728289758,2.351207746309559,6.738911387638031,8.346406886077741,3.010041400644746,11.109329695233836,2.2940014849389923,5.313440924627989,5.321432145716161,0.23254167983812815,0.2773942432870775,0.3908319281792095
SP_Tim,213.0,22.0,52.0,248.0,205.0,86.0,34.0,97.0,223.0,244.0,228.0,300.0,220.0,292.0,228.0,327.0,243.0,210.0,58.0,238.0,221.0,240.0,343.0,199.0,259.0,254.0,230.0,59.0,228.0,52.0,61.0,238.0,47.0
SP_Mag,200.0,85.0,3.0,10.0,2.3,4.4,5.1,86.0,13.0,37.0,66.0,2.1,5.8,16.0,2.7,186.0,100.0,5.3,88.0,47.0,16.0,6.7,3.0,109.0,8.0,25.0,420.0,67.0,300.0,900.0,11.0,15.0,4.9
SP_Dur,19.0,103.0,163.0,nan,65.0,157.0,146.0,156.0,25.0,nan,23.0,272.0,27.0,327.0,23.0,278.0,nan,nan,24.0,26.0,29.0,14.0,221.0,23.0,nan,nan,25.0,188.0,24.0,38.0,118.0,nan,202.0
SP_ROC,0.17500000000000002,0.19999999999999998,0.07407407407407414,nan,0.41666666666666663,0.05882352941176463,0.050000000000000044,0.29166666666666663,0.1269230769230769,nan,0.22500000000000003,0.10526315789473682,0.10526315789473682,0.12771739130434784,0.11212121212121215,0.08333333333333323,nan,nan,0.24166666666666664,0.1250000000000001,0.09090909090909098,0.14358974358974355,0.16981132075471703,0.5,nan,nan,0.16666666666666663,0.07407407407407414,0.1333333333333333,0.1257575757575758,0.040408163265306156,nan,0.025000000000000022
SU_BFL_Tim,232.0,125.0,215.0,133.0,270.0,243.0,180.0,253.0,248.0,192.0,251.0,207.0,247.0,254.0,251.0,240.0,223.0,170.0,82.0,264.0,250.0,254.0,199.0,222.0,143.0,172.0,255.0,247.0,252.0,90.0,179.0,192.0,249.0
SU_BFL_Mag_10,2.0,2.0,1.7,1.7000000000000002,2.0,1.5,1.6,1.6,1.3,1.3,nan,1.1,1.2,1.0,1.2,0.7,0.988,0.44,0.45000000000000007,0.95,0.68,0.958,0.15,0.3,0.03,0.05,0.1,1.1,1.8,3.4200000000000004,3.4200000000000004,2.3,2.9699999999999998
SU_BFL_Mag_50,2.3,2.25,2.05,2.0,2.0,1.7,1.9,2.1,1.8,1.9,nan,1.2,1.6,1.6,1.3,1.2,1.1,1.1,1.1,1.1,1.2,1.0,0.44,0.44,0.1,0.65,0.53,1.7,2.45,5.0,4.4,3.1,3.6
