Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Avg,322.0572602739726,877.1076712328767,850.2821917808219,819.2732240437158,435.9780821917808,617.0945205479452,358.4158904109589,328.62841530054646,549.1276712328768,21.5
Std,528.9828919036423,1273.5126912346311,1255.6406260084402,1165.4665412108384,761.0121235415004,1405.326468606934,549.5030472894317,673.3588085002827,873.2271234476824,3.5
CV,1.642511929256428,1.4519456766859207,1.476734004482253,1.4225614935374111,1.7455283983903154,2.2773277379923633,1.5331436523625463,2.048997521667333,1.5902078317910153,0.16279069767441862
SP_Tim,91.0,108.0,93.0,352.0,337.0,54.0,78.0,20.0,97.0,nan
SP_Mag,2170.0,5350.0,5100.0,7010.0,5720.0,8070.0,2190.0,3990.0,2780.0,nan
SP_Dur,99.0,49.0,79.0,197.0,166.0,116.0,65.0,185.0,39.0,nan
SP_ROC,0.053576388888888896,0.05058721381894621,0.04918032786885246,0.08975092739798622,0.05917515563101301,0.07681186456487268,0.06534090909090909,0.059602649006622516,0.0721326164874552,nan
SU_Tim,190.0,157.0,172.0,184.0,138.0,170.0,143.0,205.0,136.0,nan
SU_Mag_10,7.0,7.58,23.6,13.0,9.4,8.639999999999999,4.8,4.5,nan,nan
SU_Mag_50,21.0,20.0,40.0,26.0,40.0,38.0,14.0,9.35,nan,nan
SU_Dur_Fl,nan,146.0,144.0,123.0,201.0,157.0,nan,nan,nan,nan
SU_Dur_Wet,131.0,169.0,147.0,126.0,249.0,169.0,192.0,116.0,nan,nan
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FA_Tim,nan,nan,302.0,315.0,307.0,337.0,326.0,nan,nan,nan
FA_Mag,nan,nan,1139.9639631412554,2249.98540527404,1349.9082830510572,2230.007998090582,1089.9688402595634,nan,nan,nan
FA_Tim_Wet,335.0,319.0,325.0,318.0,310.0,20.0,338.0,334.0,321.0,nan
FA_Dur,nan,nan,4.0,3.0,8.0,3.0,5.0,nan,nan,nan
Tim_2,nan,363.0,35.0,352.0,333.0,46.0,nan,344.0,351.5,nan
Dur_2,nan,2.0,1.5,1.5,1.0,2.0,nan,1.0,1.5,nan
Fre_2,0.0,7.0,8.0,6.0,3.0,3.0,0.0,3.0,2.0,nan
Tim_5,29.0,360.0,49.0,363.0,5.5,50.0,33.0,362.0,50.5,nan
Dur_5,2.0,3.0,3.0,2.0,2.0,4.5,2.0,2.0,1.5,nan
Fre_5,3.0,11.0,11.0,9.0,4.0,4.0,1.0,4.0,6.0,nan
Tim_10,46.0,43.0,26.0,43.0,332.0,30.5,44.0,343.0,65.0,nan
Dur_10,2.0,5.5,4.0,3.0,2.0,3.5,3.0,2.0,2.0,nan
Fre_10,7.0,10.0,11.0,11.0,7.0,6.0,7.0,5.0,11.0,nan
Tim_20,45.0,23.0,10.5,98.0,10.5,36.5,24.0,81.0,22.5,nan
Dur_20,4.0,24.0,11.0,7.0,6.0,8.5,7.0,3.5,7.0,nan
Fre_20,7.0,5.0,10.0,8.0,6.0,8.0,7.0,6.0,6.0,nan
Tim_50,21.0,301.0,59.5,306.5,353.0,328.0,40.5,113.0,48.5,nan
Dur_50,16.0,5.0,2.5,113.0,3.0,4.0,8.0,11.0,22.5,nan
Fre_50,5.0,3.0,6.0,2.0,6.0,7.0,4.0,7.0,4.0,nan
