Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961
Avg,0.24246575342465754,29.660109289617484,2.0323287671232877,7.421369863013699,1.6216438356164382,6.645081967213114,1.2871232876712329,37.844931506849306,2.1939726027397257,2.130327868852459,0.23780821917808223,8.29178082191781
Std,0.3171438497431596,112.642911263477,1.8855895633730104,17.89836552689754,1.6416154870716553,78.57731228457486,1.2483517675259173,135.2216311941382,5.67548120939128,7.753936662901202,0.26107389693049077,26.654839717963362
CV,1.3079944085452346,3.7977915105966127,0.9277975069171593,2.4117333938709398,1.0123156830227307,11.824882322336418,0.9698773843060021,3.5730446802279276,2.5868514503344375,3.639785582431499,1.0978337831754506,3.21460977930171
SP_Tim,60.0,81.0,5.0,93.0,64.0,31.0,86.0,97.0,52.0,44.0,29.0,56.0
SP_Mag,1.5,573.0,8.2,102.0,4.7,1420.0,3.4,1180.0,54.0,29.0,1.6,244.0
SP_Dur,154.0,69.0,114.0,68.0,126.0,125.0,102.0,57.0,57.0,105.0,206.0,54.0
SP_ROC,0.41666666666666663,0.07417582417582418,0.10555555555555553,0.07692307692307693,0.16666666666666663,0.09999999999999998,0.23076923076923078,0.08166666666666667,0.15000000000000002,0.21111111111111114,0.4375,0.15
SU_Tim,214.0,150.0,119.0,161.0,190.0,156.0,188.0,154.0,109.0,149.0,235.0,110.0
SU_Mag_10,0.0,0.7,0.4,0.5,0.3,0.3,0.3,1.1,0.2,nan,0.0,0.0
SU_Mag_50,0.4,1.1,0.7,0.6,0.4,0.5,0.8,1.6,0.4,nan,0.3,0.2
SU_Dur_Fl,168.0,155.0,273.0,155.0,nan,157.0,254.0,218.0,nan,nan,103.0,227.0
SU_Dur_Wet,218.0,164.0,279.0,156.0,195.0,217.0,254.0,245.0,262.0,nan,168.0,292.0
SU_No_Flow,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,34.0,67.0
FA_Tim,nan,16.0,305.0,25.0,315.0,nan,313.0,75.0,6.0,nan,nan,336.0
FA_Mag,nan,722.7864963626348,1.8606257166666482,137.76310560351885,5.536523288687601,nan,2.253860087567364,1209.934104553644,8.470124535568695,nan,nan,53.904700571988904
FA_Tim_Wet,nan,66.0,314.0,31.0,316.0,19.0,8.0,75.0,33.0,5.0,nan,36.0
FA_Dur,nan,6.0,4.0,2.0,2.0,nan,8.0,2.0,2.0,nan,nan,3.0
Tim_2,nan,58.5,nan,82.0,nan,26.0,nan,94.0,nan,33.0,nan,46.0
Dur_2,nan,3.5,nan,1.0,nan,2.0,nan,18.5,nan,1.0,nan,1.5
Fre_2,0.0,4.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,4.0
Tim_5,nan,41.5,nan,45.0,nan,26.0,nan,55.0,47.0,33.0,nan,58.5
Dur_5,nan,5.0,nan,3.0,nan,3.0,nan,32.5,2.0,1.0,nan,2.0
Fre_5,0.0,4.0,0.0,3.0,0.0,1.0,0.0,2.0,3.0,5.0,0.0,6.0
Tim_10,nan,13.0,355.0,44.0,38.0,26.0,34.5,50.0,24.0,46.5,nan,5.0
Dur_10,nan,2.0,1.0,4.0,1.5,8.0,1.0,2.0,8.0,3.5,nan,4.0
Fre_10,0.0,3.0,5.0,5.0,2.0,1.0,2.0,5.0,2.0,6.0,0.0,4.0
Tim_20,nan,13.0,66.0,19.0,31.0,80.5,27.0,57.5,6.0,46.5,nan,5.0
Dur_20,nan,4.0,2.0,128.0,22.0,7.5,2.0,4.0,5.0,5.0,nan,5.5
Fre_20,0.0,3.0,4.0,1.0,5.0,4.0,7.0,8.0,5.0,6.0,0.0,4.0
Tim_50,30.0,335.0,201.0,352.0,120.0,62.0,115.5,332.0,126.0,47.5,360.0,336.0
Dur_50,11.0,1.0,9.0,6.0,8.0,55.0,3.5,178.0,7.0,66.5,4.0,37.0
Fre_50,3.0,5.0,9.0,9.0,3.0,2.0,12.0,2.0,5.0,2.0,5.0,3.0
