Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963
Avg,434.36712328767123,546.188524590164,473.9013698630137,500.3972602739726,204.78630136986303,702.6256830601093,343.53972602739725,1085.3287671232877,310.4246575342466,251.80601092896174,314.8109589041096,323.63287671232877,528.5342465753424,516.6311475409836
Std,564.8423875336714,695.9953323908466,687.1287061135249,769.9912993588853,275.2748729956268,1589.5912796658017,752.326646257075,1854.0096278421418,723.9960667002863,474.39666954265005,479.627161010021,665.7431254291013,770.8181329163525,518.5083355188307
CV,1.3003801559806114,1.2742767397266193,1.4499403247391895,1.538760022261727,1.3442055018048054,2.2623586327541245,2.189926198512125,1.7082470160228749,2.3322762838851285,1.8839767477849625,1.5235402308726929,2.0570936185227806,1.4584071664436082,1.0036335168461714
SP_Tim,46.0,90.0,25.0,99.0,122.0,58.0,73.0,96.0,54.0,72.0,84.0,69.0,108.0,327.0
SP_Mag,2460.0,1570.0,4270.0,3180.0,800.0,4830.0,1520.0,7880.0,2500.0,1910.0,1070.0,4770.0,6210.0,1580.0
SP_Dur,144.0,115.0,177.0,97.0,88.0,110.0,124.0,57.0,116.0,126.0,101.0,109.0,34.0,144.0
SP_ROC,0.04425612052730697,0.044444444444444446,0.04431938641890628,0.04040404040404041,0.048662088562633196,0.03664921465968586,0.05263157894736842,0.042488619119878605,0.03614457831325301,0.04745285674078244,0.03731343283582089,0.031054153945042583,0.055336649293374764,0.026595744680851064
SU_BFL_Tim,190.0,205.0,202.0,196.0,210.0,168.0,197.0,153.0,170.0,198.0,185.0,178.0,142.0,106.0
SU_BFL_Mag_10,19.0,27.0,42.0,42.0,19.0,24.0,33.0,38.0,21.0,30.0,30.0,25.0,63.400000000000006,54.0
SU_BFL_Mag_50,33.0,43.0,65.0,148.5,25.0,48.0,161.0,53.5,39.0,40.0,41.0,100.0,128.0,66.0
SU_BFL_Dur_Fl,135.0,131.0,118.0,118.0,nan,211.0,157.0,nan,222.0,132.0,152.0,109.0,133.0,169.0
SU_BFL_Dur_Wet,142.0,141.0,176.0,266.0,139.0,246.0,197.0,216.0,222.0,191.0,216.0,273.0,153.0,189.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,302.0,324.0,336.0,318.0,313.0,nan,14.0,352.0,nan,26.0,330.0,335.0,286.0,274.0
FAFL_Mag,3390.1305358949367,663.9732987115102,813.9384919304207,1659.7236702605683,643.9665376994049,nan,957.9958576185355,1690.0019273621522,nan,898.9630815219864,709.9662368693562,1539.9777066658262,3229.831780855669,1389.9997672632144
FAFL_Tim_Wet,302.0,331.0,346.0,11.0,96.0,348.0,49.0,27.0,3.0,26.0,24.0,34.0,85.0,294.0
FAFL_Dur,6.0,2.0,5.0,5.0,3.0,nan,3.0,4.0,nan,2.0,3.0,3.0,2.0,-1.0
Wet_BFL_Mag,264.4,308.0,319.70000000000005,163.0,138.0,486.0,88.0,607.8,249.0,229.5,137.0,117.4,83.6,1306.0
WIN_Tim_2,351.5,361.0,14.0,43.0,nan,29.0,97.0,80.0,27.5,39.0,32.0,54.5,104.0,nan
WIN_Dur_2,1.0,2.0,1.0,1.0,nan,4.0,3.0,5.0,4.0,1.0,1.0,2.5,3.0,nan
WIN_Fre_2,2.0,3.0,3.0,5.0,0.0,4.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0,0.0
WIN_Tim_5,348.0,23.0,9.0,43.0,340.0,6.0,72.0,26.0,26.5,38.0,32.0,43.0,86.0,351.5
WIN_Dur_5,2.0,3.0,2.0,3.0,1.0,11.0,2.0,2.0,7.0,4.0,2.0,4.0,2.0,1.0
WIN_Fre_5,5.0,6.0,6.0,7.0,1.0,3.0,3.0,5.0,2.0,3.0,5.0,3.0,7.0,2.0
WIN_Tim_10,348.0,48.5,38.0,47.5,339.0,26.0,72.0,8.0,26.0,50.5,31.0,39.0,69.5,304.0
WIN_Dur_10,3.0,4.5,2.5,4.0,3.0,11.0,4.0,2.0,9.0,3.5,5.0,5.0,5.0,4.0
WIN_Fre_10,9.0,8.0,6.0,8.0,3.0,4.0,5.0,6.0,2.0,4.0,5.0,3.0,6.0,5.0
WIN_Tim_20,17.0,11.0,8.0,16.0,19.0,36.0,108.0,358.5,58.5,65.0,13.5,26.5,12.5,316.5
WIN_Dur_20,4.0,7.0,8.0,4.0,2.0,12.0,6.0,2.5,5.5,2.0,7.5,2.5,5.5,69.5
WIN_Fre_20,9.0,9.0,7.0,5.0,5.0,4.0,5.0,10.0,4.0,7.0,6.0,6.0,8.0,2.0
WIN_Tim_50,309.0,69.0,336.0,9.0,40.0,331.0,36.5,332.0,133.0,21.0,363.5,19.0,80.0,274.0
WIN_Dur_50,107.5,4.5,3.0,8.5,29.0,97.0,4.0,25.5,1.5,142.0,17.5,11.0,23.5,187.0
WIN_Fre_50,2.0,4.0,3.0,6.0,4.0,2.0,6.0,4.0,4.0,1.0,4.0,5.0,6.0,1.0
