Year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986
Avg,0.749041095890411,0.018630136986301372,0.22377049180327865,0.4005479452054795,1.3394520547945206,2.0238356164383564,0.024863387978142082,7.907178082191781,0.32109589041095893,0.10575342465753425,0.11316939890710383,0.9671506849315068,0.3052054794520548,0.26224657534246576,0.6130054644808742,0.035068493150684936,8.668219178082191,5.216986301369863,17.463907103825136,1.3783835616438356,3.7628219178082194,12.09923287671233,1.9177322404371584,1.5873972602739728,2.804575342465754,0.42926027397260275
Std,2.5757521387942024,0.2744524564885219,1.7638625003110593,2.138133797991187,9.779813132429245,17.692654820662586,0.05391105732762813,30.630453974221748,2.118272468564656,0.37630546397082665,1.0765964426217276,3.188118196495904,2.0157420942806414,1.3751757624233945,4.638945639931919,0.31869220469927656,31.80544423726924,10.413754272158924,58.25731715839739,2.0456982907349954,13.332229750457035,26.7949555764332,4.179656827547493,3.522391632795396,18.193863007097637,1.0306514767388804
CV,3.438732738331689,14.731639208575071,7.882462455602537,5.3380221358877105,7.301353637424166,8.742140259295848,2.168290877133175,3.873752893362347,6.597008967799483,3.55832886915419,9.513140946391895,3.296402769669429,6.604540973181635,5.243827343131414,7.56754369858746,9.087707399627806,3.6692016645922036,1.996124519135599,3.335869620243069,1.4841284731336555,3.5431466175318853,2.214599541100334,2.179478834122701,2.218972982344355,6.487207789219804,2.4009943133117906
SP_Tim,70.0,nan,96.0,105.0,331.0,345.0,353.0,62.0,69.0,355.0,359.0,86.0,21.0,113.0,45.0,4.0,68.0,93.0,57.0,70.0,95.0,87.0,365.0,1.0,80.0,78.0
SP_Mag,27.0,nan,27.0,28.0,164.0,116.0,0.4,281.0,7.5,4.3,15.0,9.3,9.3,21.0,21.0,4.8,220.0,59.0,440.0,10.0,29.0,143.0,19.0,15.0,57.0,2.2
SP_Dur,34.0,nan,35.0,27.0,175.0,173.0,286.0,51.0,28.0,95.0,30.0,46.0,208.0,26.0,81.0,73.0,24.0,84.0,53.0,158.0,73.0,162.0,255.0,222.0,48.0,42.0
SP_ROC,0.25000000000000006,nan,0.7500000000000001,0.2647058823529412,0.1250000000000001,0.2361111111111111,1.0,0.0769230769230769,0.030303030303030328,0.2727272727272727,0.36397058823529405,0.14285714285714282,0.5,0.35504201680672276,0.30000000000000004,0.7604166666666666,0.10882352941176471,0.04061855670103091,0.093841642228739,0.07692307692307698,0.07019704433497528,0.0847457627118644,0.06155303030303036,0.06666666666666672,0.07692307692307698,0.14185110663983908
SU_Tim,104.0,nan,131.0,132.0,141.0,153.0,274.0,113.0,97.0,85.0,24.0,132.0,229.0,139.0,126.0,77.0,92.0,177.0,110.0,228.0,168.0,249.0,255.0,223.0,128.0,120.0
SU_Mag_10,nan,nan,0.0,0.0,0.0,nan,0.0,0.01,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.01,0.12,0.492,0.07,0.15,0.38,0.16999999999999998,0.14,0.07,0.05200000000000003
SU_Mag_50,nan,nan,0.0,0.0,0.0,nan,0.0,0.06,nan,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.05,0.17,1.4,0.15,0.385,1.3,0.19,0.18,0.13,0.13
SU_Dur_Fl,nan,nan,nan,nan,nan,nan,117.0,nan,nan,nan,nan,nan,nan,nan,nan,300.0,261.0,218.0,230.0,nan,167.0,nan,nan,nan,245.0,253.0
SU_Dur_Wet,nan,nan,325.0,189.0,193.0,nan,118.0,308.0,nan,269.0,385.0,238.0,201.0,260.0,nan,309.0,301.0,225.0,284.0,155.0,234.0,87.0,93.0,183.0,295.0,303.0
SU_No_Flow,nan,nan,324.0,132.0,151.0,nan,110.0,15.0,nan,221.0,384.0,185.0,199.0,251.0,nan,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
