Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
SU_BFL_Dur_Fl,154.0,142.0,128.0,162.0,142.0,118.0,102.0,nan,214.0,157.0,148.0,108.0,141.0,166.0,161.0,150.0,144.0,223.0,163.0,212.0,133.0,124.0,137.0,163.0,113.0,146.0,159.0,125.0,129.0,225.0,205.0
SU_BFL_Dur_Wet,160.0,142.0,177.0,163.0,154.0,230.0,178.0,179.0,214.0,219.0,151.0,275.0,203.0,193.0,198.0,210.0,180.0,228.0,167.0,216.0,153.0,164.0,141.0,219.0,226.0,147.0,160.0,205.0,183.0,273.0,253.0
SU_BFL_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,303.0,325.0,342.0,327.0,313.0,324.0,304.0,286.0,nan,22.0,330.0,329.0,285.0,313.0,316.0,322.0,320.0,339.0,345.0,346.0,313.0,333.0,309.0,311.0,338.0,303.0,320.0,348.0,298.0,298.0,338.0
FAFL_Mag,1879.9579727390135,3929.957759292512,4689.900562417842,2479.980158762277,1019.9724647101183,7229.862067882155,1079.9448296642656,2419.9603808883307,nan,2389.8983018961235,3209.9715689692075,2449.957098507762,14099.717639581782,2009.7951025049922,2170.002475736742,1819.9518426423783,1999.950575413361,2199.991797264316,6109.740201359144,5999.923834067714,5349.938341924023,763.989881500321,1929.9635132887665,3219.862183105335,1959.93691609974,1679.8379950471412,162.97195219811675,8339.885675651252,2059.849954450526,2059.928223432664,4179.920659307603
FAFL_Tim_Wet,319.0,331.0,342.0,11.0,314.0,336.0,51.0,362.0,4.0,22.0,27.0,332.0,87.0,10.0,343.0,359.0,15.0,10.0,350.0,350.0,317.0,353.0,349.0,315.0,29.0,51.0,321.0,349.0,13.0,352.0,21.0
FAFL_Dur,9.0,3.0,3.0,2.0,5.0,10.0,5.0,4.0,nan,3.0,2.0,3.0,6.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,7.0,6.0,5.0,4.0,3.0,6.0,6.0,4.0,2.0,2.0,2.0
Wet_BFL_Mag,180.0,286.5,462.0,200.5,210.2,341.7,116.0,172.3,276.3,265.2,162.0,188.2,191.1,163.0,307.7,130.3,213.0,156.0,587.0,347.0,343.0,186.60000000000002,250.0,893.0,172.0,129.6,62.6,691.0,67.2,163.5,152.0
WIN_Tim_2,17.0,14.0,8.0,45.5,319.0,4.5,64.0,46.5,47.0,35.0,32.0,52.5,31.0,20.0,48.0,20.5,24.0,48.0,27.5,9.0,342.0,nan,12.0,40.0,77.0,59.0,nan,19.0,33.5,24.0,65.5
WIN_Dur_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.0,1.0,1.0,1.0,1.5,1.5,1.5,2.0,1.0,2.0,1.0,nan,1.0,2.0,2.0,2.0,nan,2.0,1.0,3.5,1.0
WIN_Fre_2,5.0,7.0,7.0,4.0,1.0,10.0,1.0,10.0,1.0,2.0,5.0,4.0,5.0,1.0,4.0,2.0,4.0,3.0,8.0,7.0,7.0,0.0,5.0,8.0,3.0,1.0,0.0,9.0,4.0,4.0,4.0
WIN_Tim_5,10.0,24.0,2.0,55.5,340.0,2.5,102.0,33.0,31.0,52.5,31.0,31.5,87.0,355.5,12.0,35.0,51.5,33.0,28.5,24.0,357.0,57.5,39.0,13.0,43.0,59.0,nan,44.0,47.0,35.0,57.0
WIN_Dur_5,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.5,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.5,4.5,1.0,1.0,1.0,3.0,3.0,3.0,nan,2.0,1.0,2.0,1.0
WIN_Fre_5,9.0,11.0,9.0,8.0,3.0,10.0,4.0,15.0,4.0,4.0,7.0,6.0,9.0,2.0,9.0,3.0,12.0,7.0,12.0,4.0,12.0,6.0,13.0,13.0,5.0,1.0,0.0,15.0,7.0,8.0,7.0
WIN_Tim_10,15.5,24.0,8.0,43.0,5.0,7.0,69.0,10.0,19.5,48.0,41.0,19.0,58.0,354.0,14.0,19.5,75.0,23.5,12.0,52.0,363.0,54.0,26.0,1.0,57.0,36.5,nan,69.5,49.0,10.0,57.0
WIN_Dur_10,3.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.5,2.0,2.0,4.0,1.5,3.5,2.5,2.0,2.5,7.0,2.0,3.0,2.0,3.0,3.5,1.5,1.5,nan,3.0,1.0,3.0,2.0
WIN_Fre_10,12.0,13.0,11.0,9.0,6.0,10.0,6.0,11.0,6.0,6.0,9.0,7.0,8.0,4.0,10.0,8.0,15.0,8.0,7.0,8.0,11.0,5.0,11.0,14.0,8.0,4.0,0.0,14.0,9.0,11.0,9.0
WIN_Tim_20,10.0,52.0,40.0,44.5,18.0,351.0,90.0,13.0,25.0,44.5,27.5,19.0,349.0,323.0,38.0,40.5,344.0,13.0,36.0,9.0,46.0,75.5,10.0,14.5,82.5,15.5,nan,14.5,94.0,357.0,54.5
WIN_Dur_20,7.0,11.0,5.0,3.5,2.0,6.0,2.0,3.0,5.0,8.5,3.5,4.0,6.0,2.0,3.5,4.0,4.0,6.0,10.0,12.0,5.0,4.5,1.0,15.0,4.0,2.0,nan,11.5,3.0,2.0,4.0
WIN_Fre_20,9.0,8.0,13.0,10.0,13.0,7.0,7.0,12.0,5.0,4.0,8.0,7.0,7.0,5.0,8.0,12.0,7.0,7.0,6.0,5.0,10.0,6.0,13.0,6.0,14.0,8.0,0.0,8.0,10.0,11.0,8.0
WIN_Tim_50,309.5,315.0,327.0,1.0,335.0,322.0,1.5,307.0,68.5,21.0,329.0,356.5,13.0,44.5,314.0,338.0,316.0,356.0,321.0,345.0,108.5,356.0,312.5,60.0,349.0,337.5,84.0,336.0,352.0,331.5,7.0
WIN_Dur_50,101.5,4.0,109.5,8.5,65.0,221.0,2.5,10.0,2.0,8.0,4.0,87.0,7.0,3.5,7.0,85.0,55.0,2.5,5.0,3.0,9.5,18.0,15.0,4.0,3.5,3.0,2.0,94.5,3.0,6.0,2.5
WIN_Fre_50,2.0,3.0,2.0,10.0,3.0,1.0,8.0,6.0,6.0,5.0,5.0,2.0,7.0,12.0,3.0,2.0,3.0,8.0,6.0,5.0,4.0,5.0,4.0,4.0,10.0,10.0,5.0,2.0,5.0,6.0,8.0
