Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Avg,711.3013698630137,1030.9617486338798,753.2191780821918,586.4109589041096,362.1243835616438,1031.9262295081967,400.6356164383562,1148.3671232876711,374.12493150684935,354.31284153005464,555.5569863013699,509.9545205479452,810.6383561643836,239.9101092896175,808.5452054794521,492.96027397260275,930.827397260274,526.4581967213115,1127.490410958904,978.613698630137,873.8328767123288,401.1912568306011,865.4849315068493,1385.268493150685,654.0109589041095,271.6964480874317,66.84342465753424,1007.7643835616439,470.26520547945205,855.8524590163935,431.5358904109589
Std,1252.9913761188704,2182.4029128340785,1288.8687154476202,1042.0880360835142,699.5045236137696,2123.4302456683426,731.8615681232708,1741.7620811730494,1002.2107697869994,971.9495473504053,1325.5677832894958,1163.1017366602248,1686.3157443852804,484.0047345786233,1744.5275754928882,1288.4436715155298,1599.3521857439378,1162.4968425251318,2096.4780284755316,2549.873835466894,1597.7271020477033,666.7683145431764,1454.2566798432906,2590.0686845960527,1320.2600283071724,696.110911027736,68.14665697223084,1875.1998364645501,1086.3286508286794,1851.0743963586685,909.4665795328715
CV,1.7615478181353401,2.1168611888132274,1.711146971495431,1.7770609847247367,1.9316692146876493,2.05773454046259,1.8267511376784413,1.5167293157840867,2.678813105960171,2.7431959371079118,2.386015865113111,2.2807950313107805,2.080231871045742,2.017442016144208,2.157612912265575,2.6136866184619527,1.718204890027247,2.2081465342641757,1.8594198301806633,2.605597938222412,1.8284126686316986,1.6619711999972933,1.6802796061525445,1.8697232322848432,2.0187123936263394,2.5620905828100047,1.0194967915150006,1.8607522423418195,2.310034079006821,2.162842878883651,2.1075108692970383
SP_Tim,39.0,16.0,23.0,98.0,123.0,19.0,68.0,95.0,56.0,71.0,90.0,69.0,108.0,26.0,113.0,9.0,142.0,58.0,25.0,27.0,89.0,67.0,21.0,92.0,88.0,65.0,139.0,114.0,56.0,63.0,89.0
SP_Mag,9290.0,7250.0,7930.0,4790.0,1130.0,22600.0,5360.0,6180.0,4180.0,4080.0,2350.0,6050.0,6970.0,1690.0,4690.0,17300.0,2680.0,8260.0,9880.0,17700.0,10000.0,3800.0,13600.0,11600.0,8920.0,3310.0,187.0,3400.0,5640.0,4410.0,5560.0
SP_Dur,133.0,184.0,178.0,54.0,60.0,167.0,118.0,96.0,118.0,102.0,93.0,109.0,65.0,124.0,50.0,162.0,54.0,64.0,160.0,75.0,112.0,118.0,155.0,84.0,103.0,109.0,52.0,60.0,114.0,50.0,45.0
SP_ROC,0.056291390728476824,0.08149377593360996,0.06044624746450304,0.04477611940298507,0.0685094519243846,0.055944055944055944,0.07092198581560284,0.05628703094140882,0.046400073797334074,0.07327586206896551,0.06367924528301887,0.05454545454545454,0.06464646464646465,0.04205607476635514,0.05345238095238095,0.07660586835844568,0.0625,0.052532795953848584,0.0650887573964497,0.05250679767127629,0.05545609548167093,0.06418918918918919,0.08928571428571429,0.0502092050209205,0.06031155790683762,0.0549270990447461,0.19999999999999998,0.04830022983774142,0.07931978335565779,0.07497725074679486,0.0547945205479452
SU_BFL_Tim,172.0,200.0,201.0,152.0,183.0,186.0,186.0,191.0,174.0,173.0,183.0,178.0,173.0,150.0,163.0,171.0,196.0,122.0,185.0,102.0,201.0,185.0,176.0,176.0,191.0,174.0,191.0,174.0,170.0,113.0,134.0
SU_BFL_Mag_10,23.0,53.0,54.0,29.0,9.2,48.0,30.7,66.80000000000001,6.0,2.06,12.0,11.0,40.0,7.0,38.0,5.950000000000001,36.0,16.0,45.0,28.0,49.0,20.0,32.0,65.0,54.0,12.600000000000001,0.289,32.0,13.2,33.0,10.0
SU_BFL_Mag_50,43.0,70.5,96.0,71.0,28.0,116.0,148.0,112.0,41.0,31.0,29.0,199.0,109.0,24.0,57.0,26.0,83.5,86.0,85.0,68.5,86.0,44.0,56.0,137.0,129.5,36.0,27.0,59.0,42.0,99.0,86.0
