Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976
Avg,2.0802739726027397,56.91502732240438,8.99123287671233,11.394794520547944,4.9520547945205475,6.478142076502732,3.171506849315069,53.70712328767124,6.314246575342465,2.683879781420765,1.2791780821917809,29.75808219178082,3.2747945205479456,3.7008196721311477,3.862465753424658,63.873424657534244,62.893150684931506,21.024590163934427,204.42027397260273,21.823013698630135,22.76027397260274,6.554918032786886,28.28904109589041,13.562191780821918,15.026301369863011,8.374863387978142,8.65808219178082
Std,1.392325316854043,141.42091137129148,7.349601041302607,19.48519916761473,4.028076450045172,14.302283544277367,2.6758502278217873,130.3035858954157,13.694481031923814,1.7069889211135272,1.245662890504443,145.0328177189566,6.522943303550924,3.5983791714424607,6.69888475298379,234.18981700672123,79.54643397768585,29.832286150464263,768.7658176833054,28.668768109045484,32.32760023433908,11.990053499329296,68.34808885232589,19.264022698765764,21.507627669363504,14.84315896804774,19.16350760480116
CV,0.6692990131064477,2.4847727924330045,0.8174186056662355,1.7100088231058108,0.8134151614199103,2.207775528133917,0.8437157335478164,2.4261881463557664,2.1688226565940005,0.6360154180266221,0.9737994324997251,4.873728649053018,1.991863386426911,0.9723195103343969,1.7343544721514277,3.6664672085826098,1.264786914177354,1.418923551795961,3.7607121971979094,1.313694272704648,1.4203519814064116,1.8291690970591146,2.4160624116119265,1.42042105067462,1.4313321116066222,1.7723463990295816,2.2133663299007735
SP_Tim,64.0,93.0,43.0,65.0,22.0,33.0,187.0,99.0,53.0,204.0,32.0,49.0,46.0,232.0,104.0,6.0,122.0,332.0,64.0,72.0,347.0,8.0,54.0,76.0,104.0,139.0,137.0
SP_Mag,3.3,273.0,59.0,132.0,33.0,69.0,5.3,777.0,133.0,5.3,3.2,461.0,15.0,14.0,77.0,317.0,251.0,193.0,3390.0,120.0,156.0,121.0,224.0,25.0,93.0,20.0,150.0
SP_Dur,157.0,25.0,255.0,131.0,161.0,235.0,38.0,64.0,220.0,55.0,94.0,81.0,149.0,36.0,23.0,64.0,133.0,236.0,82.0,117.0,115.0,72.0,85.0,127.0,32.0,39.0,21.0
SP_ROC,0.1250000000000001,0.06666666666666667,0.11111111111111108,0.08333333333333333,0.09375000000000008,0.09090909090909094,0.04545454545454549,0.053418803418803416,0.06125000000000001,0.1547619047619047,0.1250000000000001,0.06999999999999992,0.11538461538461549,0.33333333333333326,0.08203991130820398,0.04878048780487805,0.03333333333333333,0.07142857142857142,0.045454545454545456,0.05718954248366013,0.043478260869565216,0.022727272727272846,0.09545454545454546,0.0652173913043478,0.08712121212121213,0.12500000000000006,0.14814814814814806
SU_Tim,221.0,118.0,298.0,196.0,183.0,268.0,225.0,163.0,273.0,259.0,126.0,130.0,195.0,268.0,127.0,70.0,255.0,203.0,146.0,189.0,97.0,80.0,139.0,203.0,136.0,178.0,158.0
SU_Mag_10,0.33000000000000007,10.0,0.8,1.2,1.2,0.3,1.1,2.8,1.1,0.2,0.6,0.7,1.2,0.3,2.6,6.9,9.0,0.9,11.0,3.0,3.1,3.2,2.6,1.3,1.0,1.7,1.8
SU_Mag_50,1.7,20.0,1.2,3.4,4.8,0.4,3.7,4.4,2.1,0.35,1.1,1.9,2.6,1.0,4.7,12.0,19.5,1.9,19.0,3.5,9.0,4.0,5.8,3.2,4.0,4.8,4.5
SU_Dur_Fl,nan,162.0,nan,79.0,nan,111.0,177.0,209.0,2.0,nan,nan,nan,83.0,46.0,nan,268.0,nan,nan,167.0,nan,nan,nan,185.0,74.0,267.0,191.0,212.0
SU_Dur_Wet,154.0,215.0,109.0,291.0,204.0,111.0,177.0,243.0,217.0,46.0,277.0,269.0,317.0,186.0,195.0,366.0,68.0,182.0,269.0,141.0,261.0,322.0,231.0,233.0,268.0,309.0,330.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
