Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970
Avg,0.5498630136986301,26.726775956284154,3.27972602739726,5.283835616438356,2.6331506849315067,2.4898907103825136,2.0287671232876714,27.604383561643836,3.2901369863013703,0.9418032786885245,0.6380821917808219,15.553698630136987,1.614794520547945,1.1724043715846995,2.318082191780822,26.752054794520546,25.9813698630137,9.70655737704918,98.89945205479452,10.768767123287672,12.219178082191782
Std,0.5521377958610648,64.07474625923052,3.1761051242922442,12.280298803885191,3.585170704066133,10.266215029226066,7.497021864459208,77.41941339112226,10.528714096658716,1.108746165567837,1.3679107732799936,98.40117032808386,5.614379803167625,3.2374141692329523,7.6182370695613715,116.21689348538904,52.741626961649864,25.192650299878213,397.75117919076615,24.19976474159425,55.72260518040748
CV,1.0041369979536057,2.3973990115393957,0.968405622225937,2.3241258236119955,1.3615516668235756,4.123158894652409,3.6953585152297244,2.8046057691611046,3.2000838082108674,1.1772587658770768,2.143784595307847,6.3265447446320495,3.4768385275809015,2.7613460404084376,3.28643958207056,4.344223065407036,2.0299786824070143,2.595425888013125,4.021773335714691,2.2472177608207144,4.560258047275499
SP_Tim,119.0,90.0,13.0,93.0,129.0,32.0,65.0,98.0,53.0,122.0,311.0,48.0,46.0,97.0,114.0,4.0,120.0,330.0,62.0,65.0,23.0
SP_Mag,4.3,276.0,14.0,51.0,14.0,29.0,19.0,392.0,31.0,7.4,23.0,182.0,16.0,18.0,64.0,133.0,154.0,122.0,1460.0,185.0,51.0
SP_Dur,59.0,105.0,184.0,89.0,76.0,145.0,116.0,66.0,119.0,65.0,260.0,66.0,143.0,95.0,55.0,70.0,94.0,214.0,58.0,123.0,154.0
SP_ROC,0.25000000000000006,0.067816091954023,0.08333333333333323,0.08434959349593492,0.14285714285714282,0.09375000000000008,0.11111111111111108,0.07692307692307693,0.0656443368307775,0.23611111111111116,0.14285714285714282,0.07142857142857142,0.06666666666666672,0.08333333333333323,0.10909090909090903,0.06066176470588235,0.05555555555555555,0.06666666666666667,0.046875,0.058823529411764705,0.04761904761904764
SU_BFL_Tim,178.0,195.0,197.0,182.0,205.0,177.0,181.0,164.0,172.0,187.0,206.0,114.0,189.0,192.0,169.0,74.0,214.0,179.0,120.0,188.0,177.0
SU_BFL_Mag_10,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.5,0.6600000000000001,6.3,1.1800000000000002,0.7
SU_BFL_Mag_50,0.2,1.2,0.4,0.1,0.0,0.0,0.0,1.4,0.1,0.0,0.0,0.7,0.2,0.4,0.0,4.9,3.7,1.0,9.1,1.4,1.6
SU_BFL_Dur_Fl,201.0,125.0,189.0,134.0,nan,nan,171.0,208.0,nan,nan,nan,nan,nan,266.0,nan,264.0,nan,nan,288.0,nan,nan
SU_BFL_Dur_Wet,257.0,127.0,189.0,173.0,179.0,196.0,223.0,236.0,173.0,118.0,196.0,283.0,195.0,266.0,152.0,360.0,105.0,207.0,291.0,139.0,150.0
SU_BFL_No_Flow,66.0,0.0,38.0,65.0,96.0,124.0,112.0,0.0,75.0,118.0,109.0,43.0,86.0,106.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0
FAFL_Tim,nan,13.0,320.0,19.0,315.0,nan,nan,350.0,6.0,nan,nan,nan,nan,nan,93.0,nan,337.0,nan,nan,41.0,nan
FAFL_Mag,nan,174.00205185350728,14.956268425727316,48.947964454030334,4.372622938159983,nan,nan,105.99514338643023,65.88824377819584,nan,nan,nan,nan,nan,37.72138983067376,nan,111.0245599170424,nan,nan,105.82130708047472,nan
FAFL_Tim_Wet,nan,69.0,322.0,19.0,354.0,18.0,8.0,37.0,34.0,344.0,305.0,35.0,31.0,18.0,93.0,319.0,68.0,318.0,21.0,44.0,326.0
FAFL_Dur,nan,2.0,4.0,4.0,5.0,nan,nan,7.0,2.0,nan,nan,nan,nan,nan,3.0,nan,2.0,nan,nan,3.0,nan
Wet_BFL_Mag,nan,13.600000000000001,3.6000000000000005,3.66,1.1,0.9000000000000001,1.9200000000000002,1.8200000000000003,2.8,1.0,0.1,3.72,1.2,1.2,8.8,12.9,9.31,2.5100000000000002,89.0,12.0,7.1800000000000015
WIN_Tim_2,nan,50.0,nan,25.0,nan,26.0,14.0,75.0,47.0,nan,nan,43.0,nan,nan,nan,326.0,68.0,324.0,66.0,59.0,333.0
WIN_Dur_2,nan,6.0,nan,1.0,nan,2.0,1.0,2.0,1.0,nan,nan,3.0,nan,nan,nan,4.0,2.5,1.5,6.0,3.0,2.0
WIN_Fre_2,0.0,4.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,2.0,6.0,1.0,1.0
WIN_Tim_5,nan,71.0,nan,44.0,nan,26.0,34.5,50.0,42.0,nan,nan,52.0,40.0,92.0,108.0,364.0,59.0,13.0,21.0,50.0,355.0
WIN_Dur_5,nan,2.0,nan,1.0,nan,2.0,1.0,3.0,1.0,nan,nan,10.0,2.0,1.0,4.0,6.0,6.5,2.5,117.0,5.5,2.0
WIN_Fre_5,0.0,7.0,0.0,5.0,0.0,1.0,2.0,5.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,3.0
WIN_Tim_10,nan,39.5,346.0,52.0,70.0,26.0,34.5,45.0,47.0,nan,311.0,5.0,40.0,92.0,99.0,22.5,21.5,44.0,21.0,50.0,355.0
WIN_Dur_10,nan,17.0,1.0,3.5,1.0,3.0,1.5,6.0,1.5,nan,1.0,25.5,2.0,1.0,3.0,11.5,15.0,3.0,162.0,9.5,8.0
WIN_Fre_10,0.0,4.0,2.0,4.0,3.0,1.0,2.0,6.0,4.0,0.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,5.0,1.0,2.0,3.0
WIN_Tim_20,nan,5.5,363.0,49.5,58.0,107.0,55.0,26.0,24.0,nan,311.0,5.0,63.5,56.5,95.5,321.0,337.0,323.0,20.0,4.5,37.5
WIN_Dur_20,nan,78.5,2.0,7.5,3.0,3.0,3.0,5.0,11.5,nan,1.0,38.0,2.0,2.0,11.5,161.0,42.0,156.0,203.0,29.5,64.0
WIN_Fre_20,0.0,2.0,7.0,4.0,5.0,5.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,4.0,2.0
WIN_Tim_50,57.0,346.0,311.0,357.5,337.0,354.0,9.5,101.0,111.0,62.0,27.0,357.0,35.5,47.0,75.0,320.0,311.0,274.0,339.0,214.0,280.0
WIN_Dur_50,2.0,2.0,6.0,5.0,4.0,65.0,68.0,1.0,6.5,10.0,15.0,4.0,64.5,21.0,2.5,232.0,328.0,274.0,301.0,3.0,302.0
WIN_Fre_50,7.0,7.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0
