Year,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Fre_2,0.0,5.0,3.0,6.0,0.0,0.0,5.0,2.0,2.0,1.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,4.0,4.0,0.0,4.0,3.0,4.0
Tim_5,360.0,17.0,33.0,70.5,nan,nan,22.5,65.0,47.0,54.5,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,28.5,53.5,67.5,57.0,32.0,55.0,46.5
Dur_5,1.0,6.0,2.0,4.0,nan,nan,6.0,2.0,5.0,3.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.5,5.5,1.0,1.0,2.0,3.0,2.5
Fre_5,2.0,5.0,8.0,6.0,0.0,0.0,6.0,4.0,5.0,2.0,11.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,6.0,10.0,1.0,5.0,3.0,8.0
Tim_10,27.0,27.5,31.0,67.0,nan,nan,58.0,65.0,11.0,54.5,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,33.0,8.0,27.5,57.0,39.0,55.0,53.0
Dur_10,1.0,5.0,10.0,8.5,nan,nan,2.5,5.5,2.0,5.5,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,12.0,4.5,2.0,5.5,5.0,4.0
Fre_10,3.0,6.0,6.0,4.0,0.0,0.0,10.0,4.0,5.0,2.0,9.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,5.0,6.0,1.0,4.0,3.0,8.0
Tim_20,14.5,346.5,356.0,31.0,nan,nan,356.0,31.0,9.0,53.5,335.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.0,80.5,36.0,48.5,38.5,20.0,7.0
Dur_20,4.5,53.0,2.0,16.0,nan,nan,3.0,7.0,22.0,6.5,83.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.0,6.0,10.5,4.5,14.5,14.0,3.0
Fre_20,4.0,2.0,7.0,4.0,0.0,0.0,3.0,5.0,5.0,4.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,6.0,6.0,2.0,4.0,2.0,6.0
Tim_50,53.5,345.0,310.0,84.0,20.0,55.0,351.0,352.0,326.0,338.0,309.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,335.0,307.5,339.0,9.5,351.0,11.5,286.0
Dur_50,2.5,25.0,2.0,8.5,1.5,2.0,209.0,2.0,1.5,185.0,129.5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,7.0,9.5,15.5,6.0,13.5,276.0
Fre_50,4.0,4.0,3.0,4.0,4.0,5.0,1.0,3.0,4.0,1.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.0,4.0,4.0,4.0,3.0,4.0,1.0
