Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970
Avg,90.41424657534246,138.39180327868854,57.5627397260274,49.93972602739726,39.144657534246576,149.45983606557377,46.55561643835616,130.9753424657534,37.776712328767125,32.65163934426229,20.096986301369864,79.9317808219178,81.03890410958904,42.68551912568306,117.77616438356165,53.399726027397264,177.1745205479452,34.75254098360656,248.34298630136988,78.31397260273972,59.459479452054794
Std,233.55869008633206,193.61626754613576,54.88472685373381,65.29657890244553,39.93755200934523,490.7695648026528,60.89919271989632,272.54878873574376,52.897721732922335,46.19336035653173,20.75184010226441,191.04464235759403,192.5660715472167,36.43773314658386,172.13377103431367,53.56512487304277,254.10544781856115,31.685046564331248,425.0263268675649,128.10441181050055,49.965273524310525
CV,2.583206728285978,1.3990443289205368,0.953476625938242,1.3075077517770801,1.0202554965362765,3.28362172555397,1.3080955076716114,2.0809167863562417,1.4002733025721907,1.4147332655947964,1.0325846766810958,2.3900961594140835,2.376217616255142,0.8536321893918346,1.461533171293689,1.0030973725513244,1.4342098797992664,0.9117332335289582,1.7114488844544444,1.635779766406831,0.8403247721769928
SP_Tim,342.0,85.0,125.0,134.0,132.0,31.0,148.0,97.0,55.0,125.0,132.0,51.0,116.0,137.0,108.0,134.0,116.0,126.0,60.0,68.0,131.0
SP_Mag,1870.0,490.0,154.0,161.0,234.0,1520.0,201.0,3320.0,174.0,119.0,52.0,960.0,358.0,111.0,504.0,133.0,1070.0,86.0,3200.0,372.0,145.0
SP_Dur,239.0,145.0,102.0,94.0,96.0,170.0,80.0,115.0,146.0,87.0,74.0,161.0,114.0,91.0,115.0,92.0,129.0,81.0,160.0,145.0,96.0
SP_ROC,0.062257751937984496,0.039415869733781334,0.06976744186046512,0.06821705426356589,0.07803030303030303,0.04838709677419355,0.058823529411764705,0.03825136612021858,0.046875,0.05941176470588235,0.09090909090909098,0.051349654739485245,0.05240274599542334,0.0625,0.03571428571428571,0.06711711711711713,0.03387520918001434,0.07692307692307693,0.0380952380952381,0.03893939393939394,0.05
SU_Tim,216.0,230.0,227.0,228.0,228.0,201.0,228.0,212.0,201.0,212.0,206.0,212.0,230.0,228.0,223.0,226.0,245.0,207.0,220.0,213.0,227.0
SU_Mag_10,0.7100000000000002,8.120000000000001,2.5,0.0,0.0,4.1,0.5800000000000001,8.6,0.2,0.0,0.0,0.7,4.5,0.25,7.1,0.4,9.68,0.66,14.0,2.27,1.1
SU_Mag_50,3.75,10.0,7.2,5.1,2.8,12.0,10.0,13.0,6.4,0.4,3.45,8.5,6.0,3.1,9.6,25.0,14.0,5.4,24.0,3.5,3.9
SU_Dur_Fl,124.0,113.0,nan,93.0,nan,nan,173.0,164.0,191.0,107.0,nan,nan,56.0,89.0,nan,112.0,80.0,nan,nan,98.0,84.0
