Year,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
FA_Tim,341.0,15.0,344.0,10.0,66.0,91.0,1.0,34.0,4.0,53.0,56.0,275.0,346.0,64.0,355.0,314.0,277.0,315.0,45.0,329.0,300.0,71.0,346.0,276.0,359.0,293.0,274.0,349.0,33.0,351.0,345.0,306.0,307.0,358.0
FA_Mag,1179.8698270481373,26799.395518784324,26799.43564619839,4419.94875660626,2959.745146590148,1119.920613306095,4259.8677006864355,1999.927787128372,2539.923030997277,11699.54896465955,2159.9458737802483,10899.902890477544,2159.8608736902193,3380.0003916859414,2560.2725055392207,1689.860302018386,960.0119832501798,2159.982001764119,3459.9799254085938,3459.9732665594893,1659.9744160687671,1719.9065636495634,793.9580122774463,801.9963470887021,6559.912769123434,1259.997522107335,939.9996124274099,1850.0032387801239,6049.610066366014,3139.952674535439,37898.96598161368,1570.0996555176819,1539.9326726613554,4579.831405840028
FA_Tim_Wet,69.0,101.0,64.0,29.0,129.0,106.0,18.0,90.0,23.0,101.0,76.0,92.0,96.0,65.0,113.0,92.0,103.0,51.0,83.0,50.0,82.0,87.0,73.0,88.0,36.0,77.0,343.0,84.0,45.0,38.0,49.0,314.0,25.0,41.0
FA_Dur,5.0,2.0,5.0,7.0,9.0,5.0,4.0,2.0,3.0,2.0,8.0,10.0,4.0,4.0,4.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,1.0,6.0,2.0,3.0,2.0,3.0,4.0,2.0
Tim_2,nan,137.5,365.0,140.0,154.0,nan,149.0,155.0,159.0,160.0,nan,nan,141.0,163.0,155.0,nan,nan,nan,nan,137.0,nan,nan,nan,nan,38.0,nan,nan,nan,nan,46.0,112.0,nan,nan,154.5
Dur_2,nan,2.0,1.0,3.5,6.0,nan,2.0,3.5,4.0,3.0,nan,nan,2.0,2.0,3.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,1.0,nan,nan,nan,nan,2.0,2.0,nan,nan,2.0
Fre_2,0.0,8.0,3.0,10.0,1.0,0.0,5.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,6.0
Tim_5,nan,117.0,124.0,113.0,151.0,nan,116.0,148.0,114.0,135.0,152.0,275.0,145.0,159.0,135.0,148.0,nan,148.0,nan,134.0,85.0,nan,nan,nan,138.0,nan,nan,126.5,53.0,133.0,95.0,nan,91.0,146.5
Dur_5,nan,3.0,3.0,3.0,10.0,nan,3.0,8.0,2.0,2.0,22.0,1.0,4.0,8.0,7.0,3.0,nan,1.0,nan,6.0,1.0,nan,nan,nan,2.0,nan,nan,2.5,1.0,2.0,2.5,nan,1.0,7.0
Fre_5,0.0,11.0,8.0,13.0,1.0,0.0,12.0,3.0,9.0,3.0,1.0,1.0,2.0,1.0,3.0,4.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,7.0,8.0,0.0,1.0,6.0
Tim_10,119.0,80.0,106.0,67.0,143.5,147.0,88.0,136.0,79.0,127.0,212.5,15.5,138.0,161.0,126.0,163.0,nan,134.5,114.0,132.0,85.0,168.0,nan,nan,132.0,158.0,nan,140.0,122.0,118.0,95.0,nan,91.0,114.0
Dur_10,5.0,3.0,2.0,4.0,8.0,2.0,2.5,2.0,4.0,3.0,12.0,16.0,25.0,3.5,34.5,5.0,nan,7.5,3.0,10.0,3.0,1.0,nan,nan,4.0,3.5,nan,2.0,3.0,2.0,2.0,nan,1.0,6.5
Fre_10,1.0,6.0,7.0,7.0,2.0,2.0,6.0,5.0,7.0,7.0,2.0,2.0,1.0,4.0,2.0,4.0,0.0,2.0,5.0,5.0,1.0,1.0,0.0,0.0,7.0,2.0,0.0,8.0,6.0,7.0,9.0,0.0,9.0,4.0
Tim_20,131.5,69.0,73.5,29.0,147.0,158.0,46.0,100.0,44.5,105.5,172.0,94.0,109.0,113.0,57.0,111.0,130.0,126.5,133.0,70.5,126.0,152.5,158.0,nan,92.0,153.5,nan,97.0,91.0,85.5,51.0,105.5,103.0,61.0
Dur_20,6.0,3.0,2.5,2.0,10.0,1.5,3.5,2.5,3.0,5.0,1.0,3.0,1.0,4.0,1.0,6.0,2.0,10.0,4.0,2.0,5.0,2.0,3.0,nan,2.0,10.5,nan,3.0,1.0,2.5,5.0,1.0,4.5,2.0
Fre_20,6.0,8.0,8.0,5.0,3.0,6.0,8.0,6.0,6.0,4.0,4.0,5.0,4.0,7.0,4.0,6.0,1.0,6.0,5.0,8.0,5.0,4.0,3.0,0.0,7.0,2.0,0.0,3.0,9.0,10.0,6.0,4.0,8.0,13.0
Tim_50,43.5,123.5,341.0,14.0,96.0,112.0,13.0,40.0,9.0,4.0,169.5,58.0,141.5,33.0,72.0,57.0,121.0,77.0,126.5,41.0,336.5,160.5,83.0,107.0,127.0,213.0,51.0,58.0,33.0,17.5,10.0,39.0,118.5,247.0
Dur_50,3.0,1.5,3.0,2.0,2.0,9.0,7.0,7.0,3.0,2.0,2.0,6.0,2.5,178.0,2.0,2.0,8.0,4.0,3.5,3.0,2.0,3.0,1.0,4.0,4.0,5.5,3.0,2.0,2.0,2.5,4.0,3.0,5.5,5.0
Fre_50,6.0,6.0,7.0,5.0,5.0,7.0,3.0,5.0,5.0,7.0,4.0,7.0,6.0,1.0,9.0,19.0,5.0,11.0,6.0,11.0,14.0,12.0,7.0,5.0,10.0,14.0,11.0,13.0,13.0,14.0,11.0,26.0,10.0,9.0
