Year,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
Avg,1596.775956284153,4001.504109589041,2812.8520547945204,4918.295890410959,1444.1584699453551,1199.372602739726,3960.945205479452,2714.6054794520546,3808.6420765027324,2681.8191780821917,2024.3945205479451,1821.6082191780822,1802.1612021857923,2201.6684931506848,3211.194520547945,2296.4520547945203,698.448087431694,1883.2493150684932,1608.495890410959,2686.956164383562,1594.77868852459,1213.958904109589,1199.7260273972602,777.9616438356164,2543.896174863388,1593.5232876712328,1131.0630136986301,2453.4575342465755,2555.1502732240438,3075.928767123288,4960.945205479452,1506.5508982035929,2519.909836065574,3575.6931506849314
Std,1294.4119026987235,4890.271058751785,3209.678133485968,5673.44707086208,2194.7425809750903,1264.6671805678973,3907.744391222966,2999.40357139208,3612.8953128051853,2912.2970551038316,2440.914055823183,2013.0390444432498,2264.610411427076,2156.9853079866657,4007.5552883970317,2176.1326651811423,687.224028095223,1936.710716874282,1724.3755901805466,2651.245867537229,1206.4683445170774,847.8871474137841,836.1464619077992,491.99768755168134,2528.384720573843,1201.6161594549085,549.8486804310251,2275.725359956707,1942.9999273945216,2829.052105229587,4989.936511223229,651.1698883219932,2174.7686077684093,3153.871567139011
CV,0.8106409027544109,1.2221082185153676,1.1410760576671835,1.1535391926954648,1.5197380527485576,1.054440611432193,0.9865686568491557,1.1049132531764845,0.9486045788063943,1.0859408713701786,1.2057501791510965,1.1050889116824154,1.2566081262211126,0.9797048532496936,1.2479951814669885,0.9476064003329937,0.9839300020453293,1.0283878514533507,1.0720422728217112,0.9867097583058169,0.7565114540333129,0.6984479825004372,0.6969478387676336,0.6324189520783632,0.9939024813815848,0.7540625033544032,0.4861344361646073,0.9275584876408111,0.7604249142430587,0.9197391485354234,1.0058439076714163,0.4322256148786253,0.8630342945777592,0.8820308215023653
SP_Tim,125.0,180.0,156.0,203.0,161.0,149.0,173.0,164.0,173.0,174.0,166.0,145.0,154.0,179.0,172.0,166.0,135.0,152.0,146.0,169.0,154.0,172.0,168.0,131.0,179.0,170.0,132.0,179.0,139.0,178.0,182.0,116.0,168.0,190.0
SP_Mag,7020.0,14600.0,10300.0,13300.0,15300.0,6610.0,13200.0,13800.0,13200.0,11700.0,9400.0,7800.0,9150.0,7240.0,12800.0,9150.0,3800.0,8900.0,6900.0,11200.0,4650.0,6650.0,4140.0,2510.0,10400.0,7240.0,2200.0,7010.0,7760.0,8760.0,14200.0,3600.0,7330.0,8560.0
SP_Dur,120.0,83.0,76.0,51.0,78.0,78.0,81.0,75.0,65.0,83.0,65.0,78.0,78.0,60.0,62.0,77.0,71.0,95.0,67.0,76.0,55.0,102.0,104.0,132.0,47.0,45.0,135.0,45.0,102.0,47.0,59.0,149.0,39.0,65.0
SP_ROC,0.08411214953271028,0.07758620689655173,0.060240963855421686,0.04738476504040706,0.11339955796274258,0.1197279201671713,0.05408805031446541,0.046511627906976744,0.05808080808080808,0.05203558650033846,0.07894021739130436,0.06358381502890173,0.07198710983571541,0.07809050772626931,0.07263922518159806,0.09030837004405286,0.15862068965517243,0.07720588235294118,0.09815950920245399,0.07478583518733414,0.06896551724137931,0.04602941176470588,0.047619047619047616,0.1005317154184078,0.0728476821192053,0.06872097599370328,0.06,0.07713498622589532,0.0694980694980695,0.08260671771931155,0.07424593967517401,0.05244024215190664,0.07905194436559751,0.05772357723577236
SU_Tim,245.0,263.0,232.0,254.0,239.0,227.0,254.0,239.0,238.0,257.0,231.0,223.0,232.0,239.0,234.0,243.0,206.0,247.0,213.0,245.0,209.0,274.0,272.0,263.0,226.0,215.0,267.0,224.0,241.0,225.0,241.0,265.0,207.0,255.0
SU_Mag_10,250.0,340.0,346.0,385.0,290.0,195.0,456.0,385.0,613.0,308.0,570.4000000000001,325.0,463.0,373.0,523.2,344.5,148.89999999999998,419.20000000000005,435.20000000000005,721.0,461.0,370.0,361.5,100.0,551.0,389.59999999999997,311.2,742.0,801.2,839.0,0.0,392.0,668.4000000000001,621.5
SU_Mag_50,630.0,1200.0,420.0,495.0,385.0,442.0,636.0,546.0,795.0,377.5,740.0,410.0,750.0,640.0,990.0,498.0,315.0,666.0,655.0,940.0,740.0,492.0,560.0,229.0,1025.0,934.0,822.0,1110.0,1095.0,1220.0,1110.0,712.0,1180.0,1055.0
SU_Dur_Fl,135.0,83.0,144.0,178.0,217.0,141.0,146.0,131.0,180.0,166.0,45.0,124.0,197.0,118.0,81.0,35.0,109.0,165.0,117.0,56.0,227.0,74.0,5.0,97.0,67.0,61.0,83.0,175.0,110.0,122.0,66.0,43.0,151.0,104.0
SU_Dur_Wet,221.0,168.0,163.0,241.0,232.0,158.0,202.0,150.0,228.0,186.0,227.0,239.0,198.0,241.0,224.0,226.0,210.0,203.0,203.0,203.0,243.0,166.0,182.0,139.0,216.0,130.0,183.0,187.0,162.0,191.0,74.0,126.0,199.0,152.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0
