Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967
Avg,2098.5150684931505,2398.251366120219,2123.9342465753425,1971.0164383561644,870.9506849315069,2868.1666666666665,1128.7342465753425,3332.301369863014,1296.0465753424658,1154.25956284153,1336.482191780822,1038.627397260274,2028.1561643835616,1187.9617486338798,2494.413698630137,1559.8164383561643,1838.3945205479451,nan
Std,3092.1185613941366,3310.977140564348,3304.357030869592,3236.6745719428277,882.1286196908096,5558.1040504974935,1885.7289795115407,4813.089503293124,2322.1974797198104,2331.425757137128,1872.7607129686992,1499.958163184622,2852.8224352114107,1749.809400599832,5621.521006707477,2663.313265953987,3006.143901981745,nan
CV,1.4734793225070564,1.3805796954139529,1.5557718117675148,1.6421347427433062,1.0128341764381088,1.9378595097324054,1.6706580714042942,1.444374013353715,1.7917546513374303,2.0198453035967727,1.4012612547222214,1.444173499698989,1.406608862428746,1.4729509621097314,2.253644216993621,1.7074530056631274,1.6352006429423782,nan
SP_Tim,40.0,101.0,23.0,72.0,127.0,59.0,76.0,54.0,55.0,77.0,87.0,51.0,108.0,36.0,365.0,95.0,88.0,nan
SP_Mag,20600.0,7090.0,28700.0,14500.0,2620.0,11100.0,8210.0,31000.0,8240.0,7650.0,5640.0,8770.0,14600.0,6810.0,18000.0,4920.0,5430.0,nan
SP_Dur,68.0,100.0,184.0,81.0,101.0,119.0,114.0,126.0,122.0,116.0,112.0,134.0,89.0,147.0,159.0,81.0,106.0,nan
SP_ROC,0.0430622009569378,0.038331892826274847,0.04242424242424243,0.038716861535825944,0.03277976494634645,0.03664921465968586,0.04970659894993308,0.05305039787798409,0.030985915492957747,0.04845833449808515,0.03709649676050685,0.032433380084151475,0.038461538461538464,0.034611106357491234,0.04419889502762431,0.03423003347680536,0.038461538461538464,nan
SU_Tim,108.0,201.0,207.0,153.0,228.0,178.0,190.0,180.0,177.0,193.0,199.0,185.0,197.0,183.0,159.0,176.0,194.0,nan
SU_Mag_10,80.0,100.1,133.0,135.7,67.7,93.0,89.4,117.0,98.0,76.8,90.5,81.2,117.0,68.0,99.0,88.0,nan,nan
SU_Mag_50,196.0,150.5,249.0,164.0,92.0,169.0,266.0,165.5,118.0,154.0,140.0,560.0,187.0,111.5,169.0,138.0,nan,nan
SU_Dur_Fl,225.0,141.0,123.0,168.0,nan,126.0,98.0,nan,nan,137.0,137.0,102.0,117.0,nan,nan,164.0,nan,nan
SU_Dur_Wet,228.0,152.0,170.0,168.0,118.0,236.0,175.0,190.0,218.0,199.0,196.0,265.0,121.0,162.0,202.0,205.0,nan,nan
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
FA_Tim,nan,332.0,342.0,328.0,320.0,nan,304.0,286.0,nan,nan,330.0,334.0,286.0,313.0,nan,nan,339.0,nan
FA_Mag,nan,3299.98988353321,8429.803674678891,5629.916047746823,4099.969163890244,nan,2229.9373766048566,4509.883519235136,nan,nan,1939.9925201186447,3399.8031342211993,9540.001640605224,3959.9841924146576,nan,nan,19799.6132390063,nan
FA_Tim_Wet,336.0,335.0,353.0,10.0,320.0,345.0,49.0,363.0,4.0,29.0,27.0,28.0,84.0,317.0,345.0,359.0,15.0,nan
FA_Dur,nan,3.0,3.0,3.0,3.0,nan,5.0,5.0,nan,nan,3.0,2.0,7.0,8.0,nan,nan,5.0,nan
Tim_2,18.0,361.0,13.0,28.0,nan,33.0,56.0,36.0,12.0,38.0,43.0,nan,95.5,20.0,25.0,4.0,21.0,nan
Dur_2,2.0,4.0,3.0,3.0,nan,4.5,3.0,4.0,1.0,4.0,1.0,nan,1.5,2.0,1.0,4.0,1.0,nan
Fre_2,5.0,3.0,3.0,5.0,0.0,4.0,1.0,4.0,3.0,1.0,1.0,0.0,4.0,1.0,3.0,1.0,3.0,nan
Tim_5,17.0,58.5,360.0,48.0,365.0,28.5,65.0,46.0,28.0,66.0,39.5,41.5,63.5,20.0,58.0,36.0,21.0,nan
Dur_5,6.0,3.5,1.0,3.0,1.0,7.5,2.0,2.0,5.0,3.0,1.5,3.5,5.0,3.0,8.0,4.0,3.0,nan
Fre_5,5.0,6.0,4.0,6.0,1.0,4.0,3.0,8.0,3.0,3.0,4.0,2.0,6.0,1.0,4.0,2.0,3.0,nan
Tim_10,17.0,40.0,44.0,45.5,352.5,19.0,65.0,2.0,44.0,65.0,32.0,52.0,31.0,361.0,49.5,46.5,21.0,nan
Dur_10,13.0,14.5,2.5,6.0,1.5,14.5,5.0,7.0,5.0,4.0,4.0,2.5,3.0,4.5,4.0,6.0,6.0,nan
Fre_10,3.0,4.0,8.0,6.0,2.0,4.0,3.0,9.0,4.0,5.0,5.0,4.0,7.0,4.0,4.0,4.0,5.0,nan
Tim_20,43.0,10.0,79.0,54.5,50.0,51.0,97.0,351.0,55.0,64.0,31.0,39.0,1.0,323.0,44.0,42.0,58.5,nan
Dur_20,11.0,10.0,7.0,17.0,2.0,2.0,5.5,4.0,11.0,5.0,8.0,7.0,5.5,3.0,12.0,5.0,11.5,nan
Fre_20,4.0,5.0,7.0,4.0,6.0,9.0,4.0,7.0,4.0,5.0,5.0,5.0,6.0,5.0,4.0,6.0,6.0,nan
Tim_50,274.0,70.0,338.5,326.0,328.5,323.0,14.0,317.0,1.5,25.0,365.5,358.5,330.0,332.0,323.0,345.0,333.0,nan
Dur_50,237.0,2.5,108.5,41.0,93.5,208.0,5.0,6.0,64.5,23.0,13.0,10.0,13.0,91.5,95.0,6.5,41.0,nan
Fre_50,1.0,4.0,2.0,3.0,2.0,1.0,5.0,5.0,2.0,3.0,4.0,4.0,5.0,2.0,2.0,6.0,5.0,nan
