Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982
Avg,190.07150684931509,220.30437158469948,138.18301369863013,124.70328767123289,106.05260273972604,224.6021857923497,129.82739726027398,189.42630136986298,88.58301369863014,98.34644808743168,70.86438356164383,145.9309589041096,64.19743589743591,97.03497267759563,197.51643835616437,95.89150684931508,224.43863013698632,95.42997267759563,245.56438356164384,150.24923287671234,138.1451506849315,103.91978142076502,149.11969863013698,183.70668493150686,151.59090410958905,61.95390710382513,38.732164383561646,215.13671232876712,136.11545205479453,171.71174863387978,83.57101369863014,271.69260273972606,305.9917808219178
Std,396.7948952377922,306.5176299452089,199.77065929261306,206.7845108004936,185.61796906127174,382.48827760976354,200.35021150323283,278.05733915180724,123.74569077522727,161.54588877892556,105.74354472977187,211.45601064714742,266.6188653691159,142.34091121817372,366.0759587372502,145.81398061079406,336.9928077981969,136.29520095568722,329.9772946816825,206.9267385106246,188.45552743153445,149.48123940790998,245.78181708701337,262.75939879069205,272.8615901831271,87.16710357191556,64.83772302522866,280.5482127786609,231.1639380728395,273.4277265346839,139.40820649302734,339.1407743026421,410.2765688485557
CV,2.087608510161196,1.3913370294940488,1.445696210739059,1.6582121823897638,1.7502443529539276,1.702958839249158,1.543204406243906,1.4678919302176965,1.3969460465211165,1.6426204699869638,1.4921959299594725,1.4490140559282831,4.153107700361672,1.4669031926366354,1.8533948960599267,1.5206141336367536,1.5014920006975316,1.428222152134029,1.34375062822923,1.377223261302234,1.3641848917400374,1.438429116807601,1.6482183061315618,1.4303202895891305,1.7999865611057262,1.406967012198876,1.6740020615203857,1.304046202723101,1.698293137062663,1.592364696708557,1.6681406665205074,1.2482517774969735,1.3408091150243344
SP_Tim,171.0,175.0,177.0,144.0,162.0,167.0,161.0,192.0,161.0,158.0,162.0,175.0,164.0,171.0,190.0,145.0,187.0,154.0,159.0,175.0,171.0,153.0,165.0,162.0,161.0,139.0,158.0,177.0,160.0,146.0,155.0,184.0,192.0
SP_Mag,572.0,888.0,764.0,1030.0,1000.0,992.0,1010.0,630.0,385.0,720.0,313.0,782.0,285.0,452.0,575.0,520.0,1370.0,635.0,1390.0,552.0,730.0,690.0,884.0,1010.0,1160.0,476.0,304.0,812.0,812.0,940.0,465.0,1190.0,1470.0
SP_Dur,49.0,65.0,56.0,72.0,57.0,75.0,60.0,53.0,49.0,49.0,45.0,59.0,78.0,48.0,31.0,54.0,69.0,56.0,83.0,48.0,60.0,58.0,47.0,71.0,61.0,106.0,49.0,58.0,56.0,94.0,50.0,65.0,68.0
SP_ROC,0.08893195521102498,0.09838709677419355,0.09523809523809523,0.11666666666666667,0.09404481132075476,0.09947643979057591,0.0891309581126625,0.08931419457735247,0.09534829900485998,0.10986367281475538,0.12588028169014084,0.08949018538713195,0.09722222222222224,0.09090909090909091,0.10591491841491842,0.08037570537570538,0.1111111111111111,0.09523809523809523,0.08387445887445888,0.09470108695652174,0.09090909090909091,0.10416666666666667,0.09307359307359307,0.0851063829787234,0.08820215676806695,0.09137291280148424,0.11764705882352941,0.12251929759100767,0.1076315789473684,0.047619047619047616,0.08421052631578956,0.07407407407407407,0.08514570007107321
SU_Tim,220.0,240.0,233.0,216.0,219.0,242.0,221.0,245.0,210.0,207.0,207.0,234.0,242.0,219.0,221.0,199.0,256.0,210.0,242.0,223.0,231.0,211.0,212.0,233.0,222.0,245.0,207.0,235.0,216.0,240.0,205.0,249.0,260.0
SU_Mag_10,0.0,1.5,0.8,0.0,0.0,7.720000000000001,0.45,0.5,0.4200000000000003,0.0,0.0,0.0,3.4200000000000004,0.0,1.95,0.0,1.2600000000000002,0.64,2.95,0.0,0.88,0.4,0.08800000000000004,0.48,3.99,1.4,0.0,3.7400000000000007,0.06800000000000002,4.75,0.0,26.0,35.400000000000006
SU_Mag_50,44.0,27.0,6.6,30.0,27.5,15.0,25.0,4.75,2.6,9.4,12.0,3.6,32.0,59.5,29.0,44.0,15.0,56.0,53.0,45.5,32.0,37.0,50.5,27.0,22.0,5.45,10.5,26.0,45.0,14.0,62.5,76.0,76.0
SU_Dur_Fl,143.0,136.0,nan,122.0,139.0,168.0,131.0,131.0,195.0,129.0,200.0,nan,69.0,139.0,99.0,135.0,125.0,98.0,49.0,107.0,86.0,141.0,106.0,217.0,63.0,173.0,144.0,142.0,150.0,171.0,115.0,51.0,40.0
SU_Dur_Wet,248.0,220.0,200.0,252.0,242.0,225.0,256.0,176.0,233.0,234.0,252.0,157.0,223.0,256.0,226.0,300.0,159.0,261.0,226.0,234.0,201.0,266.0,260.0,261.0,224.0,212.0,256.0,238.0,249.0,216.0,260.0,256.0,245.0
SU_No_Flow,40.0,0.0,0.0,72.0,75.0,0.0,3.0,0.0,9.0,76.0,57.0,23.0,0.0,28.0,0.0,74.0,0.0,12.0,0.0,43.0,0.0,0.0,19.0,0.0,0.0,0.0,103.0,0.0,20.0,0.0,43.0,0.0,0.0
FA_Tim,nan,362.0,11.0,nan,337.0,357.0,45.0,350.0,10.0,39.0,336.0,40.0,nan,310.0,358.0,318.0,333.0,15.0,308.0,289.0,329.0,316.0,352.0,316.0,84.0,284.0,53.0,349.0,11.0,365.0,46.0,318.0,299.0
FA_Mag,nan,140.9565648891599,235.01861495024784,nan,151.74674974589814,4999.586541729015,181.9481595872366,225.929343700869,264.926243455477,324.73490076095544,117.8934321944363,413.77405286733506,nan,137.96090638336494,4629.645518366988,91.88450191177884,579.9889768594444,125.84370429561908,423.96166683568595,301.98096075195537,515.8613052867745,103.84860188238834,275.84825902050704,1619.8679935954235,232.87271399292692,176.96373560817918,71.92248664120216,253.81165802791898,686.5459415621897,407.90536043716725,158.90397045224302,1179.8736958200845,1479.8192968714877
FA_Tim_Wet,315.0,102.0,95.0,66.0,102.0,95.0,102.0,110.0,55.0,77.0,76.0,92.0,25.0,99.0,110.0,80.0,133.0,49.0,106.0,101.0,91.0,66.0,112.0,105.0,128.0,80.0,92.0,96.0,107.0,99.0,91.0,98.0,139.0
FA_Dur,nan,6.0,5.0,nan,2.0,2.0,9.0,3.0,5.0,5.0,7.0,5.0,nan,3.0,5.0,7.0,3.0,3.0,2.0,3.0,6.0,4.0,8.0,3.0,2.0,3.0,9.0,4.0,7.0,2.0,4.0,3.0,6.0
