Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974
Avg,1.5613698630136985,9.784699453551912,3.2221917808219174,6.19917808219178,3.138630136986301,2.891530054644809,2.5413698630136983,17.10356164383562,4.77041095890411,2.2010928961748633,1.4769863013698628,5.207671232876713,2.1624657534246574,2.054918032786885,2.675890410958904,13.536986301369863,17.316712328767125,5.277322404371585,48.84542465753424,6.11945205479452,4.075342465753424,3.0026775956284153,11.644931506849314,7.797808219178082,4.821369863013698
Std,0.69409508461667,10.915752180894323,1.6504297875911178,16.46385079154008,1.532180213182217,7.095862671856037,2.7749097554465774,23.067432142977196,6.399315125674631,1.2524943013750034,0.733889404029377,8.317695037762999,1.4436405472447393,1.693870456802679,3.0087032821541304,35.39818781387914,34.53426601098169,2.994248483012496,251.80847251492375,5.720918570369372,5.54199857185009,3.235567608398013,40.98902703558692,6.613427239611175,2.558645465207325
CV,0.4445423861819347,1.1155940182640798,0.5122071868640066,2.6558118791320675,0.48816845130194597,2.4540165717653872,1.0918952789327305,1.3486917300228545,1.3414599246905814,0.5690329124916227,0.4968830133012848,1.59720048862768,0.66759001614637,0.8243007408453406,1.1243746267904757,2.61492381138755,1.9942738179932784,0.5673802458102891,5.155211041369935,0.9348743186715711,1.3598853638489299,1.077560778789125,3.5199028016161367,0.8481136049673527,0.5306884843736072
SP_Tim,123.0,91.0,359.0,96.0,131.0,31.0,65.0,101.0,54.0,125.0,36.0,50.0,124.0,100.0,117.0,5.0,344.0,75.0,61.0,69.0,340.0,3.0,49.0,96.0,79.0
SP_Mag,6.9,25.0,8.4,16.0,5.0,55.0,11.0,92.0,22.0,4.0,3.0,31.0,3.6,7.4,18.0,63.0,421.0,9.8,1410.0,22.0,10.0,13.0,50.0,17.0,10.0
SP_Dur,98.0,115.0,192.0,82.0,98.0,186.0,133.0,103.0,145.0,83.0,150.0,139.0,86.0,115.0,97.0,98.0,215.0,139.0,62.0,103.0,214.0,82.0,111.0,124.0,109.0
SP_ROC,0.07738095238095229,0.05263157894736842,0.03703703703703707,0.05882352941176463,0.057189542483660115,0.0555555555555556,0.07317073170731704,0.045454545454545456,0.042553191489361736,0.07692307692307698,0.060661764705882346,0.07142857142857134,0.09090909090909098,0.06666666666666672,0.0638297872340425,0.06666666666666667,0.05555555555555555,0.03125000000000003,0.045454545454545456,0.0555555555555556,0.03225806451612906,0.03409531189461447,0.0754985754985755,0.043956043956043994,0.03859518490940678
SU_Tim,221.0,206.0,186.0,178.0,229.0,217.0,198.0,204.0,199.0,208.0,186.0,189.0,210.0,215.0,214.0,103.0,194.0,214.0,123.0,172.0,189.0,85.0,160.0,220.0,188.0
SU_Mag_10,0.7,3.0,1.15,2.0,1.4,1.1,1.1,4.1,1.5,0.9000000000000001,0.5,1.5,1.0,0.6,1.0,2.9,4.8,1.9900000000000002,4.6,1.5,1.9,1.5,4.2,3.0,2.7200000000000006
SU_Mag_50,1.0,4.5,1.55,2.3,1.8,1.3,1.9,4.7,1.9,1.0,0.8,1.8,1.7,1.2,1.2,3.7,5.8,2.6,9.649999999999999,2.3,2.2,2.0,5.4,3.5,3.5
SU_Dur_Fl,119.0,114.0,nan,138.0,nan,nan,154.0,168.0,108.0,76.0,140.0,nan,82.0,100.0,nan,nan,nan,nan,156.0,nan,nan,nan,164.0,80.0,112.0
SU_Dur_Wet,146.0,115.0,196.0,139.0,154.0,154.0,205.0,203.0,156.0,98.0,209.0,204.0,242.0,239.0,107.0,230.0,127.0,170.0,292.0,155.0,163.0,315.0,207.0,191.0,223.0
SU_No_Flow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FA_Tim,317.0,339.0,320.0,nan,315.0,nan,nan,350.0,6.0,306.0,284.0,324.0,nan,291.0,315.0,nan,nan,nan,nan,277.0,nan,nan,nan,322.0,299.0
FA_Mag,2.441592570268508,12.942747587044394,9.09845856242502,nan,18.78871890520495,nan,nan,65.05563977532435,16.97968742554355,2.8127089668893803,1.7818114740244186,22.97133495936684,nan,4.262028605124079,3.8264283324804973,nan,nan,nan,nan,10.975432692624118,nan,nan,nan,29.861205923228145,6.026501288566173
